#id  F6  F7  F8  F9  F10  F11  F12  F13  F14  F15  F16  F17  F18  F19  F20  F21  F22  F23  F24  F25  F26  E6  E7  E8  E9  E10  E11  E12  E13  E14  E15  E16  E17  E18  E19  E20  E21  E22  E23  E24  E25  E26  zspec
8016  0.603893  0.74865  0.6434  0.764822  0.790753  0.738177  0.820729  0.859889  0.83453  0.784802  0.889692  0.849261  0.870246  0.840002  0.957019  0.966141  0.943975  0.997793  1.10387  0.993486  1.12814  0.0769755  0.0746184  0.0665032  0.0699192  0.070401  0.0662812  0.0725351  0.0716081  0.0706742  0.0692748  0.0758287  0.0770853  0.0777618  0.0808962  0.0924773  0.0979742  0.103003  0.110826  0.123807  0.126419  0.145146  -1.0
8051  0.951571  0.974896  1.06248  1.05809  0.980125  1.03362  1.06492  1.09285  1.16649  1.15006  1.35344  1.38523  1.61927  1.67819  1.96336  1.82105  1.86277  2.01558  2.04683  2.17331  2.21147  0.0959801  0.0889123  0.0897481  0.0865048  0.0815144  0.0830456  0.0837109  0.0854314  0.0906815  0.089529  0.100512  0.104828  0.11832  0.124083  0.142184  0.138798  0.146832  0.16019  0.168007  0.187592  0.20097  -1.0
8127  24.5066  23.7814  24.0525  24.6104  24.9252  25.5317  27.5093  30.6365  34.4732  29.4225  28.0984  29.8263  32.3057  29.7549  29.4714  29.7085  30.1469  30.7864  31.1057  31.2235  31.722  1.51131  1.4666  1.4807  1.51505  1.53443  1.57176  1.69351  1.88269  2.12221  1.82406  1.73282  1.83938  1.99229  1.83821  1.82389  1.8418  1.87224  1.91865  1.94192  1.95606  1.99762  -1.0
8163  4.18602  4.47795  4.49655  4.03758  4.032  4.54907  4.58606  5.49644  5.39611  5.27133  6.14725  5.73906  5.74382  5.95335  6.59293  6.73848  7.47826  7.03008  7.14823  6.88778  6.94385  0.376773  0.365613  0.358344  0.326589  0.323511  0.3487  0.34556  0.392674  0.385506  0.382887  0.435164  0.41873  0.427809  0.446646  0.492483  0.517256  0.587034  0.564828  0.603813  0.619952  0.658925  -1.0
8169  0.0557595  0.0694577  0.0741859  0.0652289  0.0548783  0.0561046  0.0763624  0.0425284  0.0743225  -99.0  -99.0  0.0887561  0.0921721  0.0731615  0.103143  0.0906319  0.0943544  -99.0  0.0910168  -99.0  0.162524  0.0210316  0.0200296  0.019017  0.0182082  0.0173626  0.0174643  0.0172369  0.0169369  0.0168813  -99.0  -99.0  0.020815  0.0219964  0.0273094  0.0254768  0.045206  0.0526869  -99.0  0.0618417  -99.0  0.0773947  -1.0
8258  1.18894  1.08263  1.19432  1.18348  1.18982  1.21026  1.19103  1.20216  1.13491  1.19146  1.31425  1.26591  1.3517  1.57645  1.6631  1.78879  -99.0  -99.0  -99.0  -99.0  -99.0  0.0975904  0.0872182  0.0901216  0.0895607  0.0878445  0.0872514  0.0866405  0.0869281  0.0831745  0.0875777  0.0956045  0.0940118  0.109776  0.128713  0.137413  0.213831  -99.0  -99.0  -99.0  -99.0  -99.0  -1.0
8284  0.145425  0.198994  0.185934  0.19995  0.21001  0.164392  0.219019  0.228266  0.20893  0.203817  0.218053  0.180567  0.23206  0.247263  0.267251  0.27152  0.250772  0.323594  0.395257  0.36151  0.592817  0.0389365  0.0361892  0.0331076  0.0316304  0.0308506  0.0290041  0.0308897  0.0317726  0.0311229  0.0315119  0.0327186  0.0333283  0.0372895  0.0388734  0.0435827  0.0451337  0.0497985  0.0571275  0.0755725  0.0962814  0.114375  -1.0
8393  0.183874  0.160946  0.126777  0.104819  0.145599  0.0765524  0.127973  0.137316  0.126194  0.149637  0.19254  0.155454  0.116553  0.0743431  0.165669  0.147137  0.167016  0.207721  0.161749  0.107666  0.245925  0.0566575  0.0493305  0.0436062  0.0433715  0.0426189  0.040469  0.0441706  0.0482153  0.0490783  0.0444183  0.0471194  0.0512421  0.0498716  0.0538544  0.0578649  0.0633575  0.0748917  0.0762743  0.0809241  0.0894848  0.103626  -1.0
8428  0.12602  0.120149  0.128801  0.146811  0.146447  0.115006  0.120982  0.120138  0.106131  0.138765  0.149211  0.145037  0.112627  0.101466  0.177468  0.260928  0.113022  0.192044  0.299639  0.22346  0.279873  0.0340556  0.030121  0.0282066  0.027018  0.0264262  0.025148  0.0243925  0.0240789  0.0253276  0.028008  0.027816  0.0325968  0.0323683  0.0334351  0.0390763  0.0460361  0.0434768  0.0505427  0.069653  0.0828542  0.08013  -1.0
8556  0.0421308  0.0289175  0.0298704  0.102178  0.0960021  0.0861152  0.1431  0.0646726  0.0864171  0.0686878  0.0933511  0.107329  0.150286  -99.0  0.203554  0.159354  0.130257  0.16  0.0896931  0.109184  0.14564  0.0509576  0.0620808  0.0343448  0.0348903  0.0357623  0.032285  0.0325964  0.0311906  0.0339369  0.0324633  0.0339538  0.0383621  0.0663782  -99.0  0.0835402  0.0546731  0.0976821  0.0782597  0.0695899  0.148584  0.0930891  -1.0
8564  -99.0  -99.0  0.143325  0.130413  0.116252  0.155368  0.159971  0.168019  0.109476  0.147884  0.210629  0.161169  0.151901  0.186072  0.214033  0.224493  0.158548  0.299668  0.304004  -99.0  0.474416  -99.0  -99.0  0.0517256  0.0292958  0.028538  0.0284071  0.0287103  0.0280751  0.0273976  0.0280986  0.0317647  0.0305702  0.0329519  0.0351927  0.0388545  0.0433125  0.0460822  0.0539773  0.0605015  -99.0  0.131399  -1.0
8582  4.28865  3.28973  4.20921  3.93114  3.85655  3.62377  2.75322  3.75282  3.96022  3.08632  4.01126  3.66302  4.25991  4.14572  5.38666  5.08252  -99.0  -99.0  -99.0  -99.0  -99.0  0.923352  0.791149  0.758179  0.713213  0.692562  0.674759  0.651361  0.664971  0.682371  0.679904  0.726007  0.74928  0.806161  0.867372  0.958567  1.03192  -99.0  -99.0  -99.0  -99.0  -99.0  -1.0
8652  0.0554574  0.0920192  0.0732149  0.046864  0.075851  0.0389189  0.0714101  0.0488426  0.0799023  0.0880971  0.0953412  0.0871523  0.0352794  0.0885525  0.0845985  0.131233  0.123811  0.07724  0.22412  0.236854  0.151398  0.0883432  0.0558289  0.0400083  0.0371286  0.0356099  0.035537  0.0356185  0.0358908  0.0368786  0.0385853  0.038456  0.0670982  0.0711998  0.0476493  0.051492  0.0550701  0.0590669  0.0829985  0.0830017  0.085789  0.0884191  -1.0
8693  1.69575  2.05079  2.33905  2.29214  2.07607  1.96318  1.98975  2.23605  2.10126  1.71886  1.52489  1.89722  2.54989  2.11642  1.04232  1.24349  2.39773  2.89786  1.51286  2.09586  1.2892  0.409468  0.380083  0.366463  0.325765  0.340589  0.323774  0.294023  0.349598  0.346775  0.359623  0.305133  0.331641  0.498054  0.509438  0.262437  0.371547  0.516235  0.675514  0.654072  0.750476  0.852718  -1.0
8801  0.117859  0.118294  0.116038  0.129898  0.111266  0.144691  0.140061  0.0835451  0.0623332  0.099917  0.0953763  0.13168  0.0837684  0.104597  0.101345  0.0519902  0.0941979  0.0805899  0.0756696  -99.0  0.183722  0.0388369  0.0307861  0.0286368  0.0308866  0.0346591  0.0514175  0.0495595  0.0362741  0.0349486  0.0393361  0.039516  0.0408892  0.0433561  0.0490485  0.0650738  0.0920322  0.103102  0.0831331  0.128387  -99.0  0.116113  -1.0
8863  0.0938596  0.122732  0.0562808  0.117155  0.116702  0.0890349  0.135931  0.101784  0.145586  0.085216  0.099917  0.132507  0.149019  0.143456  0.179076  0.128896  0.22611  0.247104  0.342294  0.356749  0.430923  0.0512285  0.0466658  0.042646  0.0481705  0.0396469  0.0371207  0.0367929  0.0364465  0.0384262  0.0370088  0.0395097  0.0402974  0.0457396  0.0468357  0.0510767  0.0554332  0.0638781  0.0692455  0.080869  0.0876926  0.0961002  -1.0
8925  0.0698232  0.0486764  0.047652  0.0474372  0.0388151  0.0304622  0.0503268  0.0303194  0.0474286  0.0455115  0.0337071  0.0666317  0.0520233  0.0888794  0.0726374  0.109376  0.11105  0.0509238  0.090757  0.132422  0.0730402  0.0321888  0.0284807  0.0282435  0.0239752  0.02352  0.0233171  0.0214359  0.0224803  0.0245992  0.0237432  0.0242382  0.0254869  0.031066  0.0323081  0.0320823  0.0365998  0.0412233  0.0556105  0.0628772  0.0608457  0.0611342  -1.0
8928  -99.0  -99.0  0.264607  -99.0  0.158592  0.203891  0.282488  0.272598  0.196644  0.251468  0.232746  0.354978  0.26463  0.197916  0.288004  -99.0  -99.0  0.242639  -99.0  0.690942  0.653975  -99.0  -99.0  0.168383  -99.0  0.15602  0.156731  0.103882  0.0855351  0.0855721  0.0891435  0.0886727  0.0906105  0.099556  0.104348  0.11626  -99.0  -99.0  0.266234  -99.0  0.342832  0.287284  -1.0
