# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_north_idv41 figs_ra figs_dec threed_ra threed_dec
400001 25884 189.407975 62.275124 189.407990 62.275162
400002 24759 189.364487 62.272724 189.364502 62.272724
400003 25216 189.462067 62.266888 189.462051 62.266880
400004 25473 189.310150 62.266514 189.310165 62.266521
400005 25223 189.309662 62.266342 189.309677 62.266346
400006 25283 189.374954 62.266563 189.374954 62.266563
400007 25397 189.412735 62.266430 189.412735 62.266434
400008 25131 189.373230 62.265972 189.373260 62.265976
400009 25333 189.377274 62.266140 189.377289 62.266144
400010 25348 189.351044 62.266060 189.351059 62.266071
400011 25347 189.389710 62.266094 189.389709 62.266094
400012 25361 189.452469 62.265888 189.452469 62.265888
400013 25384 189.295883 62.266026 189.295898 62.266026
400014 25248 189.314896 62.266003 189.314911 62.266006
400015 25262 189.368363 62.265938 189.368362 62.265930
400016 25229 189.356659 62.265854 189.356674 62.265862
400017 25221 189.369034 62.265854 189.369049 62.265854
400018 25233 189.382172 62.265812 189.382187 62.265823
400019 25214 189.317978 62.265854 189.317993 62.265854
400020 25205 189.359101 62.265785 189.359100 62.265793
400021 25300 189.368103 62.265766 189.368149 62.265690
400022 25196 189.340134 62.265781 189.340164 62.265774
400023 37192 189.310837 62.347912 189.310837 62.347908
400024 37256 189.309525 62.349087 189.309525 62.349094
400025 37217 189.312490 62.349029 189.312546 62.348999
400026 37233 189.320145 62.349045 189.320145 62.349064
400027 36258 189.335205 62.348377 189.335205 62.348373
400028 37170 189.305466 62.347836 189.305450 62.347839
400031 37107 189.344345 62.347599 189.344330 62.347599
400032 37080 189.402787 62.347561 189.402786 62.347565
400034 37167 189.323563 62.347633 189.323563 62.347630
400035 37162 189.372162 62.347519 189.372147 62.347527
400037 37176 189.292191 62.347607 189.292175 62.347607
400038 37129 189.366059 62.347492 189.366028 62.347427
400039 37006 189.300797 62.347305 189.300812 62.347290
400040 37052 189.316696 62.347286 189.316681 62.347282
400044 37152 189.372177 62.347221 189.372192 62.347229
400047 37155 189.376984 62.347176 189.376968 62.347172
400048 37116 189.294037 62.347198 189.294022 62.347202
400055 37114 189.343674 62.347042 189.343689 62.347038
400065 37072 189.325730 62.346714 189.325714 62.346710
400068 37115 189.356919 62.346664 189.356903 62.346657
