# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
88858 GOODS-N 189.176557 62.272816 0.8541 Barger_K Z 133.03 1.39 0.09
92535 GOODS-N 189.176764 62.279170 0.8356 Barger_K Z 234.15 1.36 0.05
42014 GOODS-N 189.177334 62.189407 0.8450 Barger_UV Z 186.01 1.14 0.06
76405 GOODS-N 189.178046 62.250802 0.6973 Barger_K Z 119.74 1.22 0.10
89993 GOODS-N 189.179370 62.275523 0.8699 Barger_K Z 248.84 1.25 0.05
53471 GOODS-N 189.179822 62.211731 0.8457 Barger_ACS Z 485.24 1.72 0.06
87585 GOODS-N 189.179891 62.273634 0.8509 Barger_K Z 564.01 1.71 0.08
45026 GOODS-N 189.179994 62.196666 1.0074 Wirth_2004 3 228.58 1.64 0.08
62376 GOODS-N 189.180433 62.225739 0.9040 Barger_K Z 116.69 1.35 0.10
92378 GOODS-N 189.180581 62.281280 0.9438 GOODS-N-AL A 288.62 1.39 0.06
79928 GOODS-N 189.181350 62.258988 0.8474 Barger_K Z 213.68 1.20 0.05
76917 GOODS-N 189.181488 62.251585 0.8480 Barger_K Z 150.28 1.28 0.08
50422 GOODS-N 189.181790 62.205071 0.7507 Barger_K Z 230.07 1.22 0.06
43618 GOODS-N 189.182566 62.195238 0.7685 Barger_K Z 795.94 1.60 0.05
39842 GOODS-N 189.183181 62.185293 0.8453 Barger_UV Z 200.38 1.10 0.05
54327 GOODS-N 189.184139 62.211217 0.8737 Barger_K Z 112.75 1.10 0.08
40991 GOODS-N 189.184961 62.192549 1.0128 Wirth_2004 4 496.61 1.79 0.06
36842 GOODS-N 189.185144 62.181358 0.9370 Barger_ACS Z 155.64 1.31 0.07
75659 GOODS-N 189.186664 62.248714 0.8450 MOSDEF 4 199.17 1.25 0.06
87433 GOODS-N 189.187144 62.271319 0.7468 Barger_K Z 293.13 1.27 0.05
46766 GOODS-N 189.188918 62.198477 0.9682 Barger_ACS Z 156.58 1.75 0.12
79903 GOODS-N 189.189328 62.256443 0.6818 Barger_K Z 283.14 1.14 0.05
36105 GOODS-N 189.191488 62.183611 0.9312 Barger_ACS Z 248.73 1.82 0.10
48229 GOODS-N 189.191530 62.200388 0.6789 Barger_K Z 93.88 1.19 0.10
53563 GOODS-N 189.192230 62.212921 0.9050 Barger_K Z 297.44 1.63 0.07
74794 GOODS-N 189.192301 62.247729 0.6795 Wirth_2004 3 123.09 1.23 0.10
77715 GOODS-N 189.192615 62.257590 0.8510 Wirth_2004 4 310.37 1.22 0.05
65404 GOODS-N 189.193118 62.234639 0.9610 Barger_K Z 647.93 1.44 0.04
80411 GOODS-N 189.193273 62.258074 0.8504 Barger_ACS Z 268.81 1.69 0.08
36418 GOODS-N 189.194182 62.180293 0.9400 Barger_K Z 148.40 1.40 0.09
82141 GOODS-N 189.195261 62.261281 0.9170 Barger_K Z 302.61 1.36 0.05
68612 GOODS-N 189.196558 62.237297 0.6100 Barger_K Z 124.64 1.39 0.16
83499 GOODS-N 189.197312 62.274485 0.8707 Barger_ACS Z 603.06 1.54 0.05
62388 GOODS-N 189.197674 62.225022 0.9641 Barger_ACS Z 82.35 1.28 0.13
46914 GOODS-N 189.197738 62.197467 0.9123 Barger_ACS Z 81.89 1.24 0.11
56190 GOODS-N 189.198106 62.214635 0.6810 Barger_ACS Z 102.98 1.32 0.13
41630 GOODS-N 189.198719 62.188955 1.2234 Barger_K Z 111.73 1.27 0.14
52896 GOODS-N 189.199133 62.209159 0.9607 Barger_ACS Z 133.80 1.30 0.08
35156 GOODS-N 189.199465 62.179304 1.2233 Wirth_2004 3 189.96 1.33 0.08
38445 GOODS-N 189.200563 62.183952 0.6494 Wirth_2004 4 191.30 1.27 0.09
49261 GOODS-N 189.201093 62.203861 0.9609 Barger_K Z 170.27 1.33 0.09
76098 GOODS-N 189.201368 62.252073 0.9377 Barger_ACS Z 429.93 1.84 0.07
83503 GOODS-N 189.202551 62.264620 0.8522 Barger_K Z 534.24 1.61 0.05
44078 GOODS-N 189.202683 62.194841 1.0133 Barger_K Z 453.54 1.72 0.06
51003 GOODS-N 189.204441 62.205905 0.9535 Barger_K Z 242.66 1.21 0.05
45496 GOODS-N 189.205229 62.196807 0.9596 Wirth_2004 3 179.82 1.44 0.08
