# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
134044 GOODS-S 53.077615 -27.685201 1.1270 VLT_2008 A 67.63 1.35 0.21
116653 GOODS-S 53.077625 -27.721495 0.7340 VVDS D 122.59 1.30 0.09
133802 GOODS-S 53.077727 -27.683883 0.7100 VVDS D 91.48 1.30 0.14
108892 GOODS-S 53.077932 -27.736875 0.9580 CXO-CDFS A 144.69 1.50 0.09
121837 GOODS-S 53.078867 -27.711738 1.0210 VLT_2008 B 68.31 1.42 0.17
121095 GOODS-S 53.079236 -27.711868 1.0190 VLT_2008 A 151.16 1.70 0.11
135087 GOODS-S 53.080772 -27.681003 0.6820 VVDS B 714.63 1.39 0.04
117608 GOODS-S 53.081636 -27.717718 0.6400 PEARS_ETGs Z 618.65 1.88 0.07
126762 GOODS-S 53.082370 -27.701108 1.0440 VLT_2008 A 90.52 1.63 0.16
103864 GOODS-S 53.083171 -27.747170 0.7830 VLT_2008 C 127.58 1.25 0.09
134389 GOODS-S 53.085453 -27.683033 0.8949 VIMOS_10_M A 170.14 1.27 0.07
104774 GOODS-S 53.086105 -27.746234 0.7260 K20 A 365.72 1.61 0.07
132474 GOODS-S 53.086501 -27.687486 0.6830 VVDS B 174.31 1.19 0.07
102640 GOODS-S 53.089298 -27.750698 0.9470 VLT_IMAG C 128.71 1.21 0.09
134787 GOODS-S 53.090261 -27.682261 1.0450 VLT_2008 B 123.16 1.40 0.10
99452 GOODS-S 53.091323 -27.758460 0.7410 VLT_2008 A 26.68 1.65 0.72
123472 GOODS-S 53.093059 -27.707373 1.0100 PEARS_ETGs Z 118.60 1.74 0.14
106067 GOODS-S 53.094097 -27.740505 0.7380 K20 A 882.60 1.36 0.04
99892 GOODS-S 53.095101 -27.755100 1.0870 VLT_2008 A 93.64 1.15 0.11
118459 GOODS-S 53.095252 -27.717270 0.6710 VVDS B 104.73 1.13 0.10
114108 GOODS-S 53.095892 -27.725411 0.7400 PEARS_ETGs Z 321.70 1.72 0.09
120825 GOODS-S 53.096061 -27.707305 0.7328 VIMOS_10_M A 272.75 1.22 0.05
106859 GOODS-S 53.096508 -27.739684 0.7380 K20 A 305.43 1.29 0.05
107208 GOODS-S 53.097183 -27.742252 1.2210 VLT_2008 B 60.75 1.33 0.25
115462 GOODS-S 53.097521 -27.721266 0.6150 VLT_2008 A 994.16 1.32 0.04
92755 GOODS-S 53.098378 -27.766944 1.0330 VLT_2008 A 58.16 1.49 0.22
102847 GOODS-S 53.100103 -27.751121 1.1100 VLT_2008 A 97.39 1.26 0.12
93102 GOODS-S 53.100469 -27.767594 1.2250 VLT_2008 A 98.60 1.21 0.14
89031 GOODS-S 53.101614 -27.773408 0.8950 K20 A 150.49 1.79 0.13
108336 GOODS-S 53.104614 -27.740445 1.2200 VLT_2008 A 62.11 1.30 0.32
99014 GOODS-S 53.105246 -27.756648 0.6640 K20 A 641.43 1.29 0.04
123843 GOODS-S 53.105375 -27.706719 0.6130 VVDS D 322.49 1.18 0.05
90388 GOODS-S 53.105935 -27.771416 0.8960 K20 A 353.71 1.27 0.05
112789 GOODS-S 53.106111 -27.724322 0.6680 VLT_2008 A 956.00 1.52 0.05
99490 GOODS-S 53.106589 -27.758035 0.6670 VLT_2008 A 62.97 1.33 0.17
107136 GOODS-S 53.107347 -27.741929 0.8910 K20 A 163.54 1.47 0.08
120898 GOODS-S 53.107698 -27.712801 1.1830 VVDS D 88.90 1.46 0.16
117225 GOODS-S 53.108198 -27.720155 0.9720 VLT_2008 B 55.39 1.76 0.29
93627 GOODS-S 53.109056 -27.767658 1.2210 VLT_2008 A 36.90 1.23 0.41
87259 GOODS-S 53.109486 -27.775934 0.7380 K20 A 51.22 1.72 0.19
98048 GOODS-S 53.109547 -27.760050 1.0500 PEARS_ETGs Z 227.42 1.88 0.09
98698 GOODS-S 53.111936 -27.757828 0.8310 K20 A 291.56 1.37 0.06
109900 GOODS-S 53.112810 -27.734630 0.7390 VLT_2008 A 370.58 1.13 0.04
113361 GOODS-S 53.113234 -27.726632 0.6682 VIMOS_10_M A 235.84 1.34 0.08
93370 GOODS-S 53.113891 -27.767554 0.6680 K20 A 264.66 1.57 0.10
113555 GOODS-S 53.114876 -27.725394 0.6070 VLT_IMAG A 237.33 1.38 0.08
90791 GOODS-S 53.114947 -27.767561 0.6700 K20 A 545.22 1.37 0.05
102163 GOODS-S 53.115253 -27.751588 1.1100 VLT_2008 A 68.63 1.21 0.16
100543 GOODS-S 53.115619 -27.755188 0.6830 VLT_IMAG C 171.69 1.17 0.05
88671 GOODS-S 53.119725 -27.772304 0.7350 K20 A 423.41 1.61 0.06
93946 GOODS-S 53.120603 -27.766837 1.1000 VLT_2008 C 42.54 1.63 0.30
88279 GOODS-S 53.120738 -27.773213 0.7370 K20 A 203.36 1.52 0.09
119016 GOODS-S 53.120915 -27.715390 0.9250 VIMOS_10_M B 227.45 1.61 0.08
121405 GOODS-S 53.122073 -27.712453 0.8800 PEARS_ETGs Z 99.87 1.66 0.16
102153 GOODS-S 53.123770 -27.751992 0.7360 VLT_2008 A 278.79 1.17 0.05
110870 GOODS-S 53.125097 -27.729791 0.6700 FW_9 A 1001.01 1.21 0.04
97568 GOODS-S 53.125254 -27.756535 0.9550 VLT_2008 A 371.51 1.26 0.05
96481 GOODS-S 53.125270 -27.759500 0.6470 K20 A 441.75 1.25 0.04
98333 GOODS-S 53.126439 -27.756544 1.2230 VLT_2008 A 177.44 1.42 0.10
26345 GOODS-S 53.127373 -27.893653 1.1260 VLT_2008 C 20.87 1.74 0.72
15005 GOODS-S 53.128251 -27.915264 0.6866 ACES_2012 4 197.59 1.18 0.07
89212 GOODS-S 53.128513 -27.772701 1.0180 VLT_2008 A 454.38 1.55 0.05
85256 GOODS-S 53.128825 -27.780420 1.1730 VLT_2008 A 90.82 1.44 0.16
117865 GOODS-S 53.130039 -27.719551 1.0221 VUDS_2015 3 81.77 1.35 0.15
72524 GOODS-S 53.130330 -27.805615 1.1730 VLT_2008 A 111.31 1.38 0.12
17495 GOODS-S 53.130366 -27.913615 0.6610 VLT_2008 B 74.49 1.11 0.17
16596 GOODS-S 53.130366 -27.915512 0.6560 VLT_IMAG C 139.68 1.12 0.08
115775 GOODS-S 53.130476 -27.723096 1.0970 VLT_2008 B 97.59 1.27 0.12
78177 GOODS-S 53.130643 -27.790259 0.6650 CXO-CDFS A 782.25 1.25 0.04
25390 GOODS-S 53.130708 -27.888658 1.0000 PEARS_ETGs Z 197.11 1.51 0.09
115288 GOODS-S 53.130936 -27.723377 1.0250 VLT_2008 B 92.76 1.67 0.16
13543 GOODS-S 53.131480 -27.921453 1.1340 VLT_2008 A 87.55 1.39 0.15
16151 GOODS-S 53.131806 -27.917095 1.0890 VLT_2008 A 77.21 1.24 0.14
102547 GOODS-S 53.131855 -27.751345 1.0980 VLT_2008 A 89.87 1.25 0.14
71071 GOODS-S 53.132301 -27.810923 0.9960 K20 A 51.92 1.41 0.22
69419 GOODS-S 53.132376 -27.814240 0.7500 PEARS_ETGs Z 251.62 1.70 0.09
103918 GOODS-S 53.133505 -27.747705 0.8950 K20 A 389.83 1.61 0.06
27994 GOODS-S 53.133533 -27.890769 0.9880 VLT_2008 A 77.04 1.25 0.14
47038 GOODS-S 53.133894 -27.851542 0.6830 VLT_2008 A 153.20 1.30 0.10
112840 GOODS-S 53.134728 -27.729402 1.0260 VLT_2008 B 75.77 1.31 0.17
29322 GOODS-S 53.135877 -27.887968 0.9870 MASTER C 132.27 1.22 0.08
91095 GOODS-S 53.136311 -27.763179 0.9550 K20 A 546.42 1.50 0.05
66729 GOODS-S 53.136332 -27.816537 0.6706 VIMOS_10_M A 506.23 1.29 0.04
42703 GOODS-S 53.136388 -27.850696 0.7350 VLT_2008 A 580.47 1.75 0.06
31393 GOODS-S 53.136864 -27.884116 1.1350 VLT_2008 C 52.41 1.41 0.26
46603 GOODS-S 53.137145 -27.852164 0.7340 VLT_2008 A 152.60 1.62 0.13
100572 GOODS-S 53.137158 -27.754179 0.7650 K20 A 181.72 1.24 0.07
105547 GOODS-S 53.137591 -27.743506 0.6050 K20 A 910.71 1.67 0.05
77821 GOODS-S 53.137615 -27.791914 0.9980 K20 A 224.23 1.39 0.08
43816 GOODS-S 53.137828 -27.856631 0.7350 VLT_2008 A 133.66 1.44 0.12
12378 GOODS-S 53.137956 -27.923834 0.6300 PEARS_ETGs Z 537.31 1.68 0.06
108922 GOODS-S 53.138205 -27.737523 0.6650 K20 B 131.91 1.58 0.14
76125 GOODS-S 53.138550 -27.799460 1.0977 VUDS_2015 2 72.02 1.31 0.19
84478 GOODS-S 53.139283 -27.780668 0.7330 VVDS B 204.33 1.23 0.06
14386 GOODS-S 53.139745 -27.920454 0.6580 VVDS B 177.05 1.33 0.09
31899 GOODS-S 53.139820 -27.880603 1.0770 VVDS D 354.71 1.43 0.06
109151 GOODS-S 53.140917 -27.736119 0.6670 K20 A 520.90 1.59 0.06
110487 GOODS-S 53.141122 -27.732656 0.9790 VLT_2008 A 138.30 1.74 0.11
19226 GOODS-S 53.141256 -27.907070 0.6632 ACES_2012 4 324.85 1.44 0.08
109167 GOODS-S 53.141678 -27.736678 0.8950 VLT_2008 B 62.03 1.41 0.19
22402 GOODS-S 53.141867 -27.901909 0.8233 VIMOS_10_M A 259.59 1.24 0.05
62223 GOODS-S 53.141881 -27.827172 0.8400 PEARS_ETGs Z 151.41 1.68 0.13
25184 GOODS-S 53.142600 -27.895068 0.6850 VLT_2008 A 97.96 1.51 0.19
109794 GOODS-S 53.143109 -27.730585 0.6668 ACES_2012 4 519.81 1.39 0.05
110397 GOODS-S 53.144070 -27.734604 0.9370 VVDS D 88.05 1.34 0.11
26891 GOODS-S 53.144178 -27.890151 1.0990 VVDS D 312.58 1.14 0.05
54823 GOODS-S 53.144942 -27.840218 0.9780 VVDS B 196.85 1.12 0.07
23172 GOODS-S 53.145209 -27.897243 0.6830 VVDS B 491.99 1.65 0.06
86604 GOODS-S 53.145223 -27.777903 1.0990 VLT_2008 A 189.38 1.34 0.07
105980 GOODS-S 53.145346 -27.744600 0.6770 K20 A 146.99 1.46 0.11
21592 GOODS-S 53.145924 -27.901462 0.6700 PEARS_ETGs Z 443.13 1.56 0.07
93811 GOODS-S 53.146088 -27.766564 0.9537 VIMOS_10_M B 106.31 1.22 0.09
27562 GOODS-S 53.146168 -27.891951 0.8898 VIMOS_10_M C 77.63 1.23 0.12
60481 GOODS-S 53.146270 -27.831469 1.0960 VLT_2008 A 41.12 1.17 0.29
34457 GOODS-S 53.146597 -27.876704 0.7820 VVDS B 193.22 1.32 0.06
27974 GOODS-S 53.146612 -27.889677 0.6700 VLT_2008 A 254.65 1.71 0.11
48311 GOODS-S 53.146620 -27.850945 0.9810 VLT_2008 B 41.46 1.25 0.22
65145 GOODS-S 53.147358 -27.822427 0.6697 ACES_2012 3 155.37 1.11 0.07
108510 GOODS-S 53.147721 -27.739197 0.8800 PEARS_ETGs Z 223.49 1.62 0.07
23215 GOODS-S 53.147745 -27.900513 1.0890 VLT_2008 A 75.85 1.46 0.17
115781 GOODS-S 53.148473 -27.719482 1.2220 VLT_2008 A 156.30 1.67 0.11
48917 GOODS-S 53.148897 -27.848658 0.7344 VUDS_2015 1 35.70 1.12 0.26
74133 GOODS-S 53.148958 -27.799680 0.6650 VLT_2008 A 1056.98 1.54 0.04
78710 GOODS-S 53.149135 -27.792985 1.2230 VLT_2008 A 67.81 1.42 0.20
73333 GOODS-S 53.149846 -27.803301 0.6050 VLT_2008 A 720.32 1.43 0.05
107836 GOODS-S 53.150126 -27.739938 1.0400 Xue_4 A 262.43 1.23 0.05
117180 GOODS-S 53.150712 -27.716204 0.9667 VIMOS_10_M A 214.00 1.92 0.08
37429 GOODS-S 53.150887 -27.868331 0.7610 VVDS B 304.78 1.60 0.07
88069 GOODS-S 53.152073 -27.774814 0.7640 VLT_IMAG C 583.01 1.25 0.05
57446 GOODS-S 53.152157 -27.835112 0.9891 VIMOS_10_M A 466.03 1.15 0.04
96844 GOODS-S 53.152330 -27.761868 0.7100 PEARS_ETGs Z 165.48 1.27 0.07
103146 GOODS-S 53.152786 -27.750513 1.0190 K20 A 76.02 1.72 0.19
108795 GOODS-S 53.152981 -27.735115 0.6650 K20 A 351.36 1.31 0.05
17024 GOODS-S 53.153370 -27.913962 0.6610 VVDS B 278.36 1.18 0.05
114267 GOODS-S 53.153742 -27.725367 0.9586 VUDS_2015 1 26.60 1.19 0.38
95997 GOODS-S 53.153760 -27.763753 0.7652 VUDS_2015 2 45.93 1.37 0.30
90546 GOODS-S 53.154974 -27.768908 1.0500 PEARS_ETGs Z 577.57 1.77 0.07
76094 GOODS-S 53.155448 -27.791484 0.7100 PEARS_ETGs Z 1269.14 1.44 0.04
112448 GOODS-S 53.155483 -27.726190 0.6600 PEARS_ETGs Z 371.84 1.53 0.07
109967 GOODS-S 53.155861 -27.735275 1.0170 K20 A 147.74 1.38 0.08
70232 GOODS-S 53.156402 -27.810814 0.6650 VLT_2008 A 726.89 1.16 0.03
51356 GOODS-S 53.156680 -27.843269 0.6278 VIMOS_10_M A 427.14 1.21 0.04
108987 GOODS-S 53.157086 -27.737865 1.2150 VLT_2008 B 76.98 1.25 0.20
33294 GOODS-S 53.158667 -27.880188 1.0350 VVDS D 176.43 1.15 0.06
106649 GOODS-S 53.158782 -27.742386 1.1900 PEARS_ETGs Z 150.54 1.61 0.11
34128 GOODS-S 53.158957 -27.877881 0.7340 VVDS B 228.19 1.32 0.06
103037 GOODS-S 53.159407 -27.748641 0.6660 VLT_2008 A 385.98 1.76 0.08
23407 GOODS-S 53.159475 -27.898455 0.6900 PEARS_ETGs Z 350.54 1.46 0.07
52774 GOODS-S 53.159822 -27.841340 0.6291 ACES_2012 4 505.41 1.18 0.04
87827 GOODS-S 53.160161 -27.775527 0.6300 PEARS_ETGs Z 482.50 1.67 0.08
81011 GOODS-S 53.160354 -27.784002 0.9540 FW_7 A 418.65 1.58 0.05
23142 GOODS-S 53.160673 -27.897112 0.6200 PEARS_ETGs Z 1358.70 1.65 0.05
103049 GOODS-S 53.160788 -27.749989 0.9790 Kurk_2012 A 46.16 1.21 0.20
84625 GOODS-S 53.160815 -27.775379 0.6180 VLT_IMAG C 479.65 1.28 0.05
92860 GOODS-S 53.161499 -27.767621 0.6800 PEARS_ETGs Z 149.48 1.15 0.08
104292 GOODS-S 53.161611 -27.746921 0.7351 VIMOS_10_M A 199.46 1.51 0.09
83248 GOODS-S 53.161632 -27.780247 0.6190 VVDS B 588.09 1.64 0.07
66708 GOODS-S 53.161708 -27.819261 0.6693 VIMOS_10_M A 244.11 1.26 0.07
63902 GOODS-S 53.161746 -27.824573 0.8200 PEARS_ETGs Z 221.30 1.61 0.08
43997 GOODS-S 53.161866 -27.858128 0.7540 VVDS B 132.38 1.26 0.10
47740 GOODS-S 53.161886 -27.845847 1.0150 VLT_2008 A 304.31 1.41 0.06
35765 GOODS-S 53.163142 -27.873062 0.7610 VLT_2008 A 288.77 1.39 0.06
74060 GOODS-S 53.163418 -27.799548 0.6500 PEARS_ETGs Z 921.77 1.72 0.05
70878 GOODS-S 53.164309 -27.810825 0.7359 VIMOS_10_M A 149.93 1.35 0.09
61172 GOODS-S 53.164745 -27.824545 0.6500 PEARS_ETGs Z 625.22 1.59 0.05
65620 GOODS-S 53.164979 -27.819329 0.9700 PEARS_ETGs Z 657.50 1.69 0.05
34821 GOODS-S 53.165209 -27.873947 1.0958 VIMOS_10_M A 249.11 1.12 0.06
30763 GOODS-S 53.165467 -27.885331 0.6855 ACES_2012 4 176.29 1.18 0.08
44204 GOODS-S 53.165862 -27.858858 1.0360 VLT_2008 A 39.90 1.40 0.26
39116 GOODS-S 53.166565 -27.867970 0.6484 ACES_2012 4 152.68 1.29 0.09
58181 GOODS-S 53.168022 -27.832514 0.6500 PEARS_ETGs Z 362.04 1.79 0.08
70264 GOODS-S 53.168175 -27.812932 0.9630 VIMOS_10_M A 175.30 1.16 0.06
78415 GOODS-S 53.169475 -27.791939 0.6670 COMBO-17 A 700.45 1.53 0.05
13499 GOODS-S 53.169843 -27.918154 0.9780 VLT_2008 A 456.14 1.40 0.05
28593 GOODS-S 53.169899 -27.890071 0.6600 MASTER D 24.50 1.59 0.67
22917 GOODS-S 53.170918 -27.900476 0.6710 VVDS D 226.47 1.65 0.12
68525 GOODS-S 53.171182 -27.814712 0.6830 VVDS D 979.91 1.17 0.03
13986 GOODS-S 53.172094 -27.920529 0.6200 VVDS D 128.63 1.53 0.16
36110 GOODS-S 53.172427 -27.873753 0.6110 VVDS B 161.95 1.40 0.10
77522 GOODS-S 53.172524 -27.788092 0.6400 PEARS_ETGs Z 958.58 1.50 0.05
31861 GOODS-S 53.172679 -27.882669 0.6760 MASTER C 210.00 1.21 0.07
36121 GOODS-S 53.173438 -27.865976 0.7790 VVDS D 838.35 1.76 0.06
76592 GOODS-S 53.173667 -27.797363 0.6677 VIMOS_10_M B 132.67 1.20 0.08
68675 GOODS-S 53.174511 -27.814960 0.6660 VVDS B 510.38 1.16 0.04
35878 GOODS-S 53.175082 -27.873892 0.6500 VVDS B 383.65 1.16 0.04
42277 GOODS-S 53.175667 -27.862315 0.8800 PEARS_ETGs Z 108.66 1.50 0.12
21612 GOODS-S 53.175819 -27.903717 0.7370 VVDS B 203.85 1.19 0.06
39835 GOODS-S 53.178034 -27.866458 1.1230 VVDS B 148.01 1.39 0.09
26158 GOODS-S 53.178564 -27.890211 0.6500 PEARS_ETGs Z 842.00 1.70 0.05
85298 GOODS-S 53.179063 -27.780521 1.0360 VLT_2008 A 83.61 1.73 0.17
70598 GOODS-S 53.179326 -27.812523 0.7270 VLT_2008 C 58.99 1.24 0.24
53237 GOODS-S 53.179955 -27.843025 0.9050 VIMOS_10_M A 125.45 1.38 0.11
72905 GOODS-S 53.180242 -27.798928 0.6660 VVDS B 680.72 1.38 0.04
93815 GOODS-S 53.181207 -27.765670 1.2200 VLT_2008 A 231.97 1.24 0.07
17163 GOODS-S 53.183307 -27.915043 0.9080 CXO-CDFS A 143.06 1.19 0.08
100157 GOODS-S 53.183547 -27.756741 1.2210 VLT_2008 A 71.52 1.53 0.23
78077 GOODS-S 53.184165 -27.792630 0.7370 VLT_2008 A 782.83 1.16 0.03
51522 GOODS-S 53.184301 -27.844309 1.1220 VLT_2008 B 56.38 1.19 0.23
57014 GOODS-S 53.184564 -27.836041 1.0380 VLT_2008 A 164.86 1.74 0.10
17704 GOODS-S 53.184784 -27.913397 0.7320 VVDS B 151.80 1.44 0.11
61447 GOODS-S 53.185231 -27.827841 0.8400 PEARS_ETGs Z 241.49 1.85 0.09
38417 GOODS-S 53.186973 -27.869061 0.7820 VLT_2008 C 103.04 1.19 0.09
62528 GOODS-S 53.189880 -27.826710 0.6801 VIMOS_10_M A 501.83 1.50 0.05
83883 GOODS-S 53.190351 -27.782001 0.7430 VVDS D 98.72 1.11 0.10
60709 GOODS-S 53.190922 -27.831035 1.2279 VIMOS_10_M B 92.70 1.29 0.16
68104 GOODS-S 53.191211 -27.817277 1.1580 VLT_2008 A 84.93 1.18 0.15
93672 GOODS-S 53.191335 -27.767665 1.0370 VLT_2008 C 101.17 1.15 0.10
62122 GOODS-S 53.191648 -27.828335 0.6275 VIMOS_10_M A 81.70 1.26 0.17
17022 GOODS-S 53.191877 -27.912430 0.7330 VLT_2008 A 454.47 1.31 0.05
87372 GOODS-S 53.193106 -27.775560 1.2200 VLT_2008 A 55.70 1.30 0.25
66256 GOODS-S 53.193205 -27.820214 0.6830 VIMOS_10_M A 367.00 1.75 0.08
18260 GOODS-S 53.193371 -27.903872 0.6640 CXO-CDFS A 1314.17 1.37 0.04
14663 GOODS-S 53.193954 -27.918887 1.0890 VLT_2008 C 131.49 1.28 0.10
94544 GOODS-S 53.194616 -27.765542 1.0950 VLT_2008 A 55.14 1.54 0.22
35475 GOODS-S 53.194943 -27.874946 1.2270 VLT_2008 A 143.49 1.37 0.12
41478 GOODS-S 53.196579 -27.863206 1.1140 VLT_2008 A 176.04 1.46 0.08
81470 GOODS-S 53.197586 -27.786397 1.0980 VLT_2008 A 61.14 1.68 0.28
71200 GOODS-S 53.199680 -27.810448 0.6823 VIMOS_10_M A 80.85 1.29 0.15
70001 GOODS-S 53.200552 -27.812487 0.6700 PEARS_ETGs Z 424.52 1.75 0.08
55434 GOODS-S 53.204335 -27.837635 0.6052 VIMOS_10_M B 135.54 1.38 0.18
47101 GOODS-S 53.206310 -27.851605 0.7833 VIMOS_10_M A 303.79 1.23 0.05
59482 GOODS-S 53.206312 -27.832483 1.2270 VLT_2008 A 67.99 1.31 0.21
58222 GOODS-S 53.208757 -27.834432 0.7127 VIMOS_10_M A 146.05 1.33 0.10
23595 GOODS-S 53.210659 -27.899203 0.9760 VLT_2008 A 94.61 1.30 0.10
41115 GOODS-S 53.213657 -27.864474 0.9799 VIMOS_10_M A 45.55 1.24 0.23
59747 GOODS-S 53.215527 -27.830838 0.7358 VIMOS_10_M A 699.21 1.20 0.04
56922 GOODS-S 53.218124 -27.833686 0.8501 VUDS_2015 3 279.21 1.27 0.05
