# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
47065 GOODS-N 189.153336 62.203752 0.8517 0.8517 0.0167 3DHST 1.1869 0.0656 1.3892 0.0419 905.0514 905.0514
47115 GOODS-N 189.123579 62.200094 1.1059 1.0920 0.0121 3DHST 0.8570 0.1508 1.1259 0.1003 162.2465 158.7906
47126 GOODS-N 189.143115 62.198086 0.9328 0.8232 0.0139 3DHST 1.0728 0.1813 1.3712 0.1186 187.2262 47.6987
47153 GOODS-N 189.236011 62.212735 0.6185 0.6078 0.0107 3DHST 1.1068 0.0656 1.2046 0.0342 667.1478 660.8033
47355 GOODS-N 189.154232 62.199973 0.8037 0.6908 0.0118 3DHST 1.1626 0.0984 1.3366 0.0506 557.5336 131.5013
47561 GOODS-N 189.245803 62.202557 0.9152 0.8653 0.0128 3DHST 1.5353 0.1263 1.5748 0.0583 230.4449 196.2370
47814 GOODS-N 189.239500 62.203026 0.6875 0.6875 0.0064 3DHST 1.2319 0.0949 1.3516 0.0477 243.0548 243.0548
48176 GOODS-N 189.145689 62.206806 0.6562 0.6027 0.0056 3DHST 1.0863 0.0623 1.0953 0.0288 768.4380 651.0632
48189 GOODS-N 189.166745 62.202141 0.9911 0.9926 0.0088 3DHST 1.2820 0.0925 1.6216 0.0582 171.6315 165.9382
48216 GOODS-N 189.170196 62.200939 0.9835 0.9835 0.0282 3DHST 1.2760 0.1620 1.4007 0.0915 163.6749 163.6749
48650 GOODS-N 189.209032 62.204814 0.9258 0.9133 0.0121 3DHST 1.5620 0.1340 1.7022 0.0677 145.0158 142.0000
48737 GOODS-N 189.241017 62.202888 0.9381 0.9658 0.0190 3DHST 1.1187 0.1861 1.2358 0.1036 75.1956 66.5022
49261 GOODS-N 189.201093 62.203950 0.9541 1.1016 0.0446 3DHST 1.1768 0.1597 1.2999 0.0892 172.1607 90.9249
49779 GOODS-N 189.164335 62.203362 0.9672 0.9415 0.0306 3DHST 1.7191 0.3313 1.8005 0.1557 62.3745 49.9589
50196 GOODS-N 189.242933 62.204031 0.9772 0.9642 0.0070 3DHST 1.3209 0.1644 1.2192 0.0727 65.9696 58.4218
50214 GOODS-N 189.141333 62.204821 0.8453 1.2996 0.0162 3DHST 1.3655 0.1745 1.9244 0.1075 2529.2630 1092.2628
50422 GOODS-N 189.181790 62.205159 0.7455 0.7001 0.0115 3DHST 0.9362 0.0907 1.3353 0.0651 204.8410 116.8610
50439 GOODS-N 189.172884 62.204257 1.0654 1.0654 0.0097 3DHST 1.5170 0.1799 2.0211 0.1158 91.1368 91.1368
50799 GOODS-N 189.236018 62.205684 0.9324 0.9366 0.0079 3DHST 1.3436 0.1189 1.6820 0.0754 92.3545 89.7229
51003 GOODS-N 189.204441 62.205994 0.9422 0.9040 0.0151 3DHST 1.1381 0.0950 1.2741 0.0540 359.2350 320.9622
51587 GOODS-N 189.244353 62.206136 0.6892 0.5738 0.0440 3DHST 1.2149 0.1951 2.0512 0.1982 334.3071 71.0776
51609 GOODS-N 189.124760 62.206790 0.9534 1.0007 0.1326 3DHST 0.8301 0.2130 1.0621 0.1285 65.7594 50.6923
51648 GOODS-N 189.134688 62.207927 0.9060 0.9359 0.0098 3DHST 1.8582 0.3451 1.9255 0.1700 43.3302 24.8082
52017 GOODS-N 189.155800 62.208326 1.0064 1.0274 0.0072 3DHST 1.3089 0.1189 1.5076 0.0694 119.5121 93.7475
52288 GOODS-N 189.136231 62.208377 0.9050 0.9095 0.0131 3DHST 1.2467 0.2262 1.8347 0.1477 54.0497 51.5899
52440 GOODS-N 189.143881 62.211484 1.2094 1.1518 0.0104 3DHST 1.4721 0.1577 1.4593 0.0790 162.1922 122.7711
52460 GOODS-N 189.231522 62.212745 0.8129 0.7543 0.0101 3DHST 1.4808 0.1220 1.4330 0.0566 252.2900 122.9221
52896 GOODS-N 189.199133 62.209248 0.9424 0.7657 0.0679 3DHST 1.3071 0.1831 1.4395 0.0986 217.7505 75.6339
52998 GOODS-N 189.151611 62.210472 0.8819 0.8450 0.0141 3DHST 1.2510 0.1217 1.4633 0.0778 179.4222 152.1978
53362 GOODS-N 189.138379 62.210083 1.1201 1.1826 0.0368 3DHST 1.1592 0.1838 1.1181 0.1077 175.5152 140.9789
53471 GOODS-N 189.179822 62.211820 0.8341 0.8342 0.0012 3DHST 1.4496 0.1130 1.7448 0.0593 127.7601 111.5719
