# All galaxies in bin:    1.1 <= D4000 < 1.4
# ID        Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zspz    iABmag
56190     GOODS-N    0.681    0.57    0.30    0.70    102.98    1.32    -0.066       +0.011      23.94
41630     GOODS-N    1.223    1.22    1.12    1.22    111.73    1.27    -0.002       -0.002      23.17
52896     GOODS-N    0.961    0.94    0.37    0.91    133.80    1.30    -0.011       -0.026      23.37
35156     GOODS-N    1.223    1.20    1.16    1.21    189.96    1.33    -0.010       -0.006      22.62
38445     GOODS-N    0.649    0.73    0.38    0.73    191.30    1.27    +0.049       +0.049      22.50
49261     GOODS-N    0.961    0.89    0.47    0.93    170.27    1.33    -0.036       -0.016      22.55
51003     GOODS-N    0.954    0.94    0.33    0.91    242.66    1.21    -0.007       -0.022      22.46
66753     GOODS-N    0.752    0.85    0.47    0.83    395.31    1.31    +0.056       +0.045      21.87
39487     GOODS-N    1.019    0.95    0.92    0.96    134.13    1.17    -0.034       -0.029      23.10
37225     GOODS-N    0.683    0.66    0.32    0.66    241.33    1.25    -0.014       -0.014      22.67
15005     GOODS-S    0.687    0.69    0.39    0.67    197.59    1.18    +0.002       -0.010      21.70
117865    GOODS-S    1.022    1.01    0.98    0.99    81.77     1.35    -0.006       -0.016      24.73
