# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_south_idv41 figs_ra figs_dec threed_ra threed_dec
100178 17048 53.129726 -27.832929 53.129722 -27.832933
100180 17155 53.145977 -27.832676 53.145975 -27.832676
100182 17262 53.185600 -27.832508 53.185604 -27.832507
100183 17026 53.146721 -27.832859 53.146715 -27.832854
100184 17184 53.123775 -27.832567 53.123788 -27.832562
100185 17064 53.153572 -27.832836 53.153569 -27.832839
100186 17182 53.196773 -27.832344 53.196791 -27.832353
100188 17187 53.154213 -27.832731 53.154205 -27.832734
100190 17183 53.162758 -27.832550 53.162763 -27.832550
100191 17100 53.154880 -27.832731 53.154877 -27.832727
100193 17123 53.142135 -27.832689 53.142137 -27.832689
100195 17102 53.190555 -27.832691 53.190556 -27.832693
100196 17237 53.117264 -27.832510 53.117260 -27.832508
100197 17107 53.158077 -27.832647 53.158078 -27.832647
100198 17140 53.202110 -27.832601 53.202106 -27.832599
100199 17321 53.189266 -27.832290 53.189271 -27.832286
100200 17269 53.133877 -27.832315 53.133881 -27.832314
100201 17137 53.198837 -27.832557 53.198829 -27.832556
100203 17275 53.175880 -27.831636 53.175883 -27.831615
100205 17259 53.198135 -27.832096 53.198143 -27.832097
100206 17263 53.157200 -27.832483 53.157203 -27.832471
100207 17311 53.206749 -27.832304 53.206751 -27.832297
100208 17227 53.132751 -27.832378 53.132752 -27.832379
100210 17138 53.176334 -27.830639 53.176332 -27.830641
100211 17317 53.157402 -27.832050 53.157401 -27.832049
100212 17165 53.164326 -27.832430 53.164320 -27.832425
100213 17197 53.170799 -27.832348 53.170796 -27.832347
100214 17417 53.117767 -27.830475 53.117767 -27.830462
100215 17347 53.132110 -27.831735 53.132113 -27.831737
100216 17179 53.163879 -27.832342 53.163870 -27.832337
100217 17327 53.150043 -27.832205 53.150051 -27.832210
100218 17176 53.178448 -27.832319 53.178444 -27.832317
100220 17416 53.186703 -27.831655 53.186698 -27.831654
100221 17286 53.189510 -27.832104 53.189511 -27.832107
100222 17254 53.204044 -27.832138 53.204048 -27.832139
100223 17346 53.113132 -27.832069 53.113132 -27.832073
100224 17198 53.151085 -27.832203 53.151078 -27.832199
100225 17218 53.181530 -27.832187 53.181534 -27.832184
100226 17386 53.181480 -27.831795 53.181483 -27.831793
100227 17220 53.128811 -27.832146 53.128812 -27.832150
100229 17377 53.114208 -27.831856 53.114215 -27.831854
100231 17333 53.158508 -27.831857 53.158506 -27.831855
100232 17378 53.204872 -27.831789 53.204895 -27.831773
100233 17419 53.192108 -27.831518 53.192110 -27.831518
100236 17280 53.193683 -27.831873 53.193681 -27.831870
100237 17459 53.146267 -27.831463 53.146270 -27.831468
100238 17402 53.161709 -27.831562 53.161710 -27.831562
100239 17295 53.116733 -27.831835 53.116745 -27.831838
100240 17348 53.171436 -27.830389 53.171436 -27.830388
100241 17424 53.200279 -27.831493 53.200278 -27.831499
100242 17287 53.120781 -27.831783 53.120777 -27.831791
100243 17331 53.113434 -27.831756 53.113442 -27.831763
100244 17475 53.151260 -27.831341 53.151252 -27.831346
100245 31137 53.114387 -27.769138 53.114391 -27.769139
100247 35046 53.133518 -27.747768 53.133503 -27.747705
100248 35335 53.134239 -27.747719 53.134221 -27.747725
100249 35357 53.163143 -27.747692 53.163143 -27.747670
100250 35309 53.197201 -27.747722 53.197205 -27.747726
100251 35127 53.198314 -27.747848 53.198331 -27.747795
100252 35272 53.202534 -27.747715 53.202535 -27.747719
100253 35333 53.211689 -27.747692 53.211722 -27.747674
100254 35331 53.207001 -27.747703 53.207002 -27.747708
100255 35262 53.193767 -27.747776 53.193762 -27.747783
100256 35115 53.206219 -27.747900 53.206234 -27.747895
100257 35209 53.143604 -27.747917 53.143607 -27.747927
100259 35111 53.165443 -27.748087 53.165452 -27.748084
100260 35153 53.168190 -27.748041 53.168192 -27.748043
100262 35227 53.135029 -27.748003 53.135028 -27.748003
100263 35252 53.173191 -27.747988 53.173196 -27.747988
100264 35302 53.189899 -27.747923 53.189899 -27.747928
100265 35268 53.114567 -27.747999 53.114577 -27.748003
100266 35267 53.168720 -27.747965 53.168720 -27.747971
100267 35249 53.195610 -27.748005 53.195617 -27.748002
100268 35038 53.118458 -27.748152 53.118452 -27.748149
100269 35146 53.207638 -27.748060 53.207641 -27.748073
100270 35261 53.156662 -27.748030 53.156663 -27.748034
100271 35014 53.183887 -27.748201 53.183890 -27.748203
100272 35179 53.185730 -27.748094 53.185728 -27.748093
100274 35194 53.197044 -27.748121 53.197049 -27.748120
100275 35270 53.169258 -27.748071 53.169257 -27.748073
100276 35243 53.144832 -27.748133 53.144837 -27.748136
100277 35274 53.182079 -27.748085 53.182093 -27.748083
100278 35269 53.148502 -27.748125 53.148506 -27.748120
100279 35255 53.195961 -27.748096 53.195968 -27.748106
100280 35208 53.148853 -27.748148 53.148843 -27.748136
100281 35240 53.147342 -27.748184 53.147345 -27.748188
100282 35241 53.139694 -27.748195 53.139696 -27.748198
100283 35246 53.152138 -27.748236 53.152142 -27.748237
100284 35193 53.166458 -27.748266 53.166441 -27.748266
100285 35216 53.183285 -27.748249 53.183289 -27.748252
100286 34671 53.159401 -27.748636 53.159400 -27.748639
100287 35214 53.116070 -27.748283 53.116068 -27.748292
100288 35231 53.204895 -27.748285 53.204903 -27.748284
100289 35176 53.124687 -27.748390 53.124652 -27.748381
100290 34819 53.131496 -27.748533 53.131493 -27.748534
100291 35165 53.184913 -27.748388 53.184915 -27.748389
100293 35196 53.164669 -27.748380 53.164676 -27.748385
100294 35164 53.197841 -27.748445 53.197846 -27.748442
100295 35056 53.168316 -27.748520 53.168319 -27.748512
100296 35170 53.179191 -27.748527 53.179194 -27.748531
100297 34943 53.132088 -27.748569 53.132086 -27.748571
100299 35163 53.163933 -27.748501 53.163924 -27.748510
100300 35145 53.149227 -27.748585 53.149223 -27.748588
100301 35162 53.197429 -27.748541 53.197442 -27.748541
100302 35139 53.122211 -27.748621 53.122208 -27.748626
100303 35048 53.160568 -27.748686 53.160570 -27.748686
100304 35128 53.145462 -27.748651 53.145473 -27.748639
100305 35168 53.210277 -27.748640 53.210284 -27.748640
100306 35141 53.178661 -27.748632 53.178663 -27.748630
100307 34397 53.180042 -27.749155 53.180042 -27.749168
100308 35160 53.208702 -27.748648 53.208680 -27.748658
100309 34944 53.139152 -27.748840 53.139136 -27.748824
100310 35002 53.193901 -27.748834 53.193891 -27.748828
100311 35036 53.121960 -27.748813 53.121964 -27.748818
100312 35124 53.193237 -27.748773 53.193230 -27.748765
100314 35104 53.140903 -27.748815 53.140900 -27.748820
100315 35094 53.172508 -27.748855 53.172510 -27.748850
100316 35112 53.166755 -27.748892 53.166760 -27.748895
100317 34682 53.155815 -27.749145 53.155816 -27.749144
100318 34993 53.203117 -27.748943 53.203124 -27.748942
100319 35097 53.209064 -27.748897 53.209079 -27.748898
100320 35108 53.118259 -27.748913 53.118250 -27.748928
100321 35033 53.154140 -27.749029 53.154146 -27.749046
100322 35082 53.177475 -27.749004 53.177472 -27.749008
100323 35092 53.195171 -27.749039 53.195178 -27.749039
100324 35071 53.205227 -27.749061 53.205230 -27.749060
100325 35074 53.119148 -27.749098 53.119167 -27.749121
100326 35034 53.169304 -27.749132 53.169306 -27.749132
100327 34926 53.114391 -27.749224 53.114401 -27.749231
100328 34969 53.114544 -27.749414 53.114535 -27.749418
100329 34968 53.152866 -27.749237 53.152866 -27.749240
100331 35062 53.173076 -27.749155 53.173073 -27.749160
100332 34802 53.172523 -27.749325 53.172523 -27.749332
100334 35003 53.193573 -27.749197 53.193578 -27.749198
100335 34960 53.131096 -27.749294 53.131096 -27.749296
100336 35025 53.165706 -27.749187 53.165758 -27.749163
100337 35005 53.157020 -27.749267 53.157019 -27.749271
100338 35023 53.157856 -27.749285 53.157865 -27.749291
100339 34745 53.175400 -27.749527 53.175401 -27.749532
100340 35007 53.173149 -27.749424 53.173144 -27.749421
100341 35012 53.153171 -27.749431 53.153151 -27.749407
100342 34981 53.202038 -27.749409 53.202035 -27.749401
100343 34964 53.115391 -27.749502 53.115389 -27.749508
100344 34967 53.139484 -27.749494 53.139493 -27.749493
100345 34995 53.204830 -27.749437 53.204873 -27.749432
100346 34363 53.151336 -27.749891 53.151279 -27.749884
100348 34928 53.208881 -27.749515 53.208893 -27.749512
100349 34432 53.127224 -27.749857 53.127220 -27.749855
100350 34955 53.117641 -27.749569 53.117645 -27.749575
100351 34935 53.174225 -27.749637 53.174225 -27.749639
100352 34933 53.181652 -27.749630 53.181646 -27.749630
100353 34818 53.195759 -27.749693 53.195765 -27.749695
100354 34942 53.208698 -27.749637 53.208709 -27.749630
100355 35006 53.118210 -27.749351 53.118203 -27.749355
100356 34897 53.121948 -27.749788 53.121953 -27.749797
100357 34874 53.204407 -27.749834 53.204411 -27.749833
100358 34873 53.131294 -27.749895 53.131301 -27.749901
100359 34627 53.160801 -27.749994 53.160799 -27.749998
100360 34913 53.157627 -27.749857 53.157613 -27.749865
100361 34898 53.155006 -27.749870 53.154995 -27.749875
100362 34870 53.166530 -27.749868 53.166533 -27.749860
100363 34896 53.128677 -27.749880 53.128672 -27.749899
100364 34889 53.207985 -27.749929 53.207998 -27.749929
100365 34857 53.156002 -27.749922 53.156003 -27.749927
100366 34881 53.118908 -27.749986 53.118906 -27.749993
100367 34882 53.161724 -27.749971 53.161706 -27.749985
100369 34875 53.126522 -27.750137 53.126520 -27.750127
100371 34568 53.126514 -27.750385 53.126510 -27.750379
100372 34672 53.156383 -27.750297 53.156377 -27.750291
100373 34847 53.153454 -27.750196 53.153453 -27.750198
100374 34832 53.210487 -27.750225 53.210498 -27.750221
100376 34792 53.125122 -27.750234 53.125120 -27.750232
100377 34741 53.174221 -27.750337 53.174221 -27.750338
100378 34785 53.188946 -27.750273 53.188946 -27.750274
100379 34781 53.154873 -27.750305 53.154873 -27.750307
100380 34812 53.191940 -27.750316 53.191960 -27.750298
100381 34799 53.206783 -27.750337 53.206790 -27.750332
100382 34482 53.145439 -27.750526 53.145440 -27.750533
100383 34788 53.170288 -27.750383 53.170289 -27.750383
100384 34808 53.208439 -27.750376 53.208451 -27.750381
100385 34761 53.183552 -27.750398 53.183553 -27.750403
100386 34763 53.138687 -27.750459 53.138689 -27.750465
100387 34716 53.152778 -27.750511 53.152777 -27.750511
100388 34795 53.125034 -27.750463 53.125032 -27.750463
100389 34769 53.184658 -27.750585 53.184655 -27.750583
100390 34762 53.178501 -27.750547 53.178484 -27.750553
100391 34773 53.181072 -27.750601 53.181073 -27.750604
100392 34543 53.156536 -27.750774 53.156539 -27.750776
100394 34735 53.159382 -27.750622 53.159389 -27.750649
100395 34750 53.202343 -27.750612 53.202350 -27.750611
100396 34747 53.140213 -27.750591 53.140242 -27.750597
100397 34646 53.146114 -27.750610 53.146069 -27.750640
100398 34726 53.164383 -27.750648 53.164370 -27.750646
100399 34721 53.206432 -27.750608 53.206454 -27.750603
100400 34423 53.183163 -27.750963 53.183163 -27.750964
100401 34729 53.191105 -27.750772 53.191108 -27.750769
100402 34680 53.141556 -27.750812 53.141567 -27.750811
100403 34688 53.147457 -27.750830 53.147460 -27.750836
100404 34654 53.185779 -27.750807 53.185787 -27.750814
100405 34678 53.167030 -27.750856 53.167028 -27.750854
100406 34082 53.145183 -27.751045 53.145185 -27.751049
100407 34644 53.119907 -27.750976 53.119925 -27.750979
100408 34699 53.128212 -27.750915 53.128203 -27.750907
100409 34490 53.170742 -27.751142 53.170743 -27.751145
100410 34670 53.153000 -27.751011 53.153002 -27.751008
100411 34664 53.178634 -27.751024 53.178632 -27.751024
100412 34619 53.130596 -27.751016 53.130601 -27.751026
100413 34014 53.125896 -27.751272 53.125897 -27.751276
100414 34331 53.202343 -27.751278 53.202350 -27.751273
100415 34660 53.140178 -27.751158 53.140200 -27.751136
100416 34406 53.131843 -27.751339 53.131846 -27.751348
100417 34617 53.188713 -27.751148 53.188716 -27.751150
100418 34587 53.178673 -27.751182 53.178673 -27.751181
100419 34574 53.124622 -27.751285 53.124622 -27.751285
100420 34591 53.183204 -27.751343 53.183207 -27.751339
100422 34575 53.132225 -27.751390 53.132232 -27.751398
100423 34588 53.151607 -27.751362 53.151601 -27.751354
100424 34552 53.191410 -27.751381 53.191411 -27.751386
100425 34373 53.115253 -27.751592 53.115257 -27.751591
100426 34518 53.157257 -27.751518 53.157254 -27.751521
100427 34546 53.129703 -27.751447 53.129711 -27.751448
100428 34560 53.129303 -27.751587 53.129306 -27.751591
100429 34554 53.135704 -27.751537 53.135701 -27.751540
100430 34508 53.164009 -27.751556 53.164005 -27.751555
100431 34535 53.153271 -27.751606 53.153284 -27.751621
100432 34492 53.128090 -27.751629 53.128095 -27.751628
100433 34545 53.132088 -27.751728 53.132109 -27.751701
100435 34471 53.122692 -27.751745 53.122693 -27.751746
100436 34494 53.192184 -27.751800 53.192181 -27.751795
100437 34466 53.130672 -27.751814 53.130674 -27.751819
100438 34297 53.123771 -27.752003 53.123769 -27.751995
100441 34481 53.178970 -27.751806 53.178958 -27.751807
100442 34478 53.158630 -27.751840 53.158627 -27.751843
100444 34475 53.115612 -27.751835 53.115609 -27.751845
100445 34485 53.165024 -27.751892 53.165020 -27.751892
100446 34419 53.164837 -27.752031 53.164838 -27.752033
100447 34464 53.211078 -27.751837 53.211086 -27.751831
100448 34484 53.129879 -27.751917 53.129883 -27.751920
100449 34486 53.162491 -27.751919 53.162489 -27.751918
100450 34461 53.140346 -27.751921 53.140345 -27.751925
100451 34298 53.140587 -27.752092 53.140575 -27.752103
100452 34448 53.140205 -27.751964 53.140211 -27.751969
100453 34474 53.113991 -27.752018 53.113989 -27.752017
100454 34467 53.130577 -27.752064 53.130596 -27.752071
100455 34454 53.177265 -27.752069 53.177261 -27.752070
100456 34359 53.157902 -27.752226 53.157904 -27.752224
100457 34412 53.138225 -27.752102 53.138223 -27.752107
100459 34418 53.150245 -27.752239 53.150246 -27.752242
100460 34437 53.171726 -27.752247 53.171730 -27.752246
100463 34388 53.167076 -27.752268 53.167085 -27.752265
100464 34392 53.166000 -27.752275 53.166006 -27.752278
100465 34307 53.183746 -27.752346 53.183748 -27.752349
100466 34394 53.140789 -27.752336 53.140783 -27.752336
100467 34390 53.180252 -27.752388 53.180254 -27.752385
100468 34431 53.207817 -27.752333 53.207831 -27.752312
100472 34400 53.192371 -27.752369 53.192367 -27.752368
100473 34365 53.189274 -27.752357 53.189278 -27.752360
100474 34354 53.204319 -27.752386 53.204321 -27.752380
100475 34370 53.146934 -27.752420 53.146931 -27.752419
100476 34187 53.184067 -27.752619 53.184064 -27.752621
100478 34366 53.143486 -27.752504 53.143487 -27.752505
100479 34347 53.119243 -27.752523 53.119245 -27.752539
100480 34325 53.165432 -27.752508 53.165435 -27.752518
100481 34374 53.158424 -27.752579 53.158423 -27.752563
100482 34361 53.175354 -27.752582 53.175360 -27.752582
100483 34358 53.191318 -27.752609 53.191321 -27.752612
100484 34320 53.122883 -27.752603 53.122885 -27.752605
100485 34288 53.191753 -27.752680 53.191759 -27.752672
100486 34114 53.121811 -27.752712 53.121829 -27.752708
100487 34346 53.171638 -27.752735 53.171638 -27.752735
100488 34287 53.144878 -27.752706 53.144863 -27.752707
100489 34285 53.115825 -27.752827 53.115829 -27.752833
100490 34290 53.132046 -27.752802 53.132050 -27.752807
100491 34272 53.180176 -27.752773 53.180170 -27.752767
100495 34220 53.206951 -27.752888 53.206961 -27.752883
100496 34063 53.186077 -27.752926 53.186039 -27.752915
100497 34321 53.178940 -27.752857 53.178955 -27.752850
100498 34309 53.130409 -27.752888 53.130411 -27.752893
100499 34268 53.209259 -27.752828 53.209273 -27.752820
100500 34134 53.124245 -27.752991 53.124248 -27.752996
100501 34275 53.115578 -27.752899 53.115584 -27.752908
100502 34295 53.150478 -27.752920 53.150479 -27.752923
100503 34294 53.140259 -27.752895 53.140245 -27.752896
100505 34269 53.202438 -27.752903 53.202431 -27.752896
100506 34202 53.184521 -27.752945 53.184521 -27.752968
100507 34260 53.151851 -27.753000 53.151852 -27.753003
100508 34251 53.171612 -27.752985 53.171616 -27.752981
100510 34167 53.123455 -27.753137 53.123454 -27.753145
100512 34274 53.197910 -27.753042 53.197919 -27.753049
100515 34264 53.125046 -27.753147 53.125052 -27.753151
100517 34249 53.163551 -27.753101 53.163552 -27.753097
100518 34266 53.138714 -27.753132 53.138709 -27.753128
100519 34212 53.147846 -27.753166 53.147842 -27.753165
100521 34207 53.198887 -27.753170 53.198890 -27.753171
100522 34221 53.158516 -27.753216 53.158515 -27.753232
100523 34213 53.130901 -27.753229 53.130899 -27.753235
100524 34185 53.151916 -27.753221 53.151918 -27.753227
100525 34003 53.174568 -27.753370 53.174567 -27.753371
100529 34225 53.207706 -27.753288 53.207717 -27.753282
100530 34195 53.117653 -27.753315 53.117659 -27.753317
100531 34205 53.124096 -27.753292 53.124103 -27.753297
100532 34234 53.197517 -27.753324 53.197517 -27.753323
100533 34056 53.147339 -27.753500 53.147349 -27.753497
100534 34198 53.171295 -27.753374 53.171283 -27.753353
100535 34120 53.187816 -27.753429 53.187815 -27.753431
100536 34067 53.191696 -27.753515 53.191696 -27.753515
100537 34143 53.146816 -27.753431 53.146832 -27.753434
100538 34083 53.131775 -27.753563 53.131778 -27.753567
100540 33886 53.158974 -27.753717 53.158975 -27.753721
100541 34164 53.115452 -27.753525 53.115451 -27.753531
100542 33849 53.195240 -27.753782 53.195240 -27.753776
100543 34139 53.139080 -27.753532 53.139083 -27.753539
100544 34166 53.169555 -27.753692 53.169556 -27.753689
100545 34129 53.135128 -27.753683 53.135118 -27.753688
