# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
29322 GOODS-S 53.135877 -27.887968 0.9635 0.8292 0.0184 3DHST 1.0786 0.1643 1.5952 0.1111 227.4437 115.9020
29794 GOODS-S 53.138950 -27.886919 0.6940 0.6828 0.0129 3DHST 1.3713 0.2415 1.6106 0.1465 77.5780 74.2765
30010 GOODS-S 53.164521 -27.883791 0.6785 0.6676 0.0069 3DHST 1.4027 0.2062 2.1241 0.1483 127.4782 124.5205
30107 GOODS-S 53.133932 -27.886666 0.9140 0.9401 0.0096 3DHST 0.8422 0.0939 1.2769 0.0695 144.1821 108.2635
30286 GOODS-S 53.195926 -27.885478 0.6798 0.6363 0.0123 3DHST 1.2806 0.1822 1.5786 0.1076 135.5122 81.4026
30676 GOODS-S 53.164456 -27.883471 0.6766 0.7334 0.0124 3DHST 1.1584 0.0902 1.1954 0.0440 280.9714 226.4711
30763 GOODS-S 53.165467 -27.885331 0.6932 0.5773 0.0412 3DHST 1.4199 0.2703 1.9996 0.2403 318.5720 115.8107
30887 GOODS-S 53.179241 -27.884619 0.9127 0.7930 0.0578 3DHST 1.0477 0.1486 1.1224 0.0911 292.1388 138.3071
31086 GOODS-S 53.178130 -27.884897 0.8474 0.6395 0.0258 3DHST 1.2315 0.2730 1.3049 0.1400 328.9315 174.7836
31325 GOODS-S 53.185805 -27.882850 0.6663 0.6336 0.0150 3DHST 1.1904 0.1284 1.2130 0.0612 134.1122 95.1588
31861 GOODS-S 53.172679 -27.882669 0.6757 0.5908 0.0162 3DHST 0.9448 0.1290 1.2491 0.0953 187.4895 103.0229
31899 GOODS-S 53.139820 -27.880603 1.1610 1.1466 0.0162 3DHST 1.2018 0.0928 1.3982 0.0592 201.3984 200.0904
32674 GOODS-S 53.152949 -27.877295 0.6250 0.5827 0.0057 3DHST 1.1643 0.0835 1.4912 0.0566 137.4373 87.2323
32885 GOODS-S 53.185907 -27.880391 0.6154 0.5941 0.0106 3DHST 1.1248 0.2339 1.4121 0.1563 79.4568 75.2576
33294 GOODS-S 53.158667 -27.880188 1.0280 0.9498 0.0057 3DHST 0.9906 0.1023 1.1213 0.0592 375.9930 176.5798
34128 GOODS-S 53.158957 -27.877881 0.7288 0.5810 0.0209 3DHST 1.1049 0.1457 1.5813 0.1061 401.8493 129.3561
34208 GOODS-S 53.191189 -27.872941 0.9994 0.9994 0.0111 3DHST 1.1561 0.0947 1.3194 0.0525 204.2864 204.2864
34457 GOODS-S 53.146597 -27.876704 0.7884 0.8092 0.0113 3DHST 1.1607 0.0977 1.2895 0.0615 210.5440 200.8694
34803 GOODS-S 53.183195 -27.876363 0.6458 0.6135 0.0136 3DHST 1.1625 0.1194 1.3098 0.0685 202.3124 146.6728
34821 GOODS-S 53.165209 -27.873947 1.0445 1.0176 0.0124 3DHST 1.1286 0.1101 1.2235 0.0607 245.9490 213.8207
35475 GOODS-S 53.194943 -27.874946 1.2302 1.2154 0.0255 3DHST 1.4670 0.2481 1.3614 0.1181 152.4236 151.0738
35579 GOODS-S 53.186398 -27.874972 0.9675 0.9040 0.0298 3DHST 1.0424 0.1776 1.2545 0.1051 159.4778 138.2676
35765 GOODS-S 53.163142 -27.873062 0.8528 0.8165 0.0088 3DHST 1.5168 0.1339 1.3867 0.0576 241.6584 224.3119
36110 GOODS-S 53.172427 -27.873753 0.6231 0.5912 0.0086 3DHST 1.2110 0.1796 1.6589 0.1363 97.1290 72.6949
36121 GOODS-S 53.173438 -27.865976 0.7809 0.7691 0.0057 3DHST 1.7635 0.1324 1.5993 0.0610 145.9594 139.9440
