# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
38417 GOODS-S 53.186973 -27.869061 0.7540 0.6138 0.0826 CANDELS 1.1095 0.2716 1.4558 0.1752 218.3060 91.3135
38577 GOODS-S 53.187607 -27.868807 0.7620 0.8068 0.0129 CANDELS 1.6656 0.2813 1.4502 0.1216 154.5688 130.9853
39503 GOODS-S 53.173913 -27.865049 0.8210 0.7853 0.0092 CANDELS 1.1715 0.1049 1.4188 0.0701 141.4061 120.2006
40488 GOODS-S 53.168321 -27.865487 0.6730 0.5882 0.0093 CANDELS 1.1439 0.1478 1.4648 0.1016 290.2135 127.1317
41478 GOODS-S 53.196579 -27.863206 1.1140 1.1357 0.0182 CANDELS 1.2682 0.1602 1.4210 0.0849 105.9890 101.4667
42277 GOODS-S 53.175667 -27.862315 0.8410 0.8504 0.0086 CANDELS 1.4972 0.2491 1.8092 0.1643 77.5831 72.7078
42703 GOODS-S 53.136388 -27.850696 0.6520 0.7189 0.0073 CANDELS 1.7612 0.1314 1.9721 0.0741 684.6073 375.2143
42894 GOODS-S 53.178791 -27.859692 0.7550 0.7666 0.0123 CANDELS 1.2426 0.2712 1.7500 0.1846 89.9734 86.9342
43404 GOODS-S 53.207779 -27.858065 0.7620 0.6727 0.0173 CANDELS 1.6196 0.1793 1.3168 0.0722 224.3927 97.1990
43478 GOODS-S 53.190104 -27.859178 0.8060 0.8069 0.0044 CANDELS 0.8850 0.0774 1.2057 0.0511 235.6303 228.1668
43758 GOODS-S 53.184452 -27.857426 1.2320 1.2320 0.0143 CANDELS 1.5692 0.2638 1.6463 0.1442 81.0348 81.0348
43997 GOODS-S 53.161866 -27.858128 0.6170 0.6296 0.0251 CANDELS 1.3487 0.3198 1.6030 0.1847 102.9776 97.8651
44047 GOODS-S 53.153420 -27.858637 1.1880 1.1592 0.0193 CANDELS 1.2073 0.2724 1.3007 0.1448 105.6820 98.7808
44163 GOODS-S 53.153382 -27.857359 0.6740 0.6095 0.0167 CANDELS 1.0153 0.1759 1.2965 0.1170 142.8255 87.0642
45462 GOODS-S 53.176780 -27.855401 0.8500 0.6715 0.0333 CANDELS 1.3136 0.2201 1.4160 0.1191 324.0208 132.7613
45502 GOODS-S 53.167266 -27.856362 0.6720 0.6609 0.0192 CANDELS 1.4244 0.2180 1.4531 0.1181 117.4236 111.8811
45879 GOODS-S 53.158459 -27.854919 0.6020 0.8167 0.0102 CANDELS 1.5071 0.2650 2.2515 0.1970 1042.8498 300.5933
46037 GOODS-S 53.188363 -27.853537 1.1840 1.1695 0.0190 CANDELS 0.9372 0.1883 1.2448 0.1257 110.5166 107.5250
46479 GOODS-S 53.164699 -27.853335 1.0410 1.0582 0.0108 CANDELS 1.0307 0.1359 1.1229 0.0782 132.3184 125.6616
46603 GOODS-S 53.137145 -27.852164 0.6260 0.6151 0.0268 CANDELS 1.5104 0.3983 1.8682 0.2773 175.0137 166.3934
47038 GOODS-S 53.133894 -27.851542 0.6300 0.6483 0.0220 CANDELS 1.0987 0.1793 1.2852 0.1019 91.6003 88.9928
47225 GOODS-S 53.196543 -27.851664 1.1800 1.2099 0.0139 CANDELS 1.5733 0.2125 1.6523 0.1176 97.5687 82.3651
47324 GOODS-S 53.175354 -27.852604 0.9300 0.9300 0.0126 CANDELS 1.1082 0.1376 1.1260 0.0790 108.8116 108.8116
47396 GOODS-S 53.146899 -27.851333 0.6850 0.6739 0.0215 CANDELS 0.9249 0.1820 1.2724 0.1256 103.9932 103.2982
47469 GOODS-S 53.173538 -27.852422 0.9230 0.9230 0.0162 CANDELS 0.8801 0.1631 1.2541 0.1065 119.9053 119.9053
47740 GOODS-S 53.161886 -27.845847 1.0150 1.1024 0.0116 CANDELS 1.2084 0.0956 1.3998 0.0552 350.4047 171.0707
48890 GOODS-S 53.206965 -27.848048 0.8530 0.8695 0.0124 CANDELS 1.1642 0.1336 1.2525 0.0631 230.9945 202.6971
51976 GOODS-S 53.204560 -27.842450 0.9140 0.7830 0.0070 CANDELS 0.7821 0.1121 1.1252 0.0799 539.5636 244.9462
52204 GOODS-S 53.187297 -27.843166 0.6360 0.4871 0.0413 CANDELS nan nan nan nan 126.4958 98.5956
52481 GOODS-S 53.169227 -27.842715 0.7900 0.7780 0.0105 CANDELS 1.8401 0.2290 1.8575 0.1157 165.2584 155.9041
53248 GOODS-S 53.186876 -27.841159 0.8000 0.7764 0.0068 CANDELS 1.0630 0.0656 1.1533 0.0397 588.2989 538.0629
54823 GOODS-S 53.144942 -27.840218 0.9280 0.9027 0.0061 CANDELS 1.0129 0.1116 1.1326 0.0619 160.5920 137.6911
54921 GOODS-S 53.214937 -27.838243 0.8700 0.7865 0.0084 CANDELS 1.1084 0.0671 1.1984 0.0389 1090.4627 741.4209
54977 GOODS-S 53.189606 -27.838391 1.0090 1.0090 0.0126 CANDELS 1.2037 0.1794 1.3888 0.1054 65.5667 65.5667
55434 GOODS-S 53.204335 -27.837635 1.1220 1.1394 0.0272 CANDELS 1.2135 0.1817 1.4465 0.1183 87.9722 84.5315
56922 GOODS-S 53.218124 -27.833686 0.8140 0.7441 0.0074 CANDELS 1.2503 0.1216 1.4094 0.0595 305.2211 170.0057
57014 GOODS-S 53.184564 -27.836041 1.0460 0.9930 0.0182 CANDELS 1.4463 0.1824 1.8478 0.1092 120.6983 83.7780
57685 GOODS-S 53.152486 -27.834321 0.7450 0.6886 0.0083 CANDELS 0.9857 0.0927 1.3706 0.0639 139.9919 83.2957
58181 GOODS-S 53.168022 -27.832514 0.6690 0.6714 0.0023 CANDELS 1.3211 0.1236 1.8231 0.0810 96.1597 93.2491
58222 GOODS-S 53.208757 -27.834432 0.7190 0.6853 0.0397 CANDELS 1.2217 0.4190 1.4694 0.2149 78.7646 73.4294
59492 GOODS-S 53.146181 -27.832902 0.9700 0.9700 0.0127 CANDELS 1.2123 0.1755 1.3390 0.1016 106.2909 106.2909
59747 GOODS-S 53.215527 -27.830838 0.7120 0.6355 0.0053 CANDELS 1.4609 0.0864 1.3308 0.0426 885.5481 327.2397
60296 GOODS-S 53.160272 -27.825516 0.6290 0.6589 0.0106 CANDELS 1.2136 0.1611 1.4624 0.0977 90.1407 81.5183
60999 GOODS-S 53.202886 -27.829515 1.1790 1.1223 0.0530 CANDELS 1.5294 0.2838 1.4229 0.1316 154.7898 142.8637
61172 GOODS-S 53.164745 -27.824545 0.6060 0.6337 0.0076 CANDELS 1.2942 0.0956 1.4965 0.0535 470.4690 393.3272
61235 GOODS-S 53.188120 -27.827765 1.1070 1.1070 0.0126 CANDELS 1.4119 0.1355 1.7074 0.0820 117.9034 117.9034
61447 GOODS-S 53.185231 -27.827841 0.9760 0.9985 0.0179 CANDELS 1.2747 0.1163 1.4754 0.0662 176.9049 161.5687
62528 GOODS-S 53.189880 -27.826710 0.6600 0.6661 0.0064 CANDELS 1.2158 0.0886 1.6024 0.0544 98.0745 95.0736
63902 GOODS-S 53.161746 -27.824573 0.7600 0.8181 0.0098 CANDELS 1.7993 0.1905 1.7122 0.0875 248.2807 115.0849
65145 GOODS-S 53.147358 -27.822427 1.0460 0.6407 0.0113 CANDELS 1.0749 0.1485 1.2801 0.0847 700.3573 238.9450
65825 GOODS-S 53.171733 -27.821792 0.8800 0.8800 0.0070 CANDELS 1.1424 0.1073 1.0910 0.0543 196.7659 196.7659
65981 GOODS-S 53.172631 -27.821429 0.7200 0.6329 0.0207 CANDELS 1.5015 0.2328 1.4478 0.1145 174.2819 101.6775
66256 GOODS-S 53.193205 -27.820214 0.6820 0.6820 0.0054 CANDELS 1.7819 0.1682 1.7964 0.0889 103.4808 103.4808
68104 GOODS-S 53.191211 -27.817277 1.1510 1.0549 0.0199 CANDELS 0.9924 0.1828 1.1741 0.1249 166.2288 102.8107
68675 GOODS-S 53.174511 -27.814960 0.6310 0.5784 0.0076 CANDELS 1.1941 0.0887 1.7425 0.0761 383.1327 148.6583
68841 GOODS-S 53.164449 -27.815337 1.1230 1.1088 0.0175 CANDELS 1.2775 0.1965 1.4752 0.1066 75.5785 75.2096
69419 GOODS-S 53.132376 -27.814240 0.7500 0.7637 0.0059 CANDELS 1.8469 0.1857 1.7251 0.0830 135.8084 112.2935
70001 GOODS-S 53.200552 -27.812487 0.6270 0.6578 0.0048 CANDELS 1.4549 0.1312 1.7903 0.0791 252.4186 169.3770
70264 GOODS-S 53.168175 -27.812932 0.9130 0.9265 0.0163 CANDELS 0.9387 0.1224 1.2381 0.0819 160.2237 146.4018
71560 GOODS-S 53.138046 -27.809661 0.6330 0.6390 0.0066 CANDELS 1.2609 0.3609 1.5177 0.2320 70.0251 69.6647
72048 GOODS-S 53.151041 -27.809461 1.0230 1.0097 0.0124 CANDELS 0.9605 0.2734 1.1836 0.1674 85.1223 84.7227
72082 GOODS-S 53.137538 -27.808167 0.6250 0.6250 0.0073 CANDELS 1.1545 0.1649 1.3360 0.0977 119.5060 119.5060
72524 GOODS-S 53.130330 -27.805615 1.1140 1.1356 0.0418 CANDELS 1.0712 0.2771 1.5145 0.1734 103.1699 100.0712
72905 GOODS-S 53.180242 -27.798928 0.6220 0.6325 0.0073 CANDELS 1.1514 0.0797 1.4837 0.0475 239.3293 233.9280
74011 GOODS-S 53.148753 -27.804300 0.9150 0.7621 0.0153 CANDELS 1.0505 0.1817 1.3587 0.1010 350.9333 144.5170
74039 GOODS-S 53.181639 -27.801309 0.7030 0.6806 0.0117 CANDELS 1.2346 0.1371 1.4065 0.0767 109.4444 96.5042
74060 GOODS-S 53.163418 -27.799548 0.6860 0.6747 0.0037 CANDELS 1.1152 0.0715 1.5091 0.0487 155.7379 143.8801
74133 GOODS-S 53.148958 -27.799680 0.6430 0.6450 0.0020 CANDELS 1.3739 0.0851 1.6591 0.0500 256.9506 253.2943
76094 GOODS-S 53.155448 -27.791484 0.6650 0.6801 0.0081 CANDELS 1.0236 0.0553 1.3299 0.0369 444.1290 387.1202
76751 GOODS-S 53.156749 -27.795597 1.0840 1.0565 0.0088 CANDELS 1.0803 0.0950 1.4316 0.0602 262.8140 229.6355
76863 GOODS-S 53.176198 -27.796140 0.9600 1.0603 0.0139 CANDELS 1.2101 0.1027 1.2133 0.0558 507.0357 314.6839
77821 GOODS-S 53.137615 -27.791914 0.9440 1.1271 0.0206 CANDELS 0.9890 0.1432 1.3762 0.0885 372.1576 124.4243
77902 GOODS-S 53.155870 -27.794899 1.0390 1.0121 0.0091 CANDELS 0.9240 0.1342 1.1327 0.0897 88.8162 74.8711
78360 GOODS-S 53.166209 -27.793911 1.0330 1.0195 0.0303 CANDELS 1.1748 0.2911 1.2771 0.1573 98.1849 98.1050
78415 GOODS-S 53.169475 -27.791939 0.6580 0.6580 0.0052 CANDELS 1.4681 0.1249 1.7252 0.0714 92.0619 92.0619
78576 GOODS-S 53.193869 -27.793295 0.6720 0.6285 0.0130 CANDELS 1.4347 0.1724 1.3652 0.0911 133.5163 100.9989
78885 GOODS-S 53.167566 -27.792511 1.0290 1.0385 0.0099 CANDELS 1.0777 0.1450 1.1639 0.0766 105.6708 101.4320
79581 GOODS-S 53.166182 -27.787518 1.0620 1.0823 0.0095 CANDELS 1.3385 0.0954 1.2579 0.0491 287.4670 266.7153
80255 GOODS-S 53.184823 -27.789929 0.8300 0.7824 0.0242 CANDELS 1.4158 0.1935 1.6856 0.1202 174.4365 127.0105
81011 GOODS-S 53.160354 -27.784002 0.9100 0.9379 0.0130 CANDELS 1.3476 0.1060 1.4285 0.0599 162.7022 133.5934
81021 GOODS-S 53.174030 -27.788006 1.0530 1.0780 0.0154 CANDELS 1.2496 0.3348 1.4405 0.1925 80.8425 78.0561
81256 GOODS-S 53.192066 -27.787169 1.0720 1.0447 0.0119 CANDELS 1.4398 0.1656 1.2045 0.0739 177.6018 164.0482
81306 GOODS-S 53.157227 -27.785265 0.6380 0.6380 0.0071 CANDELS 1.4415 0.3082 1.4896 0.1584 91.8533 91.8533
81636 GOODS-S 53.139403 -27.786768 1.2260 1.2260 0.0653 CANDELS 0.8620 0.3456 1.2974 0.2704 84.8019 84.8019
83479 GOODS-S 53.165885 -27.781539 1.0720 1.0733 0.0198 CANDELS 1.3464 0.1717 1.2244 0.0832 159.6755 158.1324
83511 GOODS-S 53.191558 -27.782675 1.2260 1.2307 0.0164 CANDELS 1.0919 0.3309 1.1999 0.2182 75.2482 74.7208
83686 GOODS-S 53.151837 -27.782861 0.8410 0.7816 0.0101 CANDELS 1.1167 0.1123 1.2164 0.0682 228.1413 160.5735
83735 GOODS-S 53.178229 -27.783074 1.0890 1.0954 0.0106 CANDELS 0.8334 0.1100 1.1321 0.0774 197.4920 195.9198
83789 GOODS-S 53.152780 -27.782707 0.7740 0.4537 0.3827 CANDELS nan nan nan nan 445.5826 307.2866
84173 GOODS-S 53.170684 -27.781968 0.6920 0.6958 0.0176 CANDELS 1.5782 0.3753 1.6021 0.2075 101.6157 99.1565
84197 GOODS-S 53.151856 -27.781965 0.9290 0.7018 0.0774 CANDELS 1.1703 0.2833 1.2750 0.1471 199.1163 95.5948
84478 GOODS-S 53.139283 -27.780668 0.6660 0.6660 0.0097 CANDELS 1.1666 0.1684 1.2354 0.0841 69.1653 69.1653
84991 GOODS-S 53.174431 -27.780859 0.6910 0.5952 0.0202 CANDELS 1.4550 0.4611 1.5609 0.2768 98.1388 84.5953
85298 GOODS-S 53.179063 -27.780521 0.8280 0.8556 0.0146 CANDELS 1.6627 0.6150 1.8051 0.3445 70.8475 64.9517
86604 GOODS-S 53.145223 -27.777903 1.0420 0.9633 0.1541 CANDELS 1.4658 0.1571 1.4367 0.0833 208.5087 187.4730
86719 GOODS-S 53.172993 -27.777857 1.0620 1.0620 0.0140 CANDELS 1.4232 0.2100 1.2770 0.1028 134.2158 134.2158
87658 GOODS-S 53.147773 -27.776948 1.0750 1.0079 0.0090 CANDELS 1.1274 0.1775 1.3347 0.1012 218.6142 101.1454
87755 GOODS-S 53.151786 -27.775421 1.0410 0.7693 0.0286 CANDELS 1.3255 0.2564 1.4498 0.1342 343.0607 102.8341
87843 GOODS-S 53.152786 -27.775293 0.9000 0.8874 0.0103 CANDELS 1.3153 0.1598 1.5441 0.0979 98.6075 95.4755
88069 GOODS-S 53.152073 -27.774814 0.7470 0.7354 0.0132 CANDELS 0.8583 0.0779 1.2656 0.0555 264.3181 259.1765
88222 GOODS-S 53.149080 -27.774303 1.1110 1.0832 0.0236 CANDELS 1.2660 0.1564 1.4348 0.0981 64.6455 59.2924
88279 GOODS-S 53.120738 -27.773213 0.7880 0.7970 0.0093 CANDELS 0.9240 0.1026 1.4623 0.0770 124.8560 124.3374
89212 GOODS-S 53.128513 -27.772701 0.9410 0.9541 0.0107 CANDELS 1.3871 0.0961 1.6594 0.0612 503.8481 450.4400
90325 GOODS-S 53.178381 -27.768232 0.6360 0.5934 0.0068 CANDELS 1.1503 0.0716 1.3234 0.0403 177.7358 101.5157
90359 GOODS-S 53.155244 -27.769531 0.7820 0.7585 0.0088 CANDELS 1.5148 0.2330 1.4715 0.1105 154.8121 138.4531
90388 GOODS-S 53.105935 -27.771416 0.7850 0.7499 0.0130 CANDELS 1.2577 0.1103 1.6525 0.0676 121.7490 91.7221
