# all galaxies in: d4000=1.1 to 1.2
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
125963    GOODS-N    0.837    1.49    0.33    1.49    995.43    1.11    +0.355       -0.276       +0.355      20.50
122267    GOODS-N    0.741    0.70    0.44    0.70    214.75    1.18    -0.024       -0.173       -0.024      22.77
126406    GOODS-S    0.861    0.90    1.40    0.96    176.41    1.12    +0.021       +0.290       +0.053      23.75
129355    GOODS-S    0.861    0.93    1.33    0.94    39.82     1.17    +0.037       +0.252       +0.042      23.49
121733    GOODS-S    0.683    0.68    0.67    0.67    171.17    1.15    -0.002       -0.008       -0.008      23.38
124152    GOODS-S    0.846    0.96    0.78    0.78    120.18    1.17    +0.062       -0.036       -0.036      23.64
118100    GOODS-S    0.644    0.62    0.67    0.67    159.11    1.13    -0.015       +0.016       +0.016      23.16
122766    GOODS-S    0.605    0.50    0.33    0.55    128.00    1.18    -0.065       -0.171       -0.034      23.01
117138    GOODS-S    0.648    0.61    0.40    0.59    581.46    1.19    -0.023       -0.150       -0.035      21.18
126769    GOODS-S    0.847    0.95    0.69    0.83    233.94    1.18    +0.056       -0.085       -0.009      23.00
132474    GOODS-S    0.683    0.64    0.62    0.66    174.31    1.19    -0.026       -0.037       -0.014      22.73
99892     GOODS-S    1.087    1.01    1.03    1.02    93.64     1.15    -0.037       -0.027       -0.032      23.78
118459    GOODS-S    0.671    0.68    0.38    0.66    104.73    1.13    +0.005       -0.174       -0.007      23.35
123843    GOODS-S    0.613    0.36    0.32    0.30    322.49    1.18    -0.157       -0.182       -0.194      22.41
109900    GOODS-S    0.739    0.90    0.41    0.73    370.58    1.13    +0.093       -0.189       -0.005      22.40
100543    GOODS-S    0.683    0.72    0.39    0.66    171.69    1.17    +0.022       -0.174       -0.014      23.33
102153    GOODS-S    0.736    0.74    0.65    0.74    278.79    1.17    +0.002       -0.050       +0.002      22.47
92860     GOODS-S    0.680    0.64    0.39    0.68    149.48    1.15    -0.024       -0.173       +0.000      23.76
34821     GOODS-S    1.096    1.04    1.03    1.03    249.11    1.12    -0.027       -0.031       -0.031      22.62
30763     GOODS-S    0.685    0.69    0.53    0.65    176.29    1.18    +0.003       -0.092       -0.021      22.89
70264     GOODS-S    0.963    0.94    0.93    0.93    175.30    1.16    -0.012       -0.017       -0.017      23.38
68525     GOODS-S    0.683    0.45    0.35    0.46    979.91    1.17    -0.138       -0.198       -0.133      20.57
76592     GOODS-S    0.668    0.58    0.36    0.64    132.67    1.20    -0.053       -0.185       -0.017      23.50
68675     GOODS-S    0.666    0.65    0.42    0.62    510.38    1.16    -0.010       -0.148       -0.028      22.01
35878     GOODS-S    0.650    0.64    0.30    0.62    383.65    1.16    -0.006       -0.212       -0.018      22.21
21612     GOODS-S    0.737    0.69    0.47    0.66    203.85    1.19    -0.027       -0.154       -0.044      22.75
17163     GOODS-S    0.908    0.89    1.28    0.90    143.06    1.19    -0.009       +0.195       -0.004      24.53
78077     GOODS-S    0.737    0.92    0.46    0.74    782.83    1.16    +0.105       -0.159       +0.002      21.68
51522     GOODS-S    1.122    1.01    1.25    1.07    56.38     1.19    -0.053       +0.060       -0.025      25.02
38417     GOODS-S    0.782    0.90    0.51    0.79    103.04    1.19    +0.066       -0.153       +0.004      23.90
83883     GOODS-S    0.743    1.19    1.26    1.29    98.72     1.11    +0.256       +0.297       +0.314      24.13
68104     GOODS-S    1.158    1.05    1.07    1.07    84.93     1.18    -0.050       -0.041       -0.041      24.05
93672     GOODS-S    1.037    0.96    0.97    0.97    101.17    1.15    -0.038       -0.033       -0.033      24.26
