# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
119319 41246 53.038381 -27.717163 53.038395 -27.717152
118087 41791 53.038469 -27.714209 53.038467 -27.714211
120109 41643 53.038494 -27.715461 53.038479 -27.715466
121191 42275 53.038531 -27.713293 53.038536 -27.713289
119143 41225 53.038683 -27.717232 53.038685 -27.717236
118826 41105 53.038750 -27.717839 53.038761 -27.717844
114034 39124 53.038783 -27.727334 53.038784 -27.727325
118941 41851 53.038834 -27.715277 53.038883 -27.715263
111948 38248 53.038838 -27.731786 53.038841 -27.731787
113606 39157 53.038842 -27.727445 53.038845 -27.727446
117202 40463 53.039087 -27.721122 53.039085 -27.721119
121967 42832 53.039161 -27.710034 53.039162 -27.710033
129741 46229 53.039229 -27.693055 53.039223 -27.693060
112617 39433 53.039396 -27.726626 53.039391 -27.726637
123197 42969 53.039410 -27.709353 53.039413 -27.709368
115003 39601 53.039428 -27.725168 53.039433 -27.725166
111596 38433 53.039458 -27.731655 53.039471 -27.731657
112457 38893 53.039484 -27.729479 53.039486 -27.729477
122354 42857 53.039489 -27.710649 53.039471 -27.710655
123168 43171 53.039775 -27.709049 53.039783 -27.709057
110505 38185 53.039800 -27.732202 53.039803 -27.732199
117178 40711 53.039818 -27.720517 53.039814 -27.720522
122372 42756 53.039908 -27.710942 53.039913 -27.710945
121733 42454 53.039915 -27.711628 53.039917 -27.711636
130643 46664 53.040019 -27.692171 53.040054 -27.692184
128652 45848 53.040036 -27.696569 53.040035 -27.696573
109948 37607 53.040106 -27.735932 53.040092 -27.735924
130226 46401 53.040164 -27.692947 53.040176 -27.692949
120559 42123 53.040175 -27.713881 53.040169 -27.713886
130287 46425 53.040344 -27.693388 53.040348 -27.693384
119927 41863 53.040404 -27.715391 53.040405 -27.715374
117725 40985 53.040435 -27.713365 53.040436 -27.713364
125271 43846 53.040439 -27.704954 53.040421 -27.704956
122302 42827 53.040488 -27.710731 53.040478 -27.710720
112573 38631 53.040569 -27.730092 53.040577 -27.730082
118557 41174 53.040588 -27.717943 53.040565 -27.717958
122173 42655 53.040638 -27.711236 53.040634 -27.711239
118531 41103 53.040694 -27.718169 53.040684 -27.718172
110031 37601 53.040739 -27.735774 53.040737 -27.735779
115522 39973 53.040766 -27.723907 53.040749 -27.723894
127678 45044 53.040774 -27.699684 53.040775 -27.699682
119937 41517 53.040785 -27.716017 53.040787 -27.716022
116250 40768 53.040829 -27.719064 53.040821 -27.719069
121746 42701 53.040861 -27.711600 53.040852 -27.711609
