# pearsid field ra dec specz specz_source specz_qual imag
85073 GOODS-N 189.165950 62.267053 0.8430 Barger_K Z 23.14
54405 GOODS-N 189.166361 62.213902 0.8460 Barger_24m Z 21.32
32497 GOODS-N 189.166581 62.174797 0.9350 Barger_K Z 22.20
48189 GOODS-N 189.166745 62.202052 1.0166 Barger_K Z 22.39
92859 GOODS-N 189.166959 62.281250 0.9410 Barger_K Z 23.78
91148 GOODS-N 189.167207 62.276870 0.8490 Barger_K Z 23.38
93602 GOODS-N 189.167298 62.282149 0.9426 Barger_K Z 22.18
91947 GOODS-N 189.168573 62.278265 0.8486 Barger_ACS Z 23.95
28029 GOODS-N 189.168829 62.167595 0.7480 Barger_K Z 22.32
36989 GOODS-N 189.169769 62.180284 1.0060 Barger_24m Z 24.01
39728 GOODS-N 189.170018 62.185821 0.7654 Barger_K Z 23.43
48216 GOODS-N 189.170196 62.200850 1.0091 Barger_ACS Z 23.21
36944 GOODS-N 189.170378 62.181871 0.8736 Barger_UV Z 22.49
63419 GOODS-N 189.170656 62.228186 1.0163 Barger_ACS Z 23.08
63526 GOODS-N 189.171079 62.227721 1.0158 Barger_ACS Z 23.44
59375 GOODS-N 189.171367 62.220700 1.0162 Wirth_2004 4 22.83
41388 GOODS-N 189.171411 62.190279 1.0202 Barger_K Z 23.32
88566 GOODS-N 189.172075 62.271681 0.8500 Barger_ACS Z 23.19
36639 GOODS-N 189.172688 62.180919 0.9367 Barger_ACS Z 22.82
72986 GOODS-N 189.173811 62.243790 0.9389 Barger_UV Z 23.68
94262 GOODS-N 189.174482 62.282598 0.8505 Barger_ACS Z 23.58
74641 GOODS-N 189.174731 62.249069 0.8500 Barger_24m Z 22.97
61065 GOODS-N 189.175163 62.222600 0.8460 Barger_K Z 23.83
81749 GOODS-N 189.175851 62.262638 0.8575 Barger_24m Z 21.39
71198 GOODS-N 189.176221 62.241568 0.8490 Barger_K Z 23.77
88858 GOODS-N 189.176557 62.272816 0.8541 Barger_K Z 23.28
92535 GOODS-N 189.176764 62.279170 0.8356 Barger_K Z 22.85
42014 GOODS-N 189.177334 62.189407 0.8450 Barger_UV Z 22.88
76405 GOODS-N 189.178046 62.250802 0.6973 Barger_K Z 23.11
89993 GOODS-N 189.179370 62.275523 0.8699 Barger_K Z 22.37
53471 GOODS-N 189.179822 62.211731 0.8457 Barger_ACS Z 21.81
87585 GOODS-N 189.179891 62.273634 0.8509 Barger_K Z 21.21
45026 GOODS-N 189.179994 62.196666 1.0074 Wirth_2004 3 22.58
62376 GOODS-N 189.180433 62.225739 0.9040 Barger_K Z 23.41
89514 GOODS-N 189.180486 62.274130 0.8511 Barger_ACS Z 22.65
92378 GOODS-N 189.180581 62.281280 0.9438 GOODS-N-AL A 22.06
79928 GOODS-N 189.181350 62.258988 0.8474 Barger_K Z 22.64
76917 GOODS-N 189.181488 62.251585 0.8480 Barger_K Z 23.02
50422 GOODS-N 189.181790 62.205071 0.7507 Barger_K Z 22.69
43618 GOODS-N 189.182566 62.195238 0.7685 Barger_K Z 20.90
87911 GOODS-N 189.182591 62.271908 1.0142 Barger_ACS Z 23.24
39842 GOODS-N 189.183181 62.185293 0.8453 Barger_UV Z 22.93
72081 GOODS-N 189.184091 62.241727 0.8629 Barger_UV Z 24.31
54327 GOODS-N 189.184139 62.211217 0.8737 Barger_K Z 23.34
40991 GOODS-N 189.184961 62.192549 1.0128 Wirth_2004 4 21.48
34427 GOODS-N 189.184999 62.176939 0.8889 Barger_K Z 22.57
36842 GOODS-N 189.185144 62.181358 0.9370 Barger_ACS Z 23.26
75659 GOODS-N 189.186664 62.248714 0.8450 MOSDEF 4 22.82
87433 GOODS-N 189.187144 62.271319 0.7468 Barger_K Z 22.17
46766 GOODS-N 189.188918 62.198477 0.9682 Barger_ACS Z 23.32
79903 GOODS-N 189.189328 62.256443 0.6818 Barger_K Z 22.27
72684 GOODS-N 189.190696 62.245107 1.2243 Barger_ACS Z 23.45
36105 GOODS-N 189.191488 62.183611 0.9312 Barger_ACS Z 22.40
48229 GOODS-N 189.191530 62.200388 0.6789 Barger_K Z 23.67
94460 GOODS-N 189.191700 62.283567 0.9525 Barger_24m Z 23.70
53563 GOODS-N 189.192230 62.212921 0.9050 Barger_K Z 22.44
74794 GOODS-N 189.192301 62.247729 0.6795 Wirth_2004 3 23.41
44562 GOODS-N 189.192422 62.195027 1.0160 Barger_K Z 21.50
77715 GOODS-N 189.192615 62.257590 0.8510 Wirth_2004 4 21.99
65404 GOODS-N 189.193118 62.234639 0.9610 Barger_K Z 21.48
80411 GOODS-N 189.193273 62.258074 0.8504 Barger_ACS Z 22.67
36418 GOODS-N 189.194182 62.180293 0.9400 Barger_K Z 23.11
82141 GOODS-N 189.195261 62.261281 0.9170 Barger_K Z 22.12
45624 GOODS-N 189.195334 62.195790 1.0599 Barger_K Z 23.46
68612 GOODS-N 189.196558 62.237297 0.6100 Barger_K Z 23.62
83499 GOODS-N 189.197312 62.274485 0.8707 Barger_ACS Z 21.28
62388 GOODS-N 189.197674 62.225022 0.9641 Barger_ACS Z 23.76
46914 GOODS-N 189.197738 62.197467 0.9123 Barger_ACS Z 24.04
56190 GOODS-N 189.198106 62.214635 0.6810 Barger_ACS Z 23.94
84626 GOODS-N 189.198114 62.264728 0.8488 Barger_UV Z 23.29
41630 GOODS-N 189.198719 62.188955 1.2234 Barger_K Z 23.17
52896 GOODS-N 189.199133 62.209159 0.9607 Barger_ACS Z 23.37
35156 GOODS-N 189.199465 62.179304 1.2233 Wirth_2004 3 22.62
38445 GOODS-N 189.200563 62.183952 0.6494 Wirth_2004 4 22.50
49261 GOODS-N 189.201093 62.203861 0.9609 Barger_K Z 22.55
76098 GOODS-N 189.201368 62.252073 0.9377 Barger_ACS Z 22.10
36569 GOODS-N 189.202385 62.180277 0.9387 Barger_UV Z 23.46
83503 GOODS-N 189.202551 62.264620 0.8522 Barger_K Z 21.62
50518 GOODS-N 189.202656 62.204389 1.0662 Barger_ACS Z 24.60
44078 GOODS-N 189.202683 62.194841 1.0133 Barger_K Z 22.09
59863 GOODS-N 189.203237 62.221803 0.7517 Barger_UV Z 22.80
54992 GOODS-N 189.204131 62.212768 0.6820 Wirth_2015 1 23.56
51003 GOODS-N 189.204441 62.205905 0.9535 Barger_K Z 22.46
45496 GOODS-N 189.205229 62.196807 0.9596 Wirth_2004 3 22.96
47252 GOODS-N 189.205633 62.198629 0.9626 Barger_K Z 23.38
66753 GOODS-N 189.206239 62.235220 0.7520 Barger_UV Z 21.87
51485 GOODS-N 189.206371 62.205590 0.9614 Barger_ACS Z 24.38
83432 GOODS-N 189.206830 62.262797 0.9412 Barger_ACS Z 23.79
39487 GOODS-N 189.207262 62.185225 1.0189 Barger_K Z 23.10
82267 GOODS-N 189.207799 62.261628 0.9419 Barger_K Z 22.83
52241 GOODS-N 189.208115 62.207081 1.2037 Barger_ACS Z 24.30
37225 GOODS-N 189.208158 62.182990 0.6831 Wirth_2004 4 22.67
48650 GOODS-N 189.209032 62.204725 0.9057 Barger_ACS Z 22.57
53708 GOODS-N 189.209434 62.212731 0.6806 Barger_K Z 21.50
42119 GOODS-N 189.209596 62.190913 0.9541 Barger_UV Z 22.57
69850 GOODS-N 189.209772 62.238518 0.8181 Barger_UV Z 23.21
59723 GOODS-N 189.210291 62.221156 0.8493 Barger_K Z 22.72
90145 GOODS-N 189.211003 62.274724 0.8357 Barger_K Z 23.43
37044 GOODS-N 189.213646 62.181028 1.2258 Barger_ACS Z 24.01
94851 GOODS-N 189.214895 62.283940 0.9548 Barger_ACS Z 23.43
62719 GOODS-N 189.216541 62.225615 0.9605 Barger_K Z 23.23
38212 GOODS-N 189.216902 62.183097 0.9540 Barger_K Z 23.18
52097 GOODS-N 189.217031 62.207323 1.2240 Barger_ACS Z 24.30
79426 GOODS-N 189.217982 62.260341 0.9385 Barger_ACS Z 22.15
80966 GOODS-N 189.219100 62.258107 1.0131 Barger_K Z 23.85
67582 GOODS-N 189.220252 62.234699 1.0144 Barger_K Z 23.25
94097 GOODS-N 189.220391 62.281966 0.7614 Barger_UV Z 23.79
75267 GOODS-N 189.220894 62.252423 0.9378 Barger_K Z 22.27
39801 GOODS-N 189.221731 62.188003 0.9380 Barger_K Z 21.78
41093 GOODS-N 189.223292 62.187583 0.8892 Barger_UV Z 23.13
54598 GOODS-N 189.224556 62.215020 0.6420 Wirth_2015 4 20.98
85491 GOODS-N 189.224713 62.268616 0.8499 Barger_K Z 22.73
65833 GOODS-N 189.225379 62.231777 0.8501 Barger_UV Z 22.51
78300 GOODS-N 189.225646 62.254197 0.8488 Wirth_2004 4 22.77
91800 GOODS-N 189.226211 62.281970 0.9419 Barger_K Z 22.39
47110 GOODS-N 189.226858 62.197904 1.0199 Barger_UV Z 24.31
42509 GOODS-N 189.227823 62.189622 0.6803 Barger_ACS Z 23.75
85199 GOODS-N 189.228570 62.265922 0.6060 Wirth_2015 1 22.48
58084 GOODS-N 189.229795 62.217689 0.9546 Barger_ACS Z 23.78
97070 GOODS-N 189.230811 62.288324 0.9414 Barger_K Z 23.59
57792 GOODS-N 189.231038 62.219798 0.9546 Barger_ACS Z 22.41
65022 GOODS-N 189.231330 62.231529 1.1450 Barger_UV Z 22.75
52460 GOODS-N 189.231522 62.212656 0.7910 Barger_UV Z 21.99
79945 GOODS-N 189.232363 62.257827 0.7488 Barger_K Z 23.70
81513 GOODS-N 189.232790 62.259489 0.8495 Barger_K Z 24.02
50799 GOODS-N 189.236018 62.205595 0.9542 Barger_ACS Z 22.68
55935 GOODS-N 189.236342 62.214606 1.2310 Barger_K Z 24.19
56233 GOODS-N 189.237149 62.217128 1.0490 Wirth_2015 1 23.15
77927 GOODS-N 189.237947 62.253144 0.8490 Barger_K Z 23.39
84001 GOODS-N 189.238818 62.266877 0.9403 Barger_K Z 23.42
