# col1     col2         col3          col4     delta_ra                 delta_dec                col5     col6      col7      id        field     ra            dec            x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W    e_F606W    f_F814W   e_F814W    f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  122729   53.0275348   -27.7104334   24.987   -3.02000000047542E-5     -5.160000000614673E-6    0.036    31.4      31.3      42772.0   GOODS-S   53.027565     -27.71042824   15356.7    16278.16   -1.0     0.8918   0.59325       0.088072      0.59594       0.023397      0.42853    0.034751   0.92879   0.039566   1.2788    0.10158    1.2959    0.19101    1.2925    0.087417   1.069     3.7           5.625     2.971     5.89          0.0          0       0            0           1          0           8            4            8            8.49    0.0   0.09802694994740471    
  118874   53.027557    -27.7178795   25.728   -2.70799999952942E-5     -2.2139999998671556E-5   0.071    10.8      10.5      41164.0   GOODS-S   53.02758408   -27.71785736   15355.3    15832.41   -1.0     0.8868   0.39467       0.089335      0.48584       0.023193      0.2439     0.029696   0.5633    0.038916   0.7865    0.089031   0.76988   0.17302    0.94095   0.096412   1.0618    4.27          4.2       3.551     5.43          0.0          0       0            2           1          0           8            4            8            8.44    0.0   0.11747599933583085    
  125585   53.0278132   -27.7026751   25.122   3.45699999968474E-5      -5.172999999913941E-5    0.071    234.0     138.0     44501.0   GOODS-S   53.02777863   -27.70262337   15345.64   16746.47   -1.0     1.3866   0.3863        0.06841       0.45957       0.022755      0.55848    0.046786   0.71974   0.0624     1.3295    0.15121    1.2088    0.21253    1.4277    0.15561    1.0254    5.59          6.214     3.152     8.91          0.0          3       0            0           1          0           8            36           8            8.62    0.0   0.21638367741751854    
  128114   53.0279589   -27.6978824   23.53    -2.829999999676147E-6    -8.330000000000837E-6    0.015    86.0      35.6      45499.0   GOODS-S   53.02796173   -27.69787407   15336.19   17031.43   0.3331   0.3415   2.9255        0.11011       3.0537        0.034714      3.4809     0.02549    4.2285    0.034781   4.9033    0.12138    4.9913    0.18652    5.1728    0.12832    1.0697    3.53          5.246     3.44      4.58          0.0          0       0            0           1          0           4            16           4            8.25    0.0   0.031315343654748286   
  128916   53.02851     -27.696745    25.338   2.769999994711725E-6     -7.709999998439798E-6    0.043    47.9      47.9      45665.0   GOODS-S   53.02850723   -27.69673729   15307.17   17099.66   -1.0     1.6833   1.2873        0.14262       1.224         0.042114      0.74293    0.01922    0.75167   0.029064   0.9724    0.11436    1.6611    0.18271    1.5681    0.088615   1.1337    3.75          2.752     2.255     2.91          0.0          2       0            0           1          0           4            8            4            8.72    0.0   0.029126517063737447   
  124377   53.0286496   -27.7021026   20.804   1.2200000014672696E-6    3.880000001288408E-6     0.0040   556.0     256.0     44371.0   GOODS-S   53.02864838   -27.70210648   15299.47   16777.5    -1.0     0.2943   41.534        0.06841       46.478        0.022302      23.011     0.03482    47.101    0.046978   87.734    0.10804    96.602    0.15798    107.33    0.2188     1.0066    3.5           10.061    8.849     6.91          6.13         2       0            0           1          0           8            35           8            9.8     0.2   0.014499173436062444   
  121073   53.0288432   -27.713744    24.93    -7.360000005007805E-6    -6.509999998627336E-6    0.036    23.4      22.5      42047.0   GOODS-S   53.02885056   -27.71373749   15288.29   16079.73   -1.0     2.1212   1.9033        0.088841      2.1567        0.022768      0.82773    0.02374    1.0836    0.028667   2.6305    0.074889   2.993     0.13871    3.3672    0.072006   1.0805    3.5           4.415     3.229     4.3           0.0          0       0            0           1          0           8            4            8            9.79    0.5   0.03315796199849237    
  119941   53.0289544   -27.7155491   24.668   2.7550000005760467E-5    3.6999999863951416E-7    0.036    23.2      22.9      41681.0   GOODS-S   53.02892685   -27.71554947   15284.0    15970.93   -1.0     0.4341   1.0933        0.088202      1.1059        0.023667      0.76087    0.034878   1.5106    0.044412   2.2548    0.11002    2.5244    0.20221    2.5352    0.10508    1.0564    3.69          5.449     4.084     6.18          0.0          0       0            0           1          0           8            4            8            8.49    0.0   0.08781092796452045    
  122023   53.0296665   -27.7110636   25.099   1.1039999996853567E-5    1.6900000012753935E-6    0.044    29.1      27.8      42688.0   GOODS-S   53.02965546   -27.71106529   15245.55   16240.07   -1.0     1.086    1.3315        0.092523      1.2425        0.023384      0.60703    0.023006   1.09      0.029268   1.8378    0.070779   2.0528    0.14163    1.9019    0.07013    1.0855    3.5           4.021     3.247     4.12          0.0          0       0            0           1          0           8            4            8            8.84    0.0   0.03570764046434333    
  123466   53.0297698   -27.7080668   22.417   -1.0000000116860974E-7   2.049999999087504E-6     0.0080   324.0     323.0     43359.0   GOODS-S   53.0297699    -27.70806885   15239.7    16419.84   -1.0     0.2194   9.0497        0.090612      9.4445        0.022909      9.6256     0.021636   11.179    0.025797   12.894    0.068075   13.052    0.12975    13.524    0.076503   1.0763    3.5           4.363     3.571     3.73          6.23         0       0            0           1          0           8            4            8            8.29    0.0   0.007386878994911887   
