# All galaxies in bin:   1.1 <= D4000 < 1.3
# ID        Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zspz    iABmag
107836    GOODS-S    1.040    0.96    0.38    0.99    262.43    1.23    -0.039       -0.025      22.26
88069     GOODS-S    0.764    0.79    0.38    0.76    583.01    1.25    +0.015       -0.002      21.68
57446     GOODS-S    0.989    0.73    0.30    0.71    466.03    1.15    -0.130       -0.140      21.59
96844     GOODS-S    0.710    0.35    0.31    0.30    165.48    1.27    -0.211       -0.240      23.33
17024     GOODS-S    0.661    0.67    0.30    0.67    278.36    1.18    +0.005       +0.005      22.19
114267    GOODS-S    0.959    0.58    0.32    0.46    26.60     1.19    -0.193       -0.255      25.07
70232     GOODS-S    0.665    0.67    0.30    0.66    726.89    1.16    +0.003       -0.003      20.98
51356     GOODS-S    0.628    0.56    0.33    0.58    427.14    1.21    -0.042       -0.029      21.57
108987    GOODS-S    1.215    1.33    1.10    1.10    76.98     1.25    +0.052       -0.052      23.48
33294     GOODS-S    1.035    0.99    0.96    1.01    176.43    1.15    -0.022       -0.012      23.49
52774     GOODS-S    0.629    0.63    0.31    0.61    505.41    1.18    +0.001       -0.012      21.61
42119     GOODS-N    0.954    0.84    0.42    0.88    152.40    1.29    -0.058       -0.038      22.57
69850     GOODS-N    0.818    0.72    0.39    0.71    100.30    1.14    -0.054       -0.059      23.21
94851     GOODS-N    0.955    0.91    0.84    0.93    82.39     1.22    -0.023       -0.013      23.43
67582     GOODS-N    1.014    0.99    0.34    0.99    139.62    1.22    -0.012       -0.012      23.25
94097     GOODS-N    0.761    0.84    0.72    0.78    101.45    1.16    +0.045       +0.011      23.79
85491     GOODS-N    0.850    0.95    0.30    0.82    212.08    1.13    +0.054       -0.016      22.73
78300     GOODS-N    0.849    0.94    0.32    0.94    250.04    1.18    +0.049       +0.049      22.77
65022     GOODS-N    1.145    0.99    1.11    1.03    163.89    1.26    -0.072       -0.054      22.75
44286     GOODS-N    1.013    0.98    0.35    0.97    151.54    1.17    -0.017       -0.022      23.24
44746     GOODS-N    0.680    0.72    0.39    0.69    193.01    1.11    +0.024       +0.006      23.11
105095    GOODS-N    0.943    0.92    0.36    0.89    150.85    1.18    -0.012       -0.027      23.15
99452     GOODS-N    0.660    0.64    0.30    0.58    541.65    1.21    -0.012       -0.048      21.62
71893     GOODS-N    0.839    0.85    0.31    0.73    75.06     1.18    +0.006       -0.059      23.75
107010    GOODS-N    0.942    0.83    0.33    0.90    270.77    1.13    -0.058       -0.022      22.42
41945     GOODS-N    0.778    0.85    0.35    0.84    487.92    1.25    +0.040       +0.035      21.50
46765     GOODS-N    1.020    0.95    0.94    0.99    92.69     1.14    -0.035       -0.015      23.87
77103     GOODS-N    0.938    0.89    0.35    0.84    265.21    1.30    -0.025       -0.050      22.00
78354     GOODS-N    0.745    0.80    0.30    0.72    120.91    1.26    +0.032       -0.014      23.32
101785    GOODS-N    1.018    0.99    0.36    0.99    275.89    1.18    -0.014       -0.014      22.55
92570     GOODS-N    0.744    0.97    0.42    0.96    335.65    1.15    +0.130       +0.124      22.42
89655     GOODS-N    1.121    1.02    1.06    1.06    141.73    1.11    -0.047       -0.029      23.36
109851    GOODS-N    0.875    0.91    0.33    0.88    141.76    1.28    +0.019       +0.003      23.29
112339    GOODS-N    0.856    1.20    1.11    1.24    132.44    1.19    +0.186       +0.207      23.44
106613    GOODS-N    0.855    0.91    0.31    0.88    122.25    1.14    +0.030       +0.013      23.52
99579     GOODS-N    1.144    1.01    0.37    1.06    188.40    1.16    -0.062       -0.039      22.75
109801    GOODS-N    0.851    0.80    0.30    0.79    170.70    1.25    -0.028       -0.033      23.26
97904     GOODS-N    0.681    0.68    0.30    0.66    488.29    1.17    -0.000       -0.012      21.68
82986     GOODS-N    0.936    0.94    0.35    0.94    366.57    1.22    +0.002       +0.002      22.11
105709    GOODS-N    1.082    1.00    1.07    1.06    136.82    1.27    -0.039       -0.011      23.31
121439    GOODS-N    0.888    0.92    1.23    0.90    974.50    1.26    +0.017       +0.006      22.64
90557     GOODS-N    0.852    0.85    0.30    0.80    271.02    1.17    -0.001       -0.028      22.61
117385    GOODS-N    1.224    1.14    1.14    1.17    120.03    1.11    -0.038       -0.024      23.95
114275    GOODS-N    1.027    0.97    0.94    0.97    169.77    1.12    -0.028       -0.028      23.48
98209     GOODS-N    1.146    0.30    0.49    0.30    286.62    1.22    -0.394       -0.394      22.64
86522     GOODS-N    0.710    0.68    0.30    0.68    269.71    1.18    -0.017       -0.017      22.86
84715     GOODS-N    0.805    0.74    1.25    0.58    191.27    1.19    -0.036       -0.125      23.91
112486    GOODS-N    0.835    0.92    0.30    0.81    123.66    1.13    +0.046       -0.014      23.66
95449     GOODS-N    0.935    0.90    0.36    0.89    105.59    1.15    -0.018       -0.023      23.24
98420     GOODS-N    1.200    1.05    1.12    1.12    109.52    1.25    -0.068       -0.036      23.85
120726    GOODS-N    0.778    0.80    0.36    0.71    169.07    1.24    +0.012       -0.038      23.15
81269     GOODS-N    0.842    0.92    0.33    0.84    175.66    1.12    +0.042       -0.001      23.35
118642    GOODS-N    0.836    0.78    0.37    0.74    212.96    1.23    -0.031       -0.052      22.48
89845     GOODS-N    0.840    0.82    0.37    0.81    312.40    1.28    -0.011       -0.016      21.76
