# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
47065 GOODS-N 189.153336 62.203752 0.8517 0.9071 0.0317 3DHST 1.1980 0.0669 1.4093 0.0433 1175.5251 1132.4908
47115 GOODS-N 189.123579 62.200094 1.1059 1.1059 0.0110 3DHST 0.8719 0.1548 1.1069 0.0982 169.7809 169.7809
47126 GOODS-N 189.143115 62.198086 0.9328 0.8583 0.0137 3DHST 1.1760 0.1900 1.3060 0.1104 185.5690 98.3060
47153 GOODS-N 189.236011 62.212735 0.6185 0.5764 0.0100 3DHST 1.0535 0.0627 1.5381 0.0531 866.6657 827.0830
47355 GOODS-N 189.154232 62.199973 0.8037 0.6908 0.0228 3DHST 1.1708 0.1024 1.3572 0.0519 568.9917 167.4451
47561 GOODS-N 189.245803 62.202557 0.9152 0.9025 0.0197 3DHST 1.4462 0.1173 1.5377 0.0570 223.8578 222.2308
47814 GOODS-N 189.239500 62.203026 0.6875 0.6764 0.0081 3DHST 1.3618 0.1080 1.4365 0.0520 213.4737 203.8293
48176 GOODS-N 189.145689 62.206806 0.6562 0.5924 0.0063 3DHST 1.0987 0.0640 1.2202 0.0342 795.1134 670.5396
48189 GOODS-N 189.166745 62.202141 0.9911 1.0060 0.0081 3DHST 1.3242 0.0956 1.5842 0.0572 205.7636 153.3591
48216 GOODS-N 189.170196 62.200939 0.9835 1.0023 0.0239 3DHST 1.2694 0.1655 1.3224 0.0888 185.2528 176.4886
48650 GOODS-N 189.209032 62.204814 0.9258 0.9258 0.0101 3DHST 1.6319 0.1372 1.7117 0.0669 168.1825 168.1825
48737 GOODS-N 189.241017 62.202888 0.9381 0.9526 0.0228 3DHST 1.1240 0.1933 1.2656 0.1079 109.9077 105.6546
49261 GOODS-N 189.201093 62.203950 0.9541 1.1168 0.0580 3DHST 1.1707 0.1653 1.3055 0.0911 245.4966 133.6114
49779 GOODS-N 189.164335 62.203362 0.9672 0.9286 0.0424 3DHST 1.6657 0.3207 1.8060 0.1568 104.8563 82.3850
50196 GOODS-N 189.242933 62.204031 0.9772 0.9511 0.0070 3DHST 1.2997 0.1600 1.2391 0.0737 97.8465 80.4627
50214 GOODS-N 189.141333 62.204821 0.8453 1.3189 0.0117 3DHST 1.3907 0.1733 1.9455 0.1068 2718.4588 1243.9723
50422 GOODS-N 189.181790 62.205159 0.7455 0.7001 0.0118 3DHST 0.9100 0.0880 1.3304 0.0635 221.7147 146.1202
50439 GOODS-N 189.172884 62.204257 1.0654 1.0516 0.0098 3DHST 1.5389 0.1837 2.0463 0.1183 110.5285 106.8998
50799 GOODS-N 189.236018 62.205684 0.9324 0.9629 0.0132 3DHST 1.3352 0.1155 1.6327 0.0707 148.7897 130.2549
51003 GOODS-N 189.204441 62.205994 0.9422 0.9166 0.0150 3DHST 1.0858 0.0885 1.2565 0.0534 319.0080 301.5219
51587 GOODS-N 189.244353 62.206136 0.6892 0.5738 0.1716 3DHST 1.1894 0.1918 1.9748 0.1908 388.0488 117.8798
51609 GOODS-N 189.124760 62.206790 0.9534 1.0007 0.0573 3DHST 0.9575 0.2488 1.1364 0.1433 115.0495 113.0479
51648 GOODS-N 189.134688 62.207927 0.9060 0.9491 0.0111 3DHST 1.7600 0.3345 1.8978 0.1674 100.4478 67.9017
52017 GOODS-N 189.155800 62.208326 1.0064 1.0138 0.0089 3DHST 1.2984 0.1249 1.5465 0.0724 122.7235 110.4072
52288 GOODS-N 189.136231 62.208377 0.9050 0.9224 0.0164 3DHST 1.2880 0.2212 1.7866 0.1360 111.8213 102.2480
52440 GOODS-N 189.143881 62.211484 1.2094 1.1660 0.0121 3DHST 1.4510 0.1547 1.3544 0.0759 139.3140 114.8421
52460 GOODS-N 189.231522 62.212745 0.8129 0.7430 0.0081 3DHST 1.5110 0.1289 1.4121 0.0571 295.4888 144.0893
52896 GOODS-N 189.199133 62.209248 0.9424 0.8557 0.0572 3DHST 1.1725 0.1431 1.4465 0.0884 213.0443 134.4065
52998 GOODS-N 189.151611 62.210472 0.8819 0.8571 0.0170 3DHST 1.2790 0.1220 1.4921 0.0784 236.4914 214.1343
53362 GOODS-N 189.138379 62.210083 1.1201 1.2130 0.0353 3DHST 1.0142 0.1636 1.0463 0.1045 239.0974 186.0493
53471 GOODS-N 189.179822 62.211820 0.8341 0.8342 0.0029 3DHST 1.4330 0.1121 1.7510 0.0593 130.3244 111.8689
53563 GOODS-N 189.192230 62.213010 0.8729 0.9056 0.0105 3DHST 1.3399 0.1008 1.6173 0.0673 185.3716 157.5036
53708 GOODS-N 189.209434 62.212820 0.6887 0.6887 0.0052 3DHST 1.3221 0.1074 1.7949 0.0685 145.3336 145.3336
54282 GOODS-N 189.131823 62.212119 0.9909 1.0617 0.0581 3DHST 1.2467 0.1920 1.4498 0.1195 145.5603 93.2539
54405 GOODS-N 189.166361 62.213991 0.8166 0.7693 0.0076 3DHST 0.9648 0.0608 1.3742 0.0427 336.9454 184.3793
54598 GOODS-N 189.224556 62.215109 0.6631 0.6198 0.0076 3DHST 1.2429 0.0829 1.4007 0.0459 182.4918 108.5911
55392 GOODS-N 189.176715 62.214624 1.1578 1.1436 0.0183 3DHST 1.2435 0.2230 1.2276 0.1079 137.6961 136.3470
55923 GOODS-N 189.113842 62.216150 1.1659 1.1743 0.0091 3DHST 1.0686 0.1026 1.0984 0.0530 369.6499 356.7628
56019 GOODS-N 189.161955 62.216033 1.1568 1.1568 0.0210 3DHST 1.1447 0.1791 1.2697 0.0962 113.0522 113.0522
56233 GOODS-N 189.237149 62.217217 1.2254 1.1673 0.0198 3DHST 1.0918 0.1653 1.5844 0.1260 102.7842 80.6848
57792 GOODS-N 189.231038 62.219887 0.9315 0.9362 0.0031 3DHST 1.4607 0.1176 1.5338 0.0648 127.9643 120.1374
58084 GOODS-N 189.229795 62.217778 0.9918 0.9653 0.0141 3DHST 1.4497 0.1790 1.7844 0.1175 101.4685 84.2851
58703 GOODS-N 189.139962 62.222290 0.9111 0.7803 0.0257 3DHST 1.1858 0.0738 1.2136 0.0391 728.8607 213.2244
59024 GOODS-N 189.143125 62.220220 0.8294 0.7818 0.0118 3DHST 1.1090 0.1197 1.4635 0.0844 144.8913 105.3022
59375 GOODS-N 189.171367 62.220789 1.0089 0.9824 0.0150 3DHST 1.2078 0.1107 1.3604 0.0636 219.2456 191.7327
59723 GOODS-N 189.210291 62.221245 0.8321 0.8321 0.0094 3DHST 1.5999 0.2985 1.3693 0.1214 80.4962 80.4962
59863 GOODS-N 189.203237 62.221892 0.8033 0.7564 0.0106 3DHST 1.0641 0.1531 1.2980 0.0828 222.0173 189.0690
