# col1    col2          col3         col4     delta_ra                 delta_dec                col5     col6     col7     correct_dec          id        field     ra             dec           x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W   e_F606W    f_F814W   e_F814W   f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  75762   189.1127342   62.2527035   21.11    1.753000000803695E-5     5.361111114154937E-6     0.0050   446.0    443.0    62.25261461111111    21618.0   GOODS-N   189.11271667   62.25260925   13578.11   11085.69   0.7938   0.8046   56.777        0.058768      67.027        0.025456      6.2944    0.034094   -99.0     -99.0     120.02    0.048566   146.05    0.14925    170.22    0.30513    1.0       3.5           16.183    10.907    8.13          6.73         0       0            0           1          0           12           5            12           11.08   1.3   0.035153376880118554   
  56330   189.1131514   62.2164042   23.52    7.479999993620368E-6     1.4351111111921E-5       0.017    116.0    90.2     62.21631531111111    14901.0   GOODS-N   189.11314392   62.21630096   13569.97   8907.2     -1.0     0.8804   2.8037        0.050478      3.0323        0.031936      1.9744    0.038637   -99.0     -99.0     7.6133    0.066461   8.1731    0.14527    8.7269    0.1719     1.031     3.83          9.447     3.889     7.95          0.0          3       0            0           1          0           8            6            8            9.48    0.8   0.05316694073075686    
  50165   189.113349    62.2036228   25.057   -8.540000010270887E-6    -3.0788888949473403E-6   0.042    33.6     32.2     62.20353391111111    12355.0   GOODS-N   189.11335754   62.20353699   13565.71   8141.25    -1.0     0.4907   0.72048       0.050478      0.82756       0.044039      0.59991   0.03182    -99.0     -99.0     1.3665    0.066502   1.434     0.099191   1.6262    0.15492    1.0672    4.97          3.787     2.671     5.26          0.0          0       0            0           1          0           4            10           4            8.17    0.2   0.01812186865700501    
  47425   189.113465    62.1982649   25.864   6.399999961104186E-7     2.4911111111691753E-6    0.059    11.1     10.6     62.19817601111111    11236.0   GOODS-N   189.11346436   62.19817352   13563.21   7819.45    -1.0     0.6411   0.53544       0.050828      0.62953       0.06239       0.34171   0.026091   -99.0     -99.0     0.81112   0.07702    0.87543   0.082043   1.0161    0.18667    1.0792    5.54          2.687     2.269     4.42          0.0          3       0            0           1          0           2            6            2            8.05    0.7   0.0090321554689773     
  55923   189.1138417   62.2161497   22.758   -4.130000007762646E-6    3.991111114487467E-6     0.01     222.0    213.0    62.21606081111111    14850.0   GOODS-N   189.11384583   62.21605682   13550.75   8892.36    1.223    1.1659   14.759        0.050993      17.457        0.031631      5.4791    0.023675   -99.0     -99.0     20.904    0.039407   26.363    0.089928   30.786    0.14537    1.0418    3.5           6.378     5.205     4.72          5.32         3       0            0           1          0           8            6            8            10.18   1.3   0.015952176931354242   
  75958   189.113863    62.2491214   24.354   1.7170000006672126E-5    -9.998888891971092E-6    0.028    39.4     33.6     62.24903251111111    21799.0   GOODS-N   189.11384583   62.24904251   13546.95   10871.62   -1.0     0.5955   0.95881       0.050478      1.0286        0.025325      1.2455    0.03726    -99.0     -99.0     2.5399    0.053076   2.6955    0.1401     2.8548    0.10383    1.0527    3.5           5.394     4.998     7.02          0.0          0       0            0           1          0           13           10           13           8.49    0.6   0.04608780553519553    
  78908   189.1147021   62.2540838   25.273   1.7799999909584585E-6    -6.708888889761511E-6    0.043    15.0     14.7     62.25399491111111    22797.0   GOODS-N   189.11470032   62.25400162   13522.55   11169.08   -1.0     0.8341   0.98428       0.053395      1.0411        0.025325      0.36404   0.020061   -99.0     -99.0     1.4195    0.028576   1.4898    0.079787   1.5557    0.077122   1.0777    4.21          3.504     3.11      4.21          0.0          0       0            0           1          0           13           5            14           8.76    0.4   0.02433554925738327    
  47914   189.1149857   62.199649    23.915   -4.529999984015376E-6    -9.588888886469249E-6    0.018    148.0    147.0    62.19956011111111    11619.0   GOODS-N   189.11499023   62.1995697    13520.33   7903.23    0.54     0.3051   3.6011        0.050478      3.906         0.041995      1.5526    0.022918   -99.0     -99.0     4.7092    0.048531   5.2227    0.072277   5.5928    0.11923    1.084     3.68          3.715     3.382     3.63          0.0          3       0            0           1          0           4            11           4            8.8     1.0   0.035347995196961655   
  79970   189.1150242   62.2567718   23.196   3.4499999799209036E-6    -4.388888896755816E-7    0.013    97.1     95.4     62.25668291111111    23463.0   GOODS-N   189.11502075   62.25668335   13513.59   11330.04   0.2071   0.1906   2.6572        0.055798      2.8283        0.025325      3.9208    0.032273   -99.0     -99.0     6.4119    0.045972   6.4702    0.13414    6.7991    0.11314    1.0442    3.5           6.064     5.201     6.54          0.0          0       0            0           1          0           14           5            14           8.03    0.2   0.005993653210452367   
  53804   189.1158455   62.2113997   21.338   7.700000139720942E-7     -5.288888900167876E-7    0.0040   691.0    686.0    62.21131081111111    13813.0   GOODS-N   189.11584473   62.21131134   13494.98   8607.71    0.5153   0.4561   43.413        0.050478      49.47         0.034386      9.9276    0.024596   -99.0     -99.0     67.953    0.046094   80.562    0.09248    90.632    0.18462    1.0312    3.5           6.842     6.401     5.05          5.02         0       0            0           1          0           8            6            7            10.24   0.9   0.0023011644772006996  
