# Catalog for all galaxies that matched between 3DHST and PEARS in GOODS-N. 
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
41546 GOODS-N 1.1464 3DHST 189.187850 62.188138 1.2158 0.5870 1.2983 0.2807
41630 GOODS-N 1.1760 3DHST 189.198719 62.188955 1.0050 0.2297 1.1780 0.1230
41759 GOODS-N 0.9083 3DHST 189.154433 62.187921 1.2315 1.0729 1.6684 0.8873
41812 GOODS-N 0.8521 3DHST 189.137654 62.187874 1.1637 0.4780 1.2591 0.2624
41931 GOODS-N 1.0290 3DHST 189.190468 62.188402 1.6617 1.2921 1.4533 0.5016
41945 GOODS-N 0.7773 3DHST 189.256444 62.191325 0.9199 0.0709 1.2475 0.0471
42014 GOODS-N 0.8731 3DHST 189.177334 62.189407 0.8137 0.0842 1.0807 0.0578
42119 GOODS-N 0.9331 3DHST 189.209596 62.190913 0.8236 0.1163 1.2579 0.0799
42284 GOODS-N 0.8437 3DHST 189.152883 62.188586 1.5328 1.3909 1.2411 0.5516
42430 GOODS-N 0.9756 3DHST 189.161688 62.189869 1.0077 0.1398 1.1362 0.0775
42526 GOODS-N 0.7487 3DHST 189.193098 62.189706 1.0061 0.3409 1.1793 0.1711
42605 GOODS-N 1.0823 3DHST 189.205879 62.189178 1.6383 0.6986 1.4170 0.3235
42702 GOODS-N 0.7301 3DHST 189.135815 62.189428 1.3149 0.7978 1.2222 0.3178
42729 GOODS-N 0.9076 3DHST 189.221963 62.190801 1.0350 0.4278 1.0599 0.2124
43038 GOODS-N 0.8640 3DHST 189.252461 62.190946 1.6637 2.2224 1.7292 1.0362
43584 GOODS-N 0.9512 3DHST 189.234561 62.191176 1.0760 0.4736 1.0932 0.2482
43618 GOODS-N 0.7413 3DHST 189.182566 62.195238 1.6835 0.1032 1.4554 0.0457
43952 GOODS-N 0.7616 3DHST 189.219916 62.191919 1.3537 0.6842 0.8177 0.2143
43988 GOODS-N 1.0470 3DHST 189.129737 62.191877 1.1202 0.5603 1.4364 0.3379
43991 GOODS-N 1.0227 3DHST 189.169432 62.193226 1.5654 0.3165 1.5108 0.1710
44070 GOODS-N 0.6296 3DHST 189.142565 62.192104 1.0278 0.3811 1.1797 0.1947
44078 GOODS-N 0.9827 3DHST 189.202683 62.194841 1.3652 0.0962 1.7660 0.0608
44207 GOODS-N 0.6968 3DHST 189.195678 62.192413 1.0291 0.2713 1.0263 0.1265
44240 GOODS-N 0.9858 3DHST 189.247443 62.192354 1.4354 0.7559 1.1122 0.3902
44270 GOODS-N 1.1682 3DHST 189.230321 62.192954 0.8555 0.5371 0.8969 0.2675
44286 GOODS-N 0.9841 3DHST 189.239528 62.193104 1.0585 0.1297 1.1110 0.0670
44411 GOODS-N 0.8230 3DHST 189.144977 62.192844 0.2433 1.4941 0.9324 0.6574
44436 GOODS-N 1.1674 3DHST 189.222383 62.194346 1.0562 0.1099 1.0343 0.0562
