# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
29322 GOODS-S 53.135877 -27.887968 0.9635 0.8179 0.0162 3DHST 1.0126 0.1506 1.4376 0.0977 222.9228 80.1992
29794 GOODS-S 53.138950 -27.886919 0.6940 0.6717 0.0108 3DHST 1.4144 0.2587 1.6309 0.1499 37.1156 27.4630
30010 GOODS-S 53.164521 -27.883791 0.6785 0.6884 0.0051 3DHST 1.4018 0.1952 2.0347 0.1340 145.8399 145.2911
30107 GOODS-S 53.133932 -27.886666 0.9140 0.9271 0.0083 3DHST 0.8319 0.0938 1.2656 0.0689 127.7059 119.6288
30286 GOODS-S 53.195926 -27.885478 0.6798 0.6256 0.0101 3DHST 1.1724 0.1660 1.5281 0.1068 118.4236 59.1657
30676 GOODS-S 53.164456 -27.883471 0.6766 0.6544 0.0055 3DHST 1.3263 0.1030 1.3421 0.0482 236.1847 208.0046
30763 GOODS-S 53.165467 -27.885331 0.6932 0.5972 0.0258 3DHST 1.2201 0.2119 1.3892 0.1268 237.8961 96.9960
30887 GOODS-S 53.179241 -27.884619 0.9127 0.7709 0.0199 3DHST 1.2009 0.1853 1.2246 0.1072 242.4767 86.5064
31086 GOODS-S 53.178130 -27.884897 0.8474 0.6692 0.0380 3DHST 1.3629 0.2635 1.2756 0.1245 240.1465 82.7130
31325 GOODS-S 53.185805 -27.882850 0.6663 0.6336 0.0106 3DHST 1.1770 0.1300 1.1988 0.0615 101.8458 67.6127
31861 GOODS-S 53.172679 -27.882669 0.6757 0.6010 0.0133 3DHST 0.8915 0.1169 1.1163 0.0777 135.5144 58.4051
31899 GOODS-S 53.139820 -27.880603 1.1610 1.1325 0.0164 3DHST 1.1982 0.0917 1.3426 0.0576 217.7936 209.2365
32674 GOODS-S 53.152949 -27.877295 0.6250 0.6036 0.0046 3DHST 1.1752 0.0830 1.3268 0.0453 131.6066 114.2344
32885 GOODS-S 53.185907 -27.880391 0.6154 0.6154 0.0080 3DHST 1.0999 0.2284 1.3728 0.1422 27.9317 27.9317
33294 GOODS-S 53.158667 -27.880188 1.0280 0.9626 0.0070 3DHST 1.0084 0.1058 1.1390 0.0603 358.7919 172.5178
34128 GOODS-S 53.158957 -27.877881 0.7288 0.5906 0.0120 3DHST 1.0706 0.1392 1.3885 0.0847 322.6258 114.8432
34208 GOODS-S 53.191189 -27.872941 0.9994 0.9860 0.0132 3DHST 1.1039 0.0887 1.2737 0.0504 166.4830 162.5278
34457 GOODS-S 53.146597 -27.876704 0.7884 0.7884 0.0116 3DHST 1.1743 0.1007 1.2912 0.0628 178.3567 178.3567
34803 GOODS-S 53.183195 -27.876363 0.6458 0.6242 0.0075 3DHST 1.0809 0.1104 1.2647 0.0643 129.1281 91.1979
34821 GOODS-S 53.165209 -27.873947 1.0445 1.0445 0.0111 3DHST 1.0997 0.1104 1.2130 0.0615 213.0020 213.0020
35475 GOODS-S 53.194943 -27.874946 1.2302 1.2154 0.0281 3DHST 1.4955 0.2560 1.3633 0.1215 135.0250 134.3188
35579 GOODS-S 53.186398 -27.874972 0.9675 0.7256 0.0312 3DHST 1.1245 0.2179 1.2285 0.1157 207.8413 49.8914
35765 GOODS-S 53.163142 -27.873062 0.8528 0.8047 0.0080 3DHST 1.5112 0.1337 1.3615 0.0571 209.1275 168.6354
36110 GOODS-S 53.172427 -27.873753 0.6231 0.6124 0.0061 3DHST 1.2166 0.1722 1.4624 0.1050 43.1170 35.2571
36121 GOODS-S 53.173438 -27.865976 0.7809 0.7809 0.0023 3DHST 1.6892 0.1250 1.5226 0.0568 158.4511 146.4646
36550 GOODS-S 53.185447 -27.872944 0.7060 0.7060 0.0088 3DHST 0.9220 0.1474 1.1112 0.0933 48.4210 48.4210
36896 GOODS-S 53.191299 -27.872109 1.0051 0.9530 0.0176 3DHST 1.2128 0.2071 1.3658 0.1222 80.0006 46.5106
37429 GOODS-S 53.150887 -27.868331 0.7789 0.7554 0.0057 3DHST 1.4441 0.1125 1.6307 0.0704 114.1722 89.4454
38350 GOODS-S 53.153101 -27.868566 0.7807 0.6904 0.0259 3DHST 1.4433 0.1285 1.2359 0.0552 468.8470 132.1157
38417 GOODS-S 53.186973 -27.869061 0.7926 0.6099 0.0243 3DHST 1.5053 0.3712 1.3836 0.1654 187.0035 57.2323
38577 GOODS-S 53.187607 -27.868807 0.7987 0.7868 0.0171 3DHST 1.3133 0.2079 1.5901 0.1402 90.5407 88.7508
38854 GOODS-S 53.178108 -27.868082 0.6618 0.6291 0.0083 3DHST 1.4530 0.1784 1.5363 0.0984 95.8016 69.8309
39116 GOODS-S 53.166565 -27.867970 0.6443 0.6121 0.0190 3DHST 0.8650 0.1315 1.1970 0.0977 59.9426 54.5632
39503 GOODS-S 53.173913 -27.865049 0.8533 0.9346 0.0268 3DHST 1.2416 0.1537 1.4247 0.0782 102.7413 51.7513
39835 GOODS-S 53.178034 -27.866458 1.1266 1.0986 0.0127 3DHST 1.2375 0.1703 1.3961 0.0995 133.1327 119.8886
40117 GOODS-S 53.181796 -27.866849 0.6988 0.6438 0.0991 3DHST 1.0892 0.2326 1.1832 0.1100 206.9793 183.5930
40163 GOODS-S 53.179131 -27.866557 0.9051 0.7747 0.0217 3DHST 0.9914 0.2319 1.2879 0.1307 181.8424 114.7352
40488 GOODS-S 53.168321 -27.865487 0.6729 0.6189 0.0093 3DHST 1.4349 0.1547 1.3324 0.0780 216.3863 89.8645
41478 GOODS-S 53.196579 -27.863206 1.1302 1.1161 0.0095 3DHST 1.2634 0.1206 1.4351 0.0767 69.4784 64.6399
42022 GOODS-S 53.193867 -27.863361 0.7082 0.6747 0.1018 3DHST 1.3194 0.3666 1.3836 0.1607 972.6624 923.8539
42277 GOODS-S 53.175667 -27.862315 0.8972 0.8847 0.0122 3DHST 1.2794 0.1965 1.5413 0.1215 36.2842 34.9503
