# Catalog for all galaxies that matched between CANDELS and PEARS in GOODS-S.
# If a galaxy did not match with CANDELS then a matching in 3DHST was attempted.
# the 'zphot_source' column indicates the source of the photometric redshift.
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
16836 GOODS-S 0.9800 CANDELS 53.138123 -27.910514 1.0553 0.1299 1.1325 0.0741
16850 GOODS-S 0.6810 CANDELS 53.131613 -27.915364 1.8337 1.6304 1.3346 0.5523
17021 GOODS-S 0.6240 CANDELS 53.167010 -27.915005 1.4520 0.7835 1.2960 0.3191
17022 GOODS-S 0.6860 CANDELS 53.191877 -27.912430 0.8996 0.0648 1.1326 0.0410
17024 GOODS-S 0.6520 CANDELS 53.153370 -27.913962 1.3508 0.1090 1.3296 0.0558
17055 GOODS-S 0.9730 CANDELS 53.191901 -27.915316 0.7462 0.5371 1.2995 0.4073
17092 GOODS-S 0.7990 CANDELS 53.175998 -27.914579 1.3188 0.2336 1.2690 0.1290
17163 GOODS-S 0.8640 CANDELS 53.183307 -27.915043 1.1317 0.1960 1.2331 0.0911
17210 GOODS-S 0.7750 CANDELS 53.186825 -27.915014 1.5838 3.1554 1.0817 0.9371
17264 GOODS-S 0.6280 CANDELS 53.179497 -27.914648 1.2379 0.7120 1.6337 0.5683
17321 GOODS-S 0.7806 3DHST 53.176027 -27.914775 1.0842 0.4159 0.5844 0.1273
17368 GOODS-S 0.8540 CANDELS 53.171398 -27.914647 1.4078 1.4888 1.5553 0.7302
17455 GOODS-S 0.7870 CANDELS 53.197219 -27.914054 0.6433 0.3522 1.2258 0.3161
17468 GOODS-S 0.6780 CANDELS 53.196595 -27.914347 1.0069 0.5706 1.0158 0.2658
17494 GOODS-S 1.1700 CANDELS 53.156738 -27.913369 1.2295 0.8492 1.2623 0.4031
17495 GOODS-S 0.6980 CANDELS 53.130366 -27.913615 1.1782 0.4140 1.1222 0.1619
17587 GOODS-S 0.6420 CANDELS 53.160816 -27.913848 1.3911 0.5490 1.2121 0.2413
17688 GOODS-S 0.7280 CANDELS 53.199009 -27.913962 0.9127 0.5909 0.9152 0.3545
17704 GOODS-S 0.6540 CANDELS 53.184784 -27.913397 1.0205 0.1757 1.4627 0.1300
18065 GOODS-S 1.2041 3DHST 53.155361 -27.913369 1.4034 6.3405 0.8454 1.9726
