# Galaxies with zgrism less than 0.5
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
14386     GOODS-S    0.658    0.64    0.32    0.67    177.05    1.33    -0.011       -0.204       +0.007      22.99
22402     GOODS-S    0.823    0.86    0.47    0.83    259.59    1.24    +0.020       -0.194       +0.004      22.33
109794    GOODS-S    0.667    0.65    0.48    0.64    519.81    1.39    -0.010       -0.112       -0.016      21.24
26891     GOODS-S    1.099    1.27    0.36    1.18    312.58    1.14    +0.081       -0.352       +0.039      22.40
54823     GOODS-S    0.978    0.95    0.32    0.96    196.85    1.12    -0.014       -0.333       -0.009      22.80
105980    GOODS-S    0.677    0.60    0.43    0.57    146.99    1.46    -0.046       -0.147       -0.064      23.13
93811     GOODS-S    0.954    0.85    0.35    0.94    106.31    1.22    -0.053       -0.309       -0.007      23.73
34457     GOODS-S    0.782    0.69    0.30    0.77    193.22    1.32    -0.052       -0.270       -0.007      22.70
65145     GOODS-S    0.670    1.46    0.32    1.48    155.37    1.11    +0.473       -0.209       +0.485      23.15
48917     GOODS-S    0.734    0.55    0.35    0.63    35.70     1.12    -0.106       -0.222       -0.060      24.74
73333     GOODS-S    0.605    0.56    0.39    0.56    720.32    1.43    -0.028       -0.134       -0.028      21.59
107836    GOODS-S    1.040    0.96    0.38    0.99    262.43    1.23    -0.039       -0.324       -0.025      22.26
88069     GOODS-S    0.764    0.79    0.38    0.76    583.01    1.25    +0.015       -0.218       -0.002      21.68
57446     GOODS-S    0.989    0.73    0.30    0.71    466.03    1.15    -0.130       -0.346       -0.140      21.59
96844     GOODS-S    0.710    0.35    0.31    0.30    165.48    1.27    -0.211       -0.234       -0.240      23.33
108795    GOODS-S    0.665    0.75    0.46    0.74    351.36    1.31    +0.051       -0.123       +0.045      21.96
17024     GOODS-S    0.661    0.67    0.30    0.67    278.36    1.18    +0.005       -0.217       +0.005      22.19
114267    GOODS-S    0.959    0.58    0.32    0.46    26.60     1.19    -0.193       -0.326       -0.255      25.07
70232     GOODS-S    0.665    0.67    0.30    0.66    726.89    1.16    +0.003       -0.219       -0.003      20.98
