# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
76405    & GOODS-N   & 189.1780463   & 62.250802   & 0.697   & 0.92$\substack{+0.01 \\ -0.01}$   & 0.44$\substack{+0.01 \\ -0.01}$   & 0.83$\substack{+0.00 \\ -0.01}$   & 119.74   & 1.22   & 0.10   & 23.11 \\
19226    & GOODS-S   & 53.1412561   & $-$27.907070   & 0.663   & 0.65$\substack{+0.01 \\ -0.01}$   & 1.32$\substack{+0.00 \\ -0.00}$   & 0.73$\substack{+0.00 \\ -0.00}$   & 324.85   & 1.44   & 0.08   & 22.23 \\
126762   & GOODS-S   & 53.0823701   & $-$27.701108   & 1.044   & 1.03$\substack{+0.03 \\ -0.02}$   & 1.05$\substack{+0.01 \\ -0.01}$   & 1.04$\substack{+0.00 \\ -0.00}$   & 90.52    & 1.63   & 0.16   & 24.20 \\
118459   & GOODS-S   & 53.0952520   & $-$27.717270   & 0.671   & 0.68$\substack{+0.00 \\ -0.01}$   & 0.38$\substack{+0.05 \\ -0.01}$   & 0.65$\substack{+0.01 \\ -0.00}$   & 104.73   & 1.13   & 0.10   & 23.35 \\
108892   & GOODS-S   & 53.0779324   & $-$27.736875   & 0.958   & 1.00$\substack{+0.00 \\ -0.05}$   & 0.90$\substack{+0.05 \\ -0.01}$   & 0.94$\substack{+0.03 \\ -0.04}$   & 144.69   & 1.50   & 0.09   & 22.61 \\
92378    & GOODS-N   & 189.1805813   & 62.281280   & 0.944   & 1.00$\substack{+0.05 \\ -0.03}$   & 1.04$\substack{+0.01 \\ -0.00}$   & 1.02$\substack{+0.09 \\ -0.04}$   & 288.62   & 1.39   & 0.06   & 22.06 \\
47038    & GOODS-S   & 53.1338939   & $-$27.851542   & 0.683   & 0.72$\substack{+0.01 \\ -0.04}$   & 0.31$\substack{+0.01 \\ -0.00}$   & 0.72$\substack{+0.01 \\ -0.06}$   & 153.20   & 1.30   & 0.10   & 22.30 \\
82816    & GOODS-N   & 189.3380698   & 62.262313   & 0.778   & 0.82$\substack{+0.01 \\ -0.00}$   & 0.70$\substack{+0.01 \\ -0.00}$   & 0.78$\substack{+0.01 \\ -0.00}$   & 154.46   & 1.20   & 0.07   & 22.69 \\
72524    & GOODS-S   & 53.1303304   & $-$27.805615   & 1.173   & 1.06$\substack{+0.01 \\ -0.03}$   & 1.10$\substack{+0.00 \\ -0.04}$   & 1.08$\substack{+0.00 \\ -0.01}$   & 111.31   & 1.38   & 0.12   & 23.73 \\
58856    & GOODS-N   & 189.1602768   & 62.220296   & 0.635   & 0.58$\substack{+0.00 \\ -0.01}$   & 0.40$\substack{+0.00 \\ -0.00}$   & 0.60$\substack{+0.01 \\ -0.00}$   & 287.12   & 1.20   & 0.05   & 22.41 \\
89031    & GOODS-S   & 53.1016142   & $-$27.773408   & 0.895   & 0.90$\substack{+0.00 \\ -0.00}$   & 0.89$\substack{+0.01 \\ -0.00}$   & 0.90$\substack{+0.00 \\ -0.00}$   & 150.49   & 1.79   & 0.13   & 22.60 \\
70857    & GOODS-N   & 189.1161525   & 62.246957   & 0.680   & 0.70$\substack{+0.01 \\ -0.02}$   & 0.99$\substack{+0.01 \\ -0.03}$   & 0.71$\substack{+0.00 \\ -0.00}$   & 547.56   & 1.39   & 0.05   & 21.33 \\
96844    & GOODS-S   & 53.1523301   & $-$27.761868   & 0.710   & 0.41$\substack{+0.00 \\ -0.01}$   & 0.31$\substack{+0.01 \\ -0.00}$   & 0.31$\substack{+0.01 \\ -0.00}$   & 165.48   & 1.27   & 0.07   & 23.33 \\
113678   & GOODS-S   & 53.0611747   & $-$27.726963   & 0.910   & 0.97$\substack{+0.01 \\ -0.01}$   & 1.49$\substack{+0.00 \\ -1.13}$   & 0.94$\substack{+0.01 \\ -0.00}$   & 142.71   & 1.38   & 0.08   & 23.44 \\
39728    & GOODS-N   & 189.1700185   & 62.185821   & 0.765   & 0.80$\substack{+0.03 \\ -0.02}$   & 0.51$\substack{+0.00 \\ -0.01}$   & 0.76$\substack{+0.01 \\ -0.00}$   & 124.88   & 1.36   & 0.09   & 23.43 \\
120726   & GOODS-N   & 189.3316295   & 62.330061   & 0.778   & 0.82$\substack{+0.01 \\ -0.03}$   & 0.35$\substack{+0.01 \\ -0.00}$   & 0.76$\substack{+0.01 \\ -0.01}$   & 169.07   & 1.24   & 0.07   & 23.15 \\
98131    & GOODS-N   & 189.2542330   & 62.291574   & 0.710   & 0.73$\substack{+0.00 \\ -0.00}$   & 0.70$\substack{+0.01 \\ -0.00}$   & 0.72$\substack{+0.00 \\ -0.00}$   & 739.18   & 1.67   & 0.05   & 21.54 \\
