# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
90557    & GOODS-N   & 189.3143761   & 62.275709   & 0.852   & 0.83$\substack{+0.01 \\ -0.00}$   & 0.59$\substack{+0.01 \\ -0.10}$   & 0.79$\substack{+0.00 \\ -0.00}$   & 271.02   & 1.17   & 0.05   & 22.61 \\
83503    & GOODS-N   & 189.2025506   & 62.264620   & 0.852   & 0.84$\substack{+0.00 \\ -0.00}$   & 0.85$\substack{+0.00 \\ -0.00}$   & 0.84$\substack{+0.00 \\ -0.00}$   & 534.24   & 1.61   & 0.05   & 21.62 \\
117632   & GOODS-S   & 53.0471377   & $-$27.709112   & 0.607   & 0.58$\substack{+0.01 \\ -0.02}$   & 0.34$\substack{+0.00 \\ -0.01}$   & 0.56$\substack{+0.00 \\ -0.00}$   & 885.11   & 1.21   & 0.04   & 20.68 \\
119764   & GOODS-N   & 189.3263534   & 62.327299   & 1.225   & 1.30$\substack{+0.03 \\ -0.03}$   & 1.31$\substack{+0.05 \\ -0.02}$   & 1.22$\substack{+0.10 \\ -0.00}$   & 82.39    & 1.56   & 0.25   & 24.20 \\
111648   & GOODS-N   & 189.3538023   & 62.312340   & 1.224   & 1.14$\substack{+0.03 \\ -0.01}$   & 1.12$\substack{+0.06 \\ -0.01}$   & 1.18$\substack{+0.00 \\ -0.01}$   & 137.36   & 1.13   & 0.11   & 23.61 \\
91095    & GOODS-S   & 53.1363113   & $-$27.763179   & 0.955   & 1.01$\substack{+0.00 \\ -0.06}$   & 1.02$\substack{+0.00 \\ -0.06}$   & 1.01$\substack{+0.00 \\ -0.00}$   & 546.42   & 1.50   & 0.05   & 21.43 \\
58703    & GOODS-N   & 189.1399619   & 62.222202   & 0.845   & 0.83$\substack{+0.06 \\ -0.02}$   & 0.78$\substack{+0.02 \\ -0.03}$   & 0.83$\substack{+0.02 \\ -0.02}$   & 494.69   & 1.31   & 0.04   & 21.53 \\
134389   & GOODS-S   & 53.0854533   & $-$27.683033   & 0.895   & 0.94$\substack{+0.01 \\ -0.01}$   & 0.83$\substack{+0.00 \\ -0.00}$   & 0.90$\substack{+0.02 \\ -0.04}$   & 170.14   & 1.27   & 0.07   & 22.36 \\
95002    & GOODS-N   & 189.4097481   & 62.288231   & 0.880   & 0.90$\substack{+0.00 \\ -0.00}$   & 0.88$\substack{+0.01 \\ -0.01}$   & 0.89$\substack{+0.00 \\ -0.00}$   & 205.49   & 1.76   & 0.10   & 22.13 \\
83106    & GOODS-N   & 189.1455086   & 62.263566   & 0.854   & 0.82$\substack{+0.02 \\ -0.00}$   & 0.92$\substack{+0.02 \\ -0.00}$   & 0.79$\substack{+0.01 \\ -0.01}$   & 267.69   & 1.42   & 0.06   & 22.18 \\
79928    & GOODS-N   & 189.1813500   & 62.258988   & 0.847   & 0.83$\substack{+0.00 \\ -0.00}$   & 0.73$\substack{+0.00 \\ -0.02}$   & 0.76$\substack{+0.00 \\ -0.00}$   & 213.68   & 1.20   & 0.05   & 22.64 \\
42014    & GOODS-N   & 189.1773335   & 62.189407   & 0.845   & 0.91$\substack{+0.01 \\ -0.02}$   & 0.77$\substack{+0.01 \\ -0.00}$   & 0.80$\substack{+0.00 \\ -0.01}$   & 186.01   & 1.14   & 0.06   & 22.88 \\
75653    & GOODS-N   & 189.1605828   & 62.248679   & 0.849   & 0.88$\substack{+0.00 \\ -0.05}$   & 0.84$\substack{+0.01 \\ -0.00}$   & 0.85$\substack{+0.02 \\ -0.03}$   & 166.10   & 1.47   & 0.08   & 23.28 \\
81513    & GOODS-N   & 189.2327902   & 62.259489   & 0.850   & 0.84$\substack{+0.02 \\ -0.01}$   & 0.71$\substack{+0.01 \\ -0.02}$   & 0.83$\substack{+0.01 \\ -0.00}$   & 94.80    & 1.44   & 0.13   & 24.02 \\
112617   & GOODS-S   & 53.0393961   & $-$27.726626   & 1.023   & 1.01$\substack{+0.01 \\ -0.01}$   & 0.97$\substack{+0.00 \\ -0.00}$   & 1.02$\substack{+0.00 \\ -0.05}$   & 84.58    & 1.50   & 0.14   & 23.37 \\
17024    & GOODS-S   & 53.1533697   & $-$27.913962   & 0.661   & 0.67$\substack{+0.00 \\ -0.02}$   & 0.41$\substack{+0.00 \\ -0.00}$   & 0.66$\substack{+0.00 \\ -0.00}$   & 278.36   & 1.18   & 0.05   & 22.19 \\
63227    & GOODS-N   & 189.1535471   & 62.229405   & 0.846   & 0.85$\substack{+0.01 \\ -0.03}$   & 0.32$\substack{+0.02 \\ -0.00}$   & 0.85$\substack{+0.00 \\ -0.04}$   & 417.67   & 1.31   & 0.04   & 21.72 \\
59024    & GOODS-N   & 189.1431247   & 62.220131   & 0.845   & 0.92$\substack{+0.00 \\ -0.01}$   & 0.80$\substack{+0.00 \\ -0.10}$   & 0.86$\substack{+0.00 \\ -0.06}$   & 179.28   & 1.27   & 0.07   & 22.85 \\
50799    & GOODS-N   & 189.2360180   & 62.205595   & 0.954   & 0.96$\substack{+0.00 \\ -0.00}$   & 0.96$\substack{+0.02 \\ -0.00}$   & 0.96$\substack{+0.00 \\ -0.00}$   & 219.24   & 1.65   & 0.07   & 22.68 \\
115781   & GOODS-S   & 53.1484734   & $-$27.719482   & 1.222   & 1.15$\substack{+0.00 \\ -0.00}$   & 1.21$\substack{+0.00 \\ -0.00}$   & 1.15$\substack{+0.00 \\ -0.00}$   & 156.30   & 1.67   & 0.11   & 23.01 \\
76592    & GOODS-S   & 53.1736667   & $-$27.797363   & 0.668   & 0.58$\substack{+0.07 \\ -0.02}$   & 0.36$\substack{+0.00 \\ -0.00}$   & 0.64$\substack{+0.00 \\ -0.00}$   & 132.67   & 1.20   & 0.08   & 23.50 \\
26158    & GOODS-S   & 53.1785644   & $-$27.890211   & 0.650   & 0.66$\substack{+0.00 \\ -0.00}$   & 0.66$\substack{+0.00 \\ -0.00}$   & 0.66$\substack{+0.00 \\ -0.00}$   & 842.00   & 1.70   & 0.05   & 20.99 \\
111741   & GOODS-S   & 53.0454611   & $-$27.728629   & 0.998   & 1.00$\substack{+0.03 \\ -0.02}$   & 1.10$\substack{+0.01 \\ -0.00}$   & 1.02$\substack{+0.01 \\ -0.03}$   & 330.77   & 1.47   & 0.05   & 21.61 \\
112509   & GOODS-N   & 189.4184551   & 62.314892   & 0.955   & 1.01$\substack{+0.01 \\ -0.06}$   & 1.46$\substack{+0.01 \\ -0.01}$   & 1.00$\substack{+0.03 \\ -0.05}$   & 141.09   & 1.36   & 0.09   & 23.03 \\
79185    & GOODS-N   & 189.1656552   & 62.263279   & 0.848   & 0.84$\substack{+0.00 \\ -0.00}$   & 0.96$\substack{+0.00 \\ -0.11}$   & 0.85$\substack{+0.00 \\ -0.00}$   & 528.87   & 1.65   & 0.05   & 21.36 \\
54598    & GOODS-N   & 189.2245564   & 62.215020   & 0.642   & 0.64$\substack{+0.03 \\ -0.02}$   & 0.61$\substack{+0.01 \\ -0.01}$   & 0.64$\substack{+0.01 \\ -0.03}$   & 694.02   & 1.36   & 0.04   & 20.98 \\
121302   & GOODS-N   & 189.3372338   & 62.332220   & 0.778   & 0.76$\substack{+0.00 \\ -0.02}$   & 0.30$\substack{+0.00 \\ -0.00}$   & 0.72$\substack{+0.01 \\ -0.00}$   & 311.43   & 1.25   & 0.05   & 22.16 \\
119879   & GOODS-N   & 189.3599907   & 62.329089   & 1.010   & 1.00$\substack{+0.00 \\ -0.00}$   & 1.00$\substack{+0.00 \\ -0.00}$   & 1.00$\substack{+0.00 \\ -0.00}$   & 284.78   & 1.78   & 0.07   & 22.50 \\
41630    & GOODS-N   & 189.1987192   & 62.188955   & 1.223   & 1.20$\substack{+0.12 \\ -0.06}$   & 1.12$\substack{+0.00 \\ -0.00}$   & 1.23$\substack{+0.09 \\ -0.09}$   & 111.73   & 1.27   & 0.14   & 23.17 \\
31899    & GOODS-S   & 53.1398202   & $-$27.880603   & 1.077   & 1.12$\substack{+0.00 \\ -0.04}$   & 1.17$\substack{+0.00 \\ -0.11}$   & 1.11$\substack{+0.02 \\ -0.03}$   & 354.71   & 1.43   & 0.06   & 22.06 \\
95449    & GOODS-N   & 189.3288829   & 62.287190   & 0.935   & 0.88$\substack{+0.07 \\ -0.06}$   & 0.36$\substack{+0.00 \\ -0.01}$   & 0.89$\substack{+0.00 \\ -0.00}$   & 105.59   & 1.15   & 0.09   & 23.24 \\
13543    & GOODS-S   & 53.1314798   & $-$27.921453   & 1.134   & 1.20$\substack{+0.02 \\ -0.30}$   & 1.12$\substack{+0.01 \\ -0.07}$   & 1.16$\substack{+0.03 \\ -0.09}$   & 87.55    & 1.39   & 0.15   & 23.99 \\
93602    & GOODS-N   & 189.1672976   & 62.282149   & 0.943   & 0.93$\substack{+0.00 \\ -0.00}$   & 0.94$\substack{+0.00 \\ -0.00}$   & 0.93$\substack{+0.00 \\ -0.00}$   & 471.82   & 1.65   & 0.05   & 22.18 \\
46765    & GOODS-N   & 189.2579665   & 62.197271   & 1.020   & 0.96$\substack{+0.01 \\ -0.01}$   & 0.99$\substack{+0.00 \\ -0.00}$   & 0.99$\substack{+0.00 \\ -0.01}$   & 92.69    & 1.14   & 0.10   & 23.87 \\
104774   & GOODS-S   & 53.0861053   & $-$27.746234   & 0.726   & 0.68$\substack{+0.00 \\ -0.02}$   & 0.72$\substack{+0.00 \\ -0.01}$   & 0.68$\substack{+0.00 \\ -0.00}$   & 365.72   & 1.61   & 0.07   & 21.95 \\
93627    & GOODS-S   & 53.1090557   & $-$27.767658   & 1.221   & 1.19$\substack{+0.10 \\ -0.15}$   & 1.17$\substack{+0.01 \\ -0.14}$   & 1.10$\substack{+0.07 \\ -0.07}$   & 36.90    & 1.23   & 0.41   & 24.73 \\
88020    & GOODS-N   & 189.1544383   & 62.270859   & 0.852   & 0.83$\substack{+0.02 \\ -0.01}$   & 0.63$\substack{+0.01 \\ -0.00}$   & 0.74$\substack{+0.00 \\ -0.01}$   & 128.18   & 1.32   & 0.08   & 23.38 \\
93815    & GOODS-S   & 53.1812066   & $-$27.765670   & 1.220   & 1.18$\substack{+0.00 \\ -0.06}$   & 1.20$\substack{+0.01 \\ -0.00}$   & 1.20$\substack{+0.02 \\ -0.08}$   & 231.97   & 1.24   & 0.07   & 22.68 \\
102847   & GOODS-S   & 53.1001026   & $-$27.751121   & 1.110   & 1.05$\substack{+0.02 \\ -0.02}$   & 1.10$\substack{+0.00 \\ -0.00}$   & 1.07$\substack{+0.03 \\ -0.00}$   & 97.39    & 1.26   & 0.12   & 23.93 \\
92535    & GOODS-N   & 189.1767644   & 62.279170   & 0.836   & 0.83$\substack{+0.02 \\ -0.01}$   & 0.83$\substack{+0.01 \\ -0.00}$   & 0.83$\substack{+0.01 \\ -0.01}$   & 234.15   & 1.36   & 0.05   & 22.85 \\
85920    & GOODS-N   & 189.2502329   & 62.268303   & 1.014   & 0.96$\substack{+0.00 \\ -0.00}$   & 0.98$\substack{+0.00 \\ -0.00}$   & 0.98$\substack{+0.00 \\ -0.00}$   & 274.63   & 1.31   & 0.05   & 22.33 \\
91148    & GOODS-N   & 189.1672069   & 62.276870   & 0.849   & 1.03$\substack{+0.03 \\ -0.20}$   & 0.80$\substack{+0.01 \\ -0.01}$   & 0.82$\substack{+0.08 \\ -0.01}$   & 134.89   & 1.39   & 0.09   & 23.38 \\
103146   & GOODS-S   & 53.1527857   & $-$27.750513   & 1.019   & 0.98$\substack{+0.03 \\ -0.02}$   & 1.01$\substack{+0.01 \\ -0.00}$   & 1.01$\substack{+0.00 \\ -0.00}$   & 76.02    & 1.72   & 0.19   & 24.21 \\
79351    & GOODS-N   & 189.1574350   & 62.256407   & 1.221   & 1.13$\substack{+0.06 \\ -0.00}$   & 1.15$\substack{+0.04 \\ -0.01}$   & 1.14$\substack{+0.00 \\ -0.00}$   & 96.38    & 1.22   & 0.16   & 23.82 \\
25184    & GOODS-S   & 53.1426003   & $-$27.895068   & 0.685   & 0.90$\substack{+0.00 \\ -0.07}$   & 0.63$\substack{+0.15 \\ -0.00}$   & 0.89$\substack{+0.01 \\ -0.08}$   & 97.96    & 1.51   & 0.19   & 23.48 \\
65022    & GOODS-N   & 189.2313299   & 62.231529   & 1.145   & 1.03$\substack{+0.01 \\ -0.03}$   & 1.11$\substack{+0.00 \\ -0.00}$   & 1.09$\substack{+0.00 \\ -0.00}$   & 163.89   & 1.26   & 0.08   & 22.75 \\
105048   & GOODS-N   & 189.2771661   & 62.305090   & 0.856   & 0.83$\substack{+0.02 \\ -0.00}$   & 0.85$\substack{+0.00 \\ -0.00}$   & 0.85$\substack{+0.00 \\ -0.01}$   & 235.86   & 1.58   & 0.07   & 22.88 \\
22402    & GOODS-S   & 53.1418669   & $-$27.901909   & 0.823   & 0.87$\substack{+0.00 \\ -0.02}$   & 0.75$\substack{+0.01 \\ -0.00}$   & 0.83$\substack{+0.01 \\ -0.03}$   & 259.59   & 1.24   & 0.05   & 22.33 \\
107136   & GOODS-S   & 53.1073466   & $-$27.741929   & 0.891   & 0.98$\substack{+0.00 \\ -0.00}$   & 0.99$\substack{+0.00 \\ -0.08}$   & 0.99$\substack{+0.00 \\ -0.00}$   & 163.54   & 1.47   & 0.08   & 23.19 \\
98420    & GOODS-N   & 189.3300095   & 62.291136   & 1.200   & 1.13$\substack{+0.03 \\ -0.13}$   & 1.12$\substack{+0.01 \\ -0.00}$   & 1.12$\substack{+0.02 \\ -0.03}$   & 109.52   & 1.25   & 0.14   & 23.85 \\
25390    & GOODS-S   & 53.1307081   & $-$27.888658   & 1.000   & 1.11$\substack{+0.02 \\ -0.03}$   & 1.24$\substack{+0.01 \\ -0.00}$   & 1.11$\substack{+0.02 \\ -0.02}$   & 197.11   & 1.51   & 0.09   & 22.01 \\
33294    & GOODS-S   & 53.1586671   & $-$27.880188   & 1.035   & 0.99$\substack{+0.00 \\ -0.01}$   & 0.96$\substack{+0.00 \\ -0.00}$   & 1.01$\substack{+0.00 \\ -0.00}$   & 176.43   & 1.15   & 0.06   & 23.49 \\
43997    & GOODS-S   & 53.1618662   & $-$27.858128   & 0.754   & 0.64$\substack{+0.02 \\ -0.00}$   & 0.65$\substack{+0.03 \\ -0.01}$   & 0.65$\substack{+0.00 \\ -0.00}$   & 132.38   & 1.26   & 0.10   & 23.45 \\
111030   & GOODS-S   & 53.0425693   & $-$27.733020   & 1.058   & 1.03$\substack{+0.03 \\ -0.04}$   & 0.74$\substack{+0.01 \\ -0.29}$   & 0.94$\substack{+0.13 \\ -0.00}$   & 47.18    & 1.23   & 0.20   & 24.66 \\
93239    & GOODS-N   & 189.3436071   & 62.280933   & 0.841   & 0.85$\substack{+0.02 \\ -0.03}$   & 0.81$\substack{+0.03 \\ -0.02}$   & 0.84$\substack{+0.01 \\ -0.04}$   & 171.31   & 1.35   & 0.07   & 22.75 \\
66256    & GOODS-S   & 53.1932050   & $-$27.820214   & 0.683   & 0.66$\substack{+0.03 \\ -0.00}$   & 0.68$\substack{+0.01 \\ -0.00}$   & 0.69$\substack{+0.00 \\ -0.00}$   & 367.00   & 1.75   & 0.08   & 22.35 \\
45496    & GOODS-N   & 189.2052291   & 62.196807   & 0.960   & 0.96$\substack{+0.00 \\ -0.02}$   & 1.02$\substack{+0.01 \\ -0.07}$   & 0.95$\substack{+0.01 \\ -0.01}$   & 179.82   & 1.44   & 0.08   & 22.96 \\
61291    & GOODS-N   & 189.1623525   & 62.224831   & 1.011   & 1.00$\substack{+0.00 \\ -0.00}$   & 1.00$\substack{+0.00 \\ -0.00}$   & 1.00$\substack{+0.00 \\ -0.00}$   & 241.50   & 1.67   & 0.07   & 23.00 \\
108987   & GOODS-S   & 53.1570855   & $-$27.737865   & 1.215   & 1.36$\substack{+0.03 \\ -0.02}$   & 1.13$\substack{+0.32 \\ -0.15}$   & 1.10$\substack{+0.01 \\ -0.07}$   & 76.98    & 1.25   & 0.20   & 23.48 \\
112840   & GOODS-S   & 53.1347278   & $-$27.729402   & 1.026   & 0.98$\substack{+0.02 \\ -0.01}$   & 0.86$\substack{+0.00 \\ -0.00}$   & 0.98$\substack{+0.00 \\ -0.01}$   & 75.77    & 1.31   & 0.17   & 24.36 \\
123476   & GOODS-N   & 189.3758964   & 62.342342   & 0.634   & 0.64$\substack{+0.01 \\ -0.02}$   & 0.34$\substack{+0.15 \\ -0.00}$   & 0.60$\substack{+0.03 \\ -0.03}$   & 611.24   & 1.23   & 0.04   & 21.00 \\
120825   & GOODS-S   & 53.0960605   & $-$27.707305   & 0.733   & 0.70$\substack{+0.00 \\ -0.00}$   & 0.37$\substack{+0.17 \\ -0.00}$   & 0.66$\substack{+0.01 \\ -0.02}$   & 272.75   & 1.22   & 0.05   & 22.03 \\
34128    & GOODS-S   & 53.1589571   & $-$27.877881   & 0.734   & 0.67$\substack{+0.01 \\ -0.01}$   & 0.83$\substack{+0.03 \\ -0.00}$   & 0.66$\substack{+0.00 \\ -0.00}$   & 228.19   & 1.32   & 0.06   & 22.83 \\
46766    & GOODS-N   & 189.1889185   & 62.198477   & 0.968   & 0.98$\substack{+0.01 \\ -0.01}$   & 1.01$\substack{+0.00 \\ -0.01}$   & 1.00$\substack{+0.00 \\ -0.00}$   & 156.58   & 1.75   & 0.12   & 23.32 \\
78475    & GOODS-N   & 189.1491249   & 62.253905   & 0.854   & 0.84$\substack{+0.01 \\ -0.00}$   & 0.85$\substack{+0.00 \\ -0.00}$   & 0.85$\substack{+0.00 \\ -0.01}$   & 165.46   & 1.61   & 0.10   & 23.34 \\
62388    & GOODS-N   & 189.1976740   & 62.225022   & 0.964   & 0.91$\substack{+0.04 \\ -0.02}$   & 0.79$\substack{+0.00 \\ -0.00}$   & 0.86$\substack{+0.01 \\ -0.00}$   & 82.35    & 1.28   & 0.13   & 23.76 \\
67582    & GOODS-N   & 189.2202524   & 62.234699   & 1.014   & 0.99$\substack{+0.01 \\ -0.01}$   & 1.02$\substack{+0.00 \\ -0.02}$   & 0.98$\substack{+0.01 \\ -0.01}$   & 139.62   & 1.22   & 0.09   & 23.25 \\
81749    & GOODS-N   & 189.1758510   & 62.262638   & 0.858   & 1.20$\substack{+0.00 \\ -0.00}$   & 1.01$\substack{+0.00 \\ -0.01}$   & 1.19$\substack{+0.00 \\ -0.01}$   & 514.03   & 1.36   & 0.04   & 21.39 \\
99490    & GOODS-S   & 53.1065888   & $-$27.758035   & 0.667   & 0.58$\substack{+0.15 \\ -0.05}$   & 0.53$\substack{+0.17 \\ -0.01}$   & 0.70$\substack{+0.02 \\ -0.02}$   & 62.97    & 1.33   & 0.17   & 24.43 \\
76125    & GOODS-S   & 53.1385500   & $-$27.799460   & 1.098   & 1.02$\substack{+0.06 \\ -0.06}$   & 1.14$\substack{+0.14 \\ -0.02}$   & 1.09$\substack{+0.05 \\ -0.09}$   & 72.02    & 1.31   & 0.19   & 24.75 \\
70232    & GOODS-S   & 53.1564022   & $-$27.810814   & 0.665   & 0.68$\substack{+0.00 \\ -0.00}$   & 0.37$\substack{+0.00 \\ -0.01}$   & 0.66$\substack{+0.01 \\ -0.01}$   & 726.89   & 1.16   & 0.03   & 20.98 \\
86999    & GOODS-N   & 189.3033036   & 62.271670   & 0.851   & 0.83$\substack{+0.00 \\ -0.01}$   & 0.89$\substack{+0.00 \\ -0.00}$   & 0.89$\substack{+0.00 \\ -0.00}$   & 363.46   & 1.35   & 0.05   & 22.34 \\
93364    & GOODS-N   & 189.3841570   & 62.282941   & 0.975   & 0.96$\substack{+0.00 \\ -0.05}$   & 1.10$\substack{+0.07 \\ -0.07}$   & 0.95$\substack{+0.02 \\ -0.04}$   & 761.60   & 1.42   & 0.04   & 21.63 \\
62376    & GOODS-N   & 189.1804328   & 62.225739   & 0.904   & 0.83$\substack{+0.01 \\ -0.01}$   & 0.34$\substack{+0.00 \\ -0.01}$   & 0.89$\substack{+0.00 \\ -0.00}$   & 116.69   & 1.35   & 0.10   & 23.41 \\
54405    & GOODS-N   & 189.1663611   & 62.213902   & 0.846   & 0.82$\substack{+0.00 \\ -0.00}$   & 0.84$\substack{+0.00 \\ -0.00}$   & 0.82$\substack{+0.00 \\ -0.01}$   & 575.11   & 1.35   & 0.04   & 21.32 \\
122766   & GOODS-S   & 53.0717630   & $-$27.708439   & 0.605   & 0.50$\substack{+0.02 \\ -0.02}$   & 0.33$\substack{+0.00 \\ -0.01}$   & 0.55$\substack{+0.00 \\ -0.01}$   & 128.00   & 1.18   & 0.11   & 23.01 \\
94812    & GOODS-N   & 189.1614505   & 62.285139   & 0.682   & 0.59$\substack{+0.05 \\ -0.00}$   & 0.42$\substack{+0.00 \\ -0.00}$   & 0.65$\substack{+0.00 \\ -0.00}$   & 526.09   & 1.25   & 0.04   & 21.66 \\
36110    & GOODS-S   & 53.1724271   & $-$27.873753   & 0.611   & 0.59$\substack{+0.00 \\ -0.01}$   & 0.67$\substack{+0.00 \\ -0.00}$   & 0.62$\substack{+0.00 \\ -0.00}$   & 161.95   & 1.40   & 0.10   & 23.22 \\
52896    & GOODS-N   & 189.1991331   & 62.209159   & 0.961   & 0.94$\substack{+0.01 \\ -0.01}$   & 0.37$\substack{+0.01 \\ -0.01}$   & 0.91$\substack{+0.01 \\ -0.01}$   & 133.80   & 1.30   & 0.08   & 23.37 \\
27974    & GOODS-S   & 53.1466117   & $-$27.889677   & 0.670   & 0.76$\substack{+0.00 \\ -0.01}$   & 0.66$\substack{+0.00 \\ -0.00}$   & 0.75$\substack{+0.00 \\ -0.03}$   & 254.65   & 1.71   & 0.11   & 22.75 \\
86604    & GOODS-S   & 53.1452229   & $-$27.777903   & 1.099   & 1.13$\substack{+0.04 \\ -0.09}$   & 1.08$\substack{+0.01 \\ -0.00}$   & 1.13$\substack{+0.02 \\ -0.10}$   & 189.38   & 1.34   & 0.07   & 23.27 \\
117865   & GOODS-S   & 53.1300388   & $-$27.719551   & 1.022   & 1.01$\substack{+0.02 \\ -0.05}$   & 0.99$\substack{+0.00 \\ -0.60}$   & 0.99$\substack{+0.00 \\ -0.02}$   & 81.77    & 1.35   & 0.15   & 24.73 \\
30763    & GOODS-S   & 53.1654674   & $-$27.885331   & 0.685   & 0.69$\substack{+0.02 \\ -0.02}$   & 0.53$\substack{+0.08 \\ -0.01}$   & 0.65$\substack{+0.05 \\ -0.00}$   & 176.29   & 1.18   & 0.08   & 22.89 \\
94231    & GOODS-N   & 189.3795897   & 62.287426   & 1.013   & 0.98$\substack{+0.01 \\ -0.05}$   & 1.09$\substack{+0.02 \\ -0.01}$   & 1.00$\substack{+0.00 \\ -0.05}$   & 358.40   & 1.43   & 0.05   & 21.94 \\
71071    & GOODS-S   & 53.1323007   & $-$27.810923   & 0.996   & 0.94$\substack{+0.01 \\ -0.00}$   & 1.49$\substack{+0.00 \\ -0.71}$   & 0.94$\substack{+0.03 \\ -0.01}$   & 51.92    & 1.41   & 0.22   & 24.69 \\
127226   & GOODS-S   & 53.0617823   & $-$27.699201   & 0.680   & 0.67$\substack{+0.00 \\ -0.00}$   & 0.67$\substack{+0.03 \\ -0.00}$   & 0.67$\substack{+0.00 \\ -0.00}$   & 357.05   & 1.66   & 0.08   & 22.35 \\
52460    & GOODS-N   & 189.2315221   & 62.212656   & 0.791   & 0.81$\substack{+0.00 \\ -0.00}$   & 0.36$\substack{+0.00 \\ -0.00}$   & 0.78$\substack{+0.01 \\ -0.00}$   & 315.63   & 1.37   & 0.05   & 21.99 \\
77821    & GOODS-S   & 53.1376154   & $-$27.791914   & 0.998   & 0.91$\substack{+0.01 \\ -0.00}$   & 1.04$\substack{+0.00 \\ -0.00}$   & 0.99$\substack{+0.00 \\ -0.01}$   & 224.23   & 1.39   & 0.08   & 22.61 \\
62223    & GOODS-S   & 53.1418806   & $-$27.827172   & 0.840   & 0.84$\substack{+0.01 \\ -0.01}$   & 0.85$\substack{+0.00 \\ -0.05}$   & 0.84$\substack{+0.01 \\ -0.03}$   & 151.41   & 1.68   & 0.13   & 23.53 \\
77555    & GOODS-N   & 189.1353010   & 62.253679   & 0.683   & 0.78$\substack{+0.00 \\ -0.02}$   & 0.35$\substack{+0.00 \\ -0.05}$   & 0.78$\substack{+0.00 \\ -0.01}$   & 352.75   & 1.38   & 0.05   & 21.92 \\
89112    & GOODS-N   & 189.3512440   & 62.275530   & 0.852   & 0.91$\substack{+0.01 \\ -0.00}$   & 0.31$\substack{+0.00 \\ -0.01}$   & 0.86$\substack{+0.05 \\ -0.00}$   & 296.18   & 1.25   & 0.05   & 22.13 \\
79587    & GOODS-N   & 189.3103218   & 62.258285   & 0.857   & 0.84$\substack{+0.00 \\ -0.00}$   & 0.87$\substack{+0.00 \\ -0.00}$   & 0.83$\substack{+0.00 \\ -0.00}$   & 275.63   & 1.81   & 0.09   & 22.26 \\
117715   & GOODS-N   & 189.4000044   & 62.322069   & 1.026   & 0.96$\substack{+0.05 \\ -0.03}$   & 1.16$\substack{+0.07 \\ -0.01}$   & 0.98$\substack{+0.06 \\ -0.02}$   & 100.71   & 1.33   & 0.13   & 24.26 \\
58222    & GOODS-S   & 53.2087572   & $-$27.834432   & 0.713   & 0.73$\substack{+0.01 \\ -0.01}$   & 0.73$\substack{+0.01 \\ -0.07}$   & 0.72$\substack{+0.01 \\ -0.01}$   & 146.05   & 1.33   & 0.10   & 23.55 \\
121733   & GOODS-S   & 53.0399146   & $-$27.711628   & 0.683   & 0.68$\substack{+0.02 \\ -0.02}$   & 0.67$\substack{+0.00 \\ -0.00}$   & 0.67$\substack{+0.00 \\ -0.00}$   & 171.17   & 1.15   & 0.07   & 23.38 \\
98209    & GOODS-N   & 189.3194843   & 62.292583   & 1.146   & 1.49$\substack{+0.00 \\ -0.06}$   & 1.47$\substack{+0.01 \\ -0.00}$   & 1.49$\substack{+0.00 \\ -0.09}$   & 286.62   & 1.22   & 0.05   & 22.64 \\
112448   & GOODS-S   & 53.1554831   & $-$27.726190   & 0.660   & 0.66$\substack{+0.00 \\ -0.01}$   & 0.95$\substack{+0.00 \\ -0.14}$   & 0.66$\substack{+0.00 \\ -0.01}$   & 371.84   & 1.53   & 0.07   & 21.85 \\
109900   & GOODS-S   & 53.1128097   & $-$27.734630   & 0.739   & 0.92$\substack{+0.00 \\ -0.02}$   & 0.41$\substack{+0.00 \\ -0.00}$   & 0.73$\substack{+0.00 \\ -0.01}$   & 370.58   & 1.13   & 0.04   & 22.40 \\
113555   & GOODS-S   & 53.1148764   & $-$27.725394   & 0.607   & 0.68$\substack{+0.03 \\ -0.01}$   & 0.45$\substack{+0.00 \\ -0.00}$   & 0.71$\substack{+0.01 \\ -0.00}$   & 237.33   & 1.38   & 0.08   & 22.59 \\
47101    & GOODS-S   & 53.2063098   & $-$27.851605   & 0.783   & 0.75$\substack{+0.01 \\ -0.01}$   & 0.45$\substack{+0.00 \\ -0.01}$   & 0.76$\substack{+0.01 \\ -0.00}$   & 303.79   & 1.23   & 0.05   & 22.07 \\
91947    & GOODS-N   & 189.1685725   & 62.278265   & 0.849   & 0.95$\substack{+0.02 \\ -0.01}$   & 0.53$\substack{+0.00 \\ -0.01}$   & 0.85$\substack{+0.00 \\ -0.00}$   & 120.13   & 1.18   & 0.09   & 23.95 \\
45451    & GOODS-N   & 189.1595647   & 62.197454   & 0.841   & 0.94$\substack{+0.00 \\ -0.06}$   & 0.85$\substack{+0.00 \\ -0.01}$   & 0.94$\substack{+0.00 \\ -0.05}$   & 257.71   & 1.42   & 0.06   & 22.39 \\
