# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
41913 GOODS-N 189.172400 62.191647 1.0956 1.1711 0.0170 3DHST 1.2673 0.1782 1.6369 0.1126 125.3770 86.0842
41945 GOODS-N 189.256444 62.191414 0.7773 0.5962 0.0109 3DHST 0.9030 0.0843 1.2266 0.0551 801.0709 235.2180
42014 GOODS-N 189.177334 62.189496 0.8731 0.7895 0.0063 3DHST 0.9805 0.1044 1.2270 0.0656 434.8184 187.0065
42119 GOODS-N 189.209596 62.191001 0.9331 1.0321 0.0358 3DHST 1.0226 0.1481 1.4018 0.0852 302.9964 195.3963
42430 GOODS-N 189.161688 62.189957 0.9756 0.9624 0.0103 3DHST 1.0827 0.1419 1.1830 0.0809 123.2954 121.7338
42509 GOODS-N 189.227823 62.189711 0.6822 0.6174 0.0420 3DHST 1.2221 0.3975 1.2978 0.2338 123.8706 108.3664
42526 GOODS-N 189.193098 62.189794 0.7487 0.5896 0.3227 3DHST 1.6703 0.8840 1.7851 0.4255 158.3945 100.3104
42768 GOODS-N 189.157544 62.190081 0.9888 0.9497 0.0152 3DHST 1.1004 0.2061 1.2285 0.1133 112.6026 90.4388
43618 GOODS-N 189.182566 62.195327 0.7413 0.7472 0.0059 3DHST 1.7269 0.1053 1.4785 0.0468 199.9943 179.1070
43991 GOODS-N 189.169432 62.193315 1.0227 1.0917 0.0446 3DHST 1.3478 0.2838 1.3955 0.1582 106.9188 89.8641
44070 GOODS-N 189.142565 62.192193 0.6296 0.5976 0.0433 3DHST 1.1891 0.4594 1.2689 0.2607 97.8185 85.0629
44078 GOODS-N 189.202683 62.194930 0.9827 1.0018 0.0101 3DHST 1.3810 0.0966 1.7338 0.0596 220.8000 197.6861
44125 GOODS-N 189.253244 62.192995 1.2264 1.1407 0.0276 3DHST 1.1408 0.4234 1.1941 0.2202 94.1076 69.5396
44286 GOODS-N 189.239528 62.193193 0.9841 0.9326 0.0078 3DHST 1.0010 0.1085 1.1152 0.0634 248.3778 153.2443
44559 GOODS-N 189.231468 62.193442 1.0036 0.7993 0.0666 3DHST 1.3422 0.3596 1.5012 0.2077 178.7234 122.9966
44562 GOODS-N 189.192422 62.195116 1.1114 1.1201 0.0212 3DHST 1.1117 0.1019 1.2602 0.0649 167.3020 167.0160
44756 GOODS-N 189.202412 62.194546 0.9905 0.9925 0.0114 3DHST 1.7282 0.2872 2.1299 0.1736 97.8625 95.5755
