# max_break redshift
1.65909158641 2.19098375321
1.6811135662 2.02139617963
1.69511747435 1.87185518145
1.70438874328 1.73874987053
1.72040622398 1.61930628331
1.736396871 1.51135539905
1.75141219949 1.413174543
1.76330742768 1.32337699613
1.7801891116 1.2408326735
1.79398525405 1.16461082568
1.80578236659 1.09393725544
1.81702203437 1.02816240762
1.82650184154 0.966736948036
1.83338618427 0.909192802392
1.8425200674 0.855128636241
1.85036513616 0.804198140582
1.85922804884 0.756100793081
1.86761447825 0.710574507663
1.87698924556 0.667389554535
1.88677627147 0.626343676673
1.89591955369 0.587258095169
1.9070579745 0.549974085733
1.91641415043 0.514350299845
1.92629419517 0.480260364564
1.9358059882 0.447590963179
