# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
80486 GOODS-N 189.1261133 62.256779 -99.0000 -99.0 - 20.39 25.97
88931 GOODS-N 189.1265826 62.271653 -99.0000 -99.0 - 22.02 25.68
84208 GOODS-N 189.1266368 62.266299 0.2318 Barger_UV Z 275.25 22.64
47747 GOODS-N 189.1266613 62.198696 -99.0000 -99.0 - 36.90 25.67
47466 GOODS-N 189.1266886 62.202386 0.4570 Barger_UV Z 862.41 20.94
89849 GOODS-N 189.1270022 62.273868 2.4921 3D_HST A 91.44 24.00
89824 GOODS-N 189.1273248 62.273979 2.4229 3D_HST A 120.52 23.80
52832 GOODS-N 189.1274259 62.208119 -99.0000 -99.0 - 30.92 25.56
80612 GOODS-N 189.1275760 62.257602 -99.0000 -99.0 - 54.79 24.97
81075 GOODS-N 189.1276493 62.259384 -99.0000 -99.0 - 327.06 22.32
78362 GOODS-N 189.1283147 62.253715 -99.0000 -99.0 - 34.03 25.62
47666 GOODS-N 189.1283236 62.199606 -99.0000 -99.0 - 65.85 24.65
75413 GOODS-N 189.1284939 62.248214 0.8641 Barger_K Z 161.15 23.34
70099 GOODS-N 189.1285010 62.238402 -99.0000 -99.0 - 61.76 24.85
71474 GOODS-N 189.1285923 62.242648 0.4384 Barger_UV Z 545.98 21.39
79055 GOODS-N 189.1291379 62.257726 -99.0000 -99.0 - 1647.44 20.65
50612 GOODS-N 189.1293642 62.204319 -99.0000 -99.0 - 39.58 25.18
89453 GOODS-N 189.1295076 62.273472 0.9319 3D_HST A 97.01 23.69
76481 GOODS-N 189.1296386 62.249623 -99.0000 -99.0 - 44.35 25.10
43988 GOODS-N 189.1297368 62.191877 -99.0000 -99.0 - 38.33 25.48
87394 GOODS-N 189.1297592 62.269070 -99.0000 -99.0 - 20.52 25.98
86071 GOODS-N 189.1298682 62.266672 -99.0000 -99.0 - 15.40 25.98
53264 GOODS-N 189.1298795 62.210096 0.4569 Barger_ACS Z 625.39 21.70
47957 GOODS-N 189.1301291 62.199702 -99.0000 -99.0 - 36.80 25.34
86135 GOODS-N 189.1301975 62.267402 -99.0000 -99.0 - 52.89 24.36
59128 GOODS-N 189.1306355 62.219126 -99.0000 -99.0 - 30.72 25.10
86335 GOODS-N 189.1307447 62.267325 -99.0000 -99.0 - 29.31 25.68
48854 GOODS-N 189.1308985 62.201126 -99.0000 -99.0 - 60.06 24.52
49740 GOODS-N 189.1310166 62.203153 -99.0000 -99.0 - 102.23 23.70
44504 GOODS-N 189.1311558 62.193606 -99.0000 -99.0 - 117.15 23.55
72203 GOODS-N 189.1312654 62.242029 -99.0000 -99.0 - 71.40 23.78
44006 GOODS-N 189.1315225 62.191664 -99.0000 -99.0 - 40.20 25.80
57451 GOODS-N 189.1315786 62.216404 -99.0000 -99.0 - 75.57 24.75
45243 GOODS-N 189.1316383 62.194369 -99.0000 -99.0 - 48.22 25.20
60424 GOODS-N 189.1318551 62.221179 -99.0000 -99.0 - 39.78 25.27
84259 GOODS-N 189.1318744 62.267803 0.7837 Barger_K Z 663.46 21.40
43686 GOODS-N 189.1319559 62.191677 -99.0000 -99.0 - 69.84 24.72
55626 GOODS-N 189.1320739 62.213682 -99.0000 -99.0 - 99.44 23.79
74015 GOODS-N 189.1326554 62.245552 -99.0000 -99.0 - 25.07 25.64
53110 GOODS-N 189.1328135 62.211265 0.5281 Wirth_2004 4 554.65 21.68
46619 GOODS-N 189.1328201 62.197130 -99.0000 -99.0 - 41.42 25.61
55934 GOODS-N 189.1331263 62.214407 2.4440 Wirth_2015 4 99.43 24.18
51607 GOODS-N 189.1333685 62.206913 -99.0000 -99.0 - 75.43 24.36
72938 GOODS-N 189.1334164 62.243512 -99.0000 -99.0 - 112.38 23.99
45063 GOODS-N 189.1335214 62.194457 1.5267 Barger_K Z 150.29 23.49
