# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_north_idv415 pears_ra pears_dec threed_ra threed_dec
82243 24130 189.125929 62.260345 189.125870 62.260349
81588 23725 189.126031 62.258669 189.126068 62.258667
78490 22523 189.126039 62.252982 189.126053 62.252979
77895 22376 189.126041 62.252122 189.126053 62.252129
80632 23580 189.126098 62.257488 189.126083 62.257484
80486 23333 189.126113 62.256779 189.126099 62.256775
51111 12633 189.126476 62.204855 189.126480 62.204857
88931 26496 189.126583 62.271653 189.126572 62.271656
84208 25286 189.126637 62.266299 189.126633 62.266296
47747 11323 189.126661 62.198696 189.126663 62.198700
47466 12098 189.126689 62.202386 189.126663 62.202393
89849 26876 189.127002 62.273868 189.126999 62.273869
89824 26889 189.127325 62.273979 189.127319 62.273983
52832 13384 189.127426 62.208119 189.127396 62.208115
80612 23477 189.127576 62.257602 189.127594 62.257584
81075 23910 189.127649 62.259384 189.127655 62.259388
82117 23960 189.127775 62.259755 189.127762 62.259758
72718 20751 189.127858 62.244309 189.127853 62.244282
72251 20339 189.127900 62.242155 189.127899 62.242165
74473 21145 189.128131 62.246250 189.128143 62.246281
84914 24849 189.128187 62.264206 189.128189 62.264202
78362 22774 189.128315 62.253715 189.128311 62.253716
47666 11610 189.128324 62.199606 189.128342 62.199608
75413 21610 189.128494 62.248214 189.128510 62.248219
70099 19686 189.128501 62.238402 189.128494 62.238400
71474 20456 189.128592 62.242648 189.128586 62.242653
81426 23774 189.128600 62.258756 189.128586 62.258751
45559 10459 189.128738 62.194606 189.128708 62.194603
76264 21709 189.128874 62.249312 189.128876 62.249321
79055 23455 189.129138 62.257726 189.129150 62.257709
45523 10489 189.129231 62.194722 189.129181 62.194725
50612 12485 189.129364 62.204319 189.129349 62.204311
70648 19952 189.129419 62.240217 189.129425 62.240211
89453 26790 189.129508 62.273472 189.129517 62.273464
76481 21776 189.129639 62.249623 189.129639 62.249634
43988 9841 189.129737 62.191877 189.129684 62.191872
87394 25892 189.129759 62.269070 189.129761 62.269062
86071 25380 189.129868 62.266672 189.129883 62.266636
53264 13636 189.129879 62.210096 189.129883 62.210098
47957 11617 189.130129 62.199702 189.130112 62.199718
86135 25522 189.130198 62.267402 189.130188 62.267406
71802 20148 189.130382 62.241355 189.130341 62.241348
50882 12725 189.130519 62.205178 189.130478 62.205135
59128 15631 189.130636 62.219126 189.130646 62.219135
44258 9929 189.130709 62.192247 189.130692 62.192245
86335 25615 189.130745 62.267325 189.130737 62.267326
48854 11886 189.130899 62.201126 189.130875 62.201118
49740 12364 189.131017 62.203153 189.131012 62.203152
44504 10309 189.131156 62.193606 189.131119 62.193607
72203 20328 189.131265 62.242029 189.131271 62.242035
44006 9806 189.131522 62.191664 189.131531 62.191658
57451 15120 189.131579 62.216404 189.131592 62.216412
45243 10447 189.131638 62.194369 189.131638 62.194363
54282 14098 189.131823 62.212030 189.131836 62.212036
60424 15987 189.131855 62.221179 189.131836 62.221184
84259 25413 189.131874 62.267803 189.131882 62.267796
43686 9876 189.131956 62.191677 189.131958 62.191681
55626 14582 189.132074 62.213682 189.132065 62.213680
86376 25587 189.132372 62.267184 189.132401 62.267170
74015 21142 189.132655 62.245552 189.132660 62.245579
53110 13981 189.132813 62.211265 189.132812 62.211269
46619 10996 189.132820 62.197130 189.132812 62.197140
51878 12958 189.132870 62.206440 189.132889 62.206444
55934 14754 189.133126 62.214407 189.133118 62.214401
51607 13197 189.133368 62.206913 189.133377 62.206913
72938 20624 189.133416 62.243512 189.133423 62.243515
50004 12299 189.133487 62.203127 189.133484 62.203129
45063 10517 189.133521 62.194457 189.133560 62.194450
77314 22465 189.133708 62.251715 189.133698 62.251717
42002 9240 189.133724 62.188480 189.133713 62.188465
41817 9254 189.133757 62.188109 189.133728 62.188103
83472 24352 189.133802 62.261755 189.133804 62.261749
75229 21446 189.133810 62.247515 189.133835 62.247509
72506 20393 189.133947 62.242430 189.133942 62.242428
41953 9248 189.134320 62.188362 189.134308 62.188362
50892 12495 189.134405 62.204411 189.134399 62.204411
81005 23538 189.134466 62.257736 189.134460 62.257744
89069 26640 189.134485 62.272356 189.134476 62.272350
44950 10328 189.134536 62.193938 189.134537 62.193939
51648 13182 189.134688 62.207838 189.134705 62.207851
39558 8876 189.134724 62.185958 189.134720 62.185963
86306 25763 189.134749 62.268188 189.134735 62.268204
43567 9697 189.134843 62.191126 189.134781 62.191132
77385 22399 189.134904 62.251888 189.134903 62.251888
44882 10295 189.135123 62.193813 189.135101 62.193813
88580 26482 189.135162 62.274397 189.135162 62.274406
47245 11083 189.135170 62.197559 189.135147 62.197563
81733 23817 189.135267 62.259103 189.135315 62.259087
77555 22705 189.135301 62.253679 189.135315 62.253681
34967 7631 189.135307 62.184825 189.135300 62.184799
40269 9077 189.135622 62.187082 189.135620 62.187080
45784 10587 189.135668 62.195287 189.135651 62.195278
42702 9383 189.135815 62.189428 189.135788 62.189426
89542 26797 189.135820 62.273205 189.135834 62.273201
68131 19017 189.135970 62.235469 189.135925 62.235489
69270 19270 189.136025 62.236939 189.136017 62.236946
90204 26982 189.136041 62.274850 189.136032 62.274849
69140 19149 189.136130 62.236487 189.136124 62.236488
54091 13992 189.136172 62.210922 189.136185 62.210922
52288 13416 189.136231 62.208288 189.136261 62.208302
61458 16237 189.136275 62.222554 189.136276 62.222565
49827 12264 189.136348 62.203162 189.136291 62.203144
53042 13555 189.136495 62.212208 189.136490 62.212212
72135 20333 189.136674 62.241815 189.136673 62.241821
40577 8740 189.136739 62.186123 189.136734 62.186146
60256 16107 189.136848 62.221285 189.136856 62.221294
59904 15927 189.136900 62.220857 189.136963 62.220863
42773 9471 189.137102 62.189779 189.137085 62.189781
54497 13944 189.137227 62.210973 189.137222 62.210983
70065 19431 189.137405 62.237852 189.137390 62.237846
50215 12435 189.137456 62.203803 189.137451 62.203808
73159 20699 189.137491 62.243628 189.137512 62.243641
82177 24121 189.137595 62.260438 189.137604 62.260441
87000 26100 189.137595 62.271215 189.137604 62.271217
54170 13659 189.137644 62.209973 189.137650 62.209972
41812 9103 189.137654 62.187874 189.137665 62.187874
45444 10615 189.137736 62.194956 189.137726 62.194942
78993 22829 189.137764 62.254189 189.137772 62.254189
88141 26178 189.137780 62.270336 189.137756 62.270348
52880 13414 189.137819 62.208417 189.137787 62.208405
37133 7870 189.137837 62.181924 189.137848 62.181927
72730 20792 189.137972 62.243688 189.138031 62.243683
47518 11286 189.138051 62.198374 189.138046 62.198376
76789 22776 189.138074 62.253799 189.138046 62.253811
77782 22507 189.138109 62.252534 189.138062 62.252541
36417 9344 189.138114 62.192709 189.138062 62.192707
77271 22190 189.138236 62.251227 189.138229 62.251236
53362 13750 189.138379 62.209994 189.138367 62.209995
53790 13567 189.138380 62.209465 189.138351 62.209461
55727 14424 189.138468 62.213309 189.138443 62.213318
51690 12760 189.138476 62.205740 189.138489 62.205753
68957 19235 189.138533 62.236441 189.138535 62.236446
42975 9664 189.138555 62.190479 189.138535 62.190479
50326 12290 189.138635 62.203519 189.138596 62.203503
39438 8703 189.138653 62.185290 189.138687 62.185291
57842 15206 189.138715 62.216847 189.138702 62.216854
41948 9198 189.138825 62.188277 189.138824 62.188286
79168 22871 189.138929 62.254514 189.138931 62.254509
78782 22877 189.138942 62.254311 189.138931 62.254314
78689 22592 189.138950 62.253316 189.138947 62.253307
55880 14693 189.139008 62.214018 189.138992 62.214016
71601 20415 189.139185 62.242357 189.139191 62.242363
77258 22235 189.139195 62.251302 189.139191 62.251305
73033 20586 189.139199 62.243354 189.139191 62.243359
43467 9808 189.139268 62.191439 189.139297 62.191418
54452 13796 189.139290 62.210614 189.139297 62.210609
91207 27352 189.139398 62.276264 189.139389 62.276253
44196 10272 189.139436 62.192814 189.139435 62.192806
70361 19597 189.139583 62.238364 189.139572 62.238373
45469 10475 189.139687 62.194673 189.139679 62.194660
75125 21498 189.139687 62.247630 189.139679 62.247635
87810 26291 189.139701 62.270987 189.139694 62.270992
39263 8432 189.139712 62.184466 189.139694 62.184471
47036 11341 189.139838 62.198057 189.139832 62.198051
56261 14697 189.139894 62.214515 189.139847 62.214523
74533 21113 189.139896 62.246029 189.139877 62.246037
58703 16072 189.139962 62.222202 189.139969 62.222202
81202 23953 189.140287 62.259177 189.140289 62.259171
45880 10793 189.140331 62.195497 189.140366 62.195496
37818 7860 189.140443 62.181585 189.140442 62.181595
47144 11557 189.140600 62.199025 189.140594 62.199032
59977 15976 189.140602 62.220291 189.140656 62.220371
53283 13387 189.140614 62.208574 189.140594 62.208572
69994 19780 189.140646 62.241945 189.140656 62.241947
52829 13686 189.140780 62.209556 189.140778 62.209557
68267 19033 189.140844 62.235338 189.140823 62.235344
69797 19368 189.140895 62.237544 189.140884 62.237545
40613 8767 189.141029 62.186191 189.141037 62.186195
39191 8192 189.141228 62.183393 189.141205 62.183392
53369 13571 189.141306 62.209285 189.141296 62.209286
50214 12568 189.141333 62.204732 189.141357 62.204727
36411 7568 189.141526 62.179431 189.141541 62.179428
74858 21280 189.141543 62.246846 189.141541 62.246853
40748 8814 189.141574 62.186298 189.141586 62.186298
70144 19519 189.141589 62.238301 189.141556 62.238297
36708 7883 189.141708 62.181841 189.141693 62.181850
38827 8199 189.141866 62.183405 189.141861 62.183403
54316 13768 189.141919 62.210301 189.141907 62.210300
40244 8781 189.141922 62.185915 189.141907 62.185917
61717 16608 189.141926 62.224077 189.141891 62.224075
41274 9000 189.142051 62.187372 189.142014 62.187378
44903 10315 189.142110 62.193891 189.142090 62.193878
49056 11855 189.142114 62.201037 189.142090 62.201035
35853 7561 189.142124 62.179438 189.142120 62.179440
75811 21557 189.142217 62.248272 189.142258 62.248283
81542 23779 189.142251 62.258753 189.142258 62.258759
36546 7811 189.142283 62.180632 189.142242 62.180634
65274 18294 189.142299 62.232738 189.142303 62.232731
56432 15503 189.142324 62.218281 189.142303 62.218296
53973 13760 189.142355 62.210066 189.142349 62.210060
44070 9918 189.142565 62.192104 189.142563 62.192104
70253 20173 189.142568 62.242482 189.142563 62.242489
80065 23576 189.142753 62.257052 189.142746 62.257034
59982 15908 189.142762 62.220617 189.142776 62.220615
65793 18505 189.142792 62.233471 189.142838 62.233475
74490 21397 189.142807 62.246773 189.142792 62.246765
44585 10220 189.142919 62.193355 189.142899 62.193359
46535 10964 189.143092 62.196687 189.143082 62.196682
47126 11283 189.143115 62.197997 189.143112 62.197990
59024 15876 189.143125 62.220131 189.143112 62.220131
77507 22225 189.143289 62.251499 189.143311 62.251488
44317 11124 189.143616 62.203651 189.143600 62.203644
72201 20549 189.143711 62.242777 189.143707 62.242779
70865 20130 189.143756 62.241608 189.143753 62.241615
75246 21485 189.143774 62.247737 189.143768 62.247734
38666 8103 189.143832 62.182865 189.143860 62.182850
75072 21312 189.143836 62.246942 189.143860 62.246956
52440 13777 189.143881 62.211395 189.143860 62.211388
89615 26839 189.143892 62.274070 189.143906 62.274071
72236 20457 189.143991 62.242358 189.143951 62.242352
63275 17349 189.144022 62.227637 189.144012 62.227627
53538 13446 189.144061 62.208964 189.144058 62.208961
39429 8649 189.144191 62.185055 189.144196 62.185074
69389 19212 189.144304 62.236713 189.144302 62.236713
72459 20713 189.144383 62.243635 189.144363 62.243633
37601 7800 189.144423 62.181035 189.144409 62.181046
86032 25480 189.144450 62.266836 189.144455 62.266853
66333 18136 189.144468 62.231617 189.144440 62.231613
79469 23248 189.144504 62.255698 189.144485 62.255711
