# Full paper table 3. Paste part of this into tex file to create shortened table.
# ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000   iABmag
79351     GOODS-N    189.1574350    62.256407    1.221    1.13$\substack{+0.05 \\ -0.05}$    1.15$\substack{+0.42 \\ -0.42}$    1.14$\substack{+0.09 \\ -0.09}$    96.38     1.22    23.82
37181     GOODS-N    189.1591231    62.181325    0.766    0.74$\substack{+0.09 \\ -0.09}$    0.62$\substack{+0.35 \\ -0.35}$    0.70$\substack{+0.18 \\ -0.18}$    75.12     1.18    23.73
84520     GOODS-N    189.1592064    62.268062    0.857    0.84$\substack{+0.01 \\ -0.01}$    0.85$\substack{+0.05 \\ -0.05}$    0.84$\substack{+0.02 \\ -0.02}$    444.25    1.75    21.75
45451     GOODS-N    189.1595647    62.197454    0.841    0.94$\substack{+0.04 \\ -0.04}$    0.85$\substack{+0.27 \\ -0.28}$    0.94$\substack{+0.03 \\ -0.03}$    257.71    1.42    22.39
58856     GOODS-N    189.1602768    62.220296    0.635    0.58$\substack{+0.02 \\ -0.02}$    0.40$\substack{+0.36 \\ -0.36}$    0.60$\substack{+0.06 \\ -0.06}$    287.12    1.20    22.41
62107     GOODS-N    189.1603789    62.227500    1.018    1.03$\substack{+0.01 \\ -0.01}$    0.95$\substack{+0.14 \\ -0.14}$    1.03$\substack{+0.04 \\ -0.04}$    177.73    1.66    22.97
75653     GOODS-N    189.1605828    62.248679    0.849    0.88$\substack{+0.04 \\ -0.04}$    0.84$\substack{+0.26 \\ -0.27}$    0.85$\substack{+0.04 \\ -0.04}$    166.10    1.47    23.28
80348     GOODS-N    189.1610350    62.257246    0.632    0.57$\substack{+0.03 \\ -0.03}$    0.46$\substack{+0.35 \\ -0.35}$    0.60$\substack{+0.09 \\ -0.09}$    189.66    1.28    23.20
70156     GOODS-N    189.1614500    62.239445    0.966    0.93$\substack{+0.04 \\ -0.04}$    0.36$\substack{+0.62 \\ -0.62}$    0.94$\substack{+0.08 \\ -0.09}$    161.50    1.34    23.03
94812     GOODS-N    189.1614505    62.285139    0.682    0.59$\substack{+0.05 \\ -0.05}$    0.42$\substack{+0.11 \\ -0.11}$    0.65$\substack{+0.04 \\ -0.04}$    526.09    1.25    21.66
83237     GOODS-N    189.1616765    62.263124    0.904    0.82$\substack{+0.03 \\ -0.03}$    0.32$\substack{+0.16 \\ -0.16}$    0.82$\substack{+0.05 \\ -0.05}$    382.63    1.27    22.19
42430     GOODS-N    189.1616880    62.189869    1.005    0.97$\substack{+0.03 \\ -0.03}$    0.96$\substack{+0.51 \\ -0.52}$    0.96$\substack{+0.06 \\ -0.06}$    118.87    1.17    23.45
86357     GOODS-N    189.1617285    62.268264    0.854    0.86$\substack{+0.02 \\ -0.02}$    0.86$\substack{+0.05 \\ -0.05}$    0.86$\substack{+0.03 \\ -0.03}$    317.54    1.74    22.68
61291     GOODS-N    189.1623525    62.224831    1.011    1.00$\substack{+0.02 \\ -0.02}$    1.00$\substack{+0.10 \\ -0.10}$    1.00$\substack{+0.03 \\ -0.03}$    241.50    1.67    23.00
50670     GOODS-N    189.1624276    62.205493    0.608    0.55$\substack{+0.02 \\ -0.02}$    0.76$\substack{+0.27 \\ -0.27}$    0.59$\substack{+0.07 \\ -0.07}$    302.61    1.34    22.23
28271     GOODS-N    189.1626963    62.168415    0.636    0.85$\substack{+0.03 \\ -0.03}$    0.46$\substack{+0.12 \\ -0.12}$    0.69$\substack{+0.05 \\ -0.05}$    479.15    1.33    21.51
79185     GOODS-N    189.1656552    62.263279    0.848    0.84$\substack{+0.01 \\ -0.01}$    0.96$\substack{+0.08 \\ -0.09}$    0.85$\substack{+0.02 \\ -0.02}$    528.87    1.65    21.36
75943     GOODS-N    189.1116870    62.249965    0.794    0.81$\substack{+0.02 \\ -0.02}$    0.80$\substack{+0.24 \\ -0.25}$    0.80$\substack{+0.08 \\ -0.08}$    110.86    1.68    23.05
70857     GOODS-N    189.1161525    62.246957    0.680    0.70$\substack{+0.02 \\ -0.02}$    0.99$\substack{+0.41 \\ -0.41}$    0.71$\substack{+0.03 \\ -0.03}$    547.56    1.39    21.33
73058     GOODS-N    189.1245808    62.244721    0.761    0.73$\substack{+0.03 \\ -0.03}$    0.80$\substack{+0.31 \\ -0.31}$    0.76$\substack{+0.05 \\ -0.05}$    259.31    1.37    22.52
84259     GOODS-N    189.1318744    62.267803    0.784    0.80$\substack{+0.01 \\ -0.01}$    0.74$\substack{+0.29 \\ -0.29}$    0.78$\substack{+0.03 \\ -0.03}$    663.46    1.29    21.40
75762     GOODS-N    189.1127342    62.252615    0.794    0.79$\substack{+0.01 \\ -0.01}$    0.80$\substack{+0.04 \\ -0.04}$    0.79$\substack{+0.02 \\ -0.02}$    643.12    1.75    21.11
55923     GOODS-N    189.1138417    62.216061    1.223    1.20$\substack{+0.03 \\ -0.03}$    1.15$\substack{+0.66 \\ -0.66}$    1.19$\substack{+0.05 \\ -0.05}$    328.03    1.19    22.76
47115     GOODS-N    189.1235786    62.200005    1.015    1.28$\substack{+0.21 \\ -0.21}$    1.10$\substack{+0.55 \\ -0.55}$    1.10$\substack{+0.17 \\ -0.17}$    163.08    1.48    23.68
77555     GOODS-N    189.1353010    62.253679    0.683    0.78$\substack{+0.02 \\ -0.02}$    0.30$\substack{+0.28 \\ -0.28}$    0.78$\substack{+0.03 \\ -0.03}$    352.75    1.38    21.92
87000     GOODS-N    189.1375951    62.271215    0.853    0.83$\substack{+0.02 \\ -0.02}$    0.90$\substack{+0.33 \\ -0.33}$    0.83$\substack{+0.06 \\ -0.06}$    284.67    1.43    22.25
72730     GOODS-N    189.1379719    62.243688    1.224    1.29$\substack{+0.27 \\ -0.27}$    1.17$\substack{+0.44 \\ -0.44}$    1.28$\substack{+0.25 \\ -0.25}$    83.29     1.24    23.85
53362     GOODS-N    189.1383792    62.209994    1.141    1.03$\substack{+0.05 \\ -0.05}$    1.49$\substack{+0.93 \\ -0.93}$    1.10$\substack{+0.12 \\ -0.12}$    150.60    1.24    23.34
58703     GOODS-N    189.1399619    62.222202    0.845    0.83$\substack{+0.02 \\ -0.02}$    0.78$\substack{+0.29 \\ -0.30}$    0.83$\substack{+0.02 \\ -0.02}$    494.69    1.31    21.53
50214     GOODS-N    189.1413327    62.204732    1.016    1.01$\substack{+0.18 \\ -0.18}$    1.26$\substack{+0.13 \\ -0.13}$    1.08$\substack{+0.05 \\ -0.05}$    476.25    1.53    22.80
36708     GOODS-N    189.1417078    62.181841    0.764    0.79$\substack{+0.03 \\ -0.03}$    0.47$\substack{+0.15 \\ -0.15}$    0.75$\substack{+0.04 \\ -0.04}$    356.96    1.22    21.62
35853     GOODS-N    189.1421243    62.179438    1.011    0.94$\substack{+0.03 \\ -0.03}$    0.38$\substack{+0.60 \\ -0.60}$    0.93$\substack{+0.07 \\ -0.07}$    129.19    1.26    23.23
59024     GOODS-N    189.1431247    62.220131    0.845    0.92$\substack{+0.03 \\ -0.03}$    0.80$\substack{+0.30 \\ -0.30}$    0.86$\substack{+0.06 \\ -0.06}$    179.28    1.27    22.85
52440     GOODS-N    189.1438811    62.211395    1.224    1.40$\substack{+0.09 \\ -0.09}$    1.20$\substack{+0.10 \\ -0.10}$    1.42$\substack{+0.06 \\ -0.06}$    213.30    1.26    22.64
83106     GOODS-N    189.1455086    62.263566    0.854    0.82$\substack{+0.02 \\ -0.02}$    0.93$\substack{+0.31 \\ -0.32}$    0.80$\substack{+0.05 \\ -0.05}$    267.69    1.42    22.18
54405     GOODS-N    189.1663611    62.213902    0.846    0.82$\substack{+0.01 \\ -0.01}$    0.84$\substack{+0.42 \\ -0.42}$    0.82$\substack{+0.03 \\ -0.03}$    575.11    1.35    21.32
32497     GOODS-N    189.1665811    62.174797    0.935    0.97$\substack{+0.02 \\ -0.02}$    0.91$\substack{+0.13 \\ -0.14}$    0.96$\substack{+0.02 \\ -0.02}$    315.51    1.53    22.20
48189     GOODS-N    189.1667451    62.202052    1.017    0.97$\substack{+0.02 \\ -0.02}$    1.02$\substack{+0.05 \\ -0.05}$    0.99$\substack{+0.02 \\ -0.03}$    326.23    1.60    22.39
91148     GOODS-N    189.1672069    62.276870    0.849    1.03$\substack{+0.17 \\ -0.17}$    0.80$\substack{+0.27 \\ -0.28}$    0.83$\substack{+0.21 \\ -0.22}$    134.89    1.39    23.38
93602     GOODS-N    189.1672976    62.282149    0.943    0.93$\substack{+0.01 \\ -0.01}$    0.94$\substack{+0.07 \\ -0.07}$    0.93$\substack{+0.01 \\ -0.01}$    471.82    1.65    22.18
91947     GOODS-N    189.1685725    62.278265    0.849    0.95$\substack{+0.11 \\ -0.12}$    0.53$\substack{+0.30 \\ -0.30}$    0.85$\substack{+0.13 \\ -0.13}$    120.13    1.18    23.95
28029     GOODS-N    189.1688286    62.167595    0.748    0.90$\substack{+0.03 \\ -0.03}$    0.61$\substack{+0.30 \\ -0.30}$    0.88$\substack{+0.05 \\ -0.05}$    111.46    1.26    22.32
36989     GOODS-N    189.1697691    62.180284    1.006    1.23$\substack{+0.05 \\ -0.05}$    0.96$\substack{+0.35 \\ -0.35}$    1.20$\substack{+0.08 \\ -0.08}$    82.90     1.31    24.01
39728     GOODS-N    189.1700185    62.185821    0.765    0.80$\substack{+0.06 \\ -0.06}$    0.51$\substack{+0.19 \\ -0.19}$    0.76$\substack{+0.07 \\ -0.07}$    124.88    1.36    23.43
