| lambda_Angs|Flambda/F(5500A)|
|       float|           float|
  6.43468e+06  4.54910e-05
  6.48546e+06  4.36218e-05
  6.53573e+06  4.18232e-05
  6.58732e+06  4.01387e-05
  6.63838e+06  3.85208e-05
  6.69077e+06  3.69068e-05
  6.74358e+06  3.53259e-05
  6.79585e+06  3.38453e-05
  6.84948e+06  3.24870e-05
  6.90258e+06  3.11800e-05
  6.95706e+06  2.98762e-05
  7.01098e+06  2.86217e-05
  7.06632e+06  2.74047e-05
  7.12109e+06  2.63422e-05
  7.17729e+06  2.52821e-05
  7.23394e+06  2.42437e-05
  7.29001e+06  2.32445e-05
  7.34755e+06  2.22478e-05
  7.40450e+06  2.13877e-05
  7.46294e+06  2.05375e-05
  7.52079e+06  1.97193e-05
  7.58015e+06  1.89031e-05
  7.63890e+06  1.81177e-05
  7.69919e+06  1.73555e-05
  7.75996e+06  1.66553e-05
  7.82011e+06  1.59815e-05
  7.88183e+06  1.53094e-05
  7.94292e+06  1.46627e-05
  8.00561e+06  1.40177e-05
  8.06767e+06  1.34475e-05
  8.13134e+06  1.29001e-05
  8.19437e+06  1.23733e-05
  8.25904e+06  1.18479e-05
  8.32423e+06  1.13333e-05
  8.38875e+06  1.08382e-05
  8.45496e+06  1.03927e-05
  8.52050e+06  9.97586e-06
  8.58774e+06  9.56010e-06
  8.65431e+06  9.16005e-06
  8.72262e+06  8.76104e-06
  8.79022e+06  8.37716e-06
  8.85960e+06  8.03040e-06
  8.92953e+06  7.71522e-06
  8.99874e+06  7.41190e-06
  9.06977e+06  7.10930e-06
  9.14007e+06  6.81812e-06
  9.21221e+06  6.52768e-06
  9.28361e+06  6.24823e-06
  9.35688e+06  5.99265e-06
  9.42941e+06  5.75223e-06
  9.50383e+06  5.51240e-06
  9.57884e+06  5.27748e-06
  9.65309e+06  5.05146e-06
  9.72928e+06  4.82604e-06
  9.80469e+06  4.60963e-06
  9.88208e+06  4.42681e-06
  9.95867e+06  4.25087e-06
  1.00373e+07  4.07536e-06
  1.01151e+07  3.90648e-06
  1.01949e+07  3.73804e-06
  1.02754e+07  3.57306e-06
  1.03550e+07  3.41434e-06
  1.04367e+07  3.26185e-06
  1.05176e+07  3.12285e-06
  1.06007e+07  2.99059e-06
  1.06828e+07  2.86556e-06
  1.07671e+07  2.73891e-06
  1.08506e+07  2.62477e-06
  1.09362e+07  2.51379e-06
  1.10226e+07  2.41001e-06
  1.11080e+07  2.31260e-06
  1.11957e+07  2.21463e-06
  1.12824e+07  2.12237e-06
  1.13715e+07  2.03670e-06
  1.14596e+07  1.95589e-06
  1.15501e+07  1.86653e-06
  1.16396e+07  1.78625e-06
  1.17315e+07  1.71258e-06
  1.18241e+07  1.64458e-06
  1.19157e+07  1.57873e-06
  1.20098e+07  1.50638e-06
  1.21028e+07  1.44521e-06
  1.21984e+07  1.38156e-06
  1.22929e+07  1.32809e-06
  1.23899e+07  1.26626e-06
  1.24860e+07  1.21813e-06
  1.25845e+07  1.16326e-06
  1.26839e+07  1.11838e-06
  1.27822e+07  1.06876e-06
  1.28831e+07  1.02960e-06
  1.29829e+07  9.84005e-07
  1.30854e+07  9.41732e-07
  1.31868e+07  9.06054e-07
  1.32909e+07  8.66900e-07
  1.33939e+07  8.29819e-07
  1.34996e+07  7.94824e-07
  1.36062e+07  7.63942e-07
  1.37116e+07  7.32755e-07
  1.38199e+07  7.00844e-07
  1.39270e+07  6.70845e-07
  1.40369e+07  6.42529e-07
  1.41457e+07  6.15548e-07
  1.42573e+07  5.89902e-07
