| lambda_Angs|Flambda/F(5500A)|
|       float|           float|
      7271.87     0.865213
      7329.27     0.888283
      7386.08     0.911582
      7444.37     0.902265
      7503.13     0.915996
      7561.28     0.899641
      7620.96     0.881405
      7680.03     0.862613
      7740.65     0.820700
      7800.65     0.837325
      7862.22     0.853939
      7923.16     0.836309
      7985.69     0.852592
      8048.72     0.872758
      8111.11     0.860026
      8175.12     0.817277
      8238.49     0.855763
      8303.51     0.841682
      8367.88     0.816809
      8433.92     0.775287
      8500.49     0.798741
      8566.38     0.830355
      8633.99     0.822715
      8700.91     0.809781
      8769.58     0.800180
      8837.56     0.824369
      8907.31     0.807038
      8976.35     0.786061
      9047.20     0.824452
      9118.60     0.829648
      9189.28     0.786272
      9261.81     0.812210
      9333.60     0.812632
      9407.27     0.794241
      9480.18     0.828558
      9555.01     0.796794
      9629.07     0.816797
      9705.07     0.809152
      9781.67     0.790878
      9857.49     0.801241
      9935.29     0.808124
      10012.3     0.809955
      10091.3     0.805184
      10169.5     0.831644
      10249.8     0.856827
      10329.3     0.858093
      10410.8     0.844706
      10492.9     0.831529
      10574.3     0.813472
      10657.7     0.794495
      10740.3     0.782844
      10825.1     0.778245
      10909.0     0.771654
      10995.1     0.749361
      11080.3     0.727883
      11167.8     0.728296
      11255.9     0.735614
      11343.2     0.741877
      11432.7     0.747726
      11521.3     0.749514
      11612.3     0.743645
      11702.3     0.737925
      11794.6     0.713537
      11886.1     0.689401
      11979.9     0.693324
      12074.4     0.700246
      12168.0     0.700666
      12264.1     0.699858
      12359.1     0.689591
      12456.7     0.676544
      12553.2     0.669157
      12652.3     0.663917
      12750.4     0.659742
      12851.0     0.656046
      12952.4     0.652799
      13052.8     0.649924
      13155.8     0.642061
      13257.8     0.629783
      13362.5     0.619804
      13466.0     0.610981
      13572.3     0.604824
      13677.5     0.600172
      13785.5     0.583881
      13894.3     0.566326
      14002.0     0.548588
      14112.5     0.531892
      14221.9     0.530537
      14334.1     0.531186
      14445.2     0.536707
      14559.2     0.532921
      14672.1     0.520711
      14787.9     0.524701
      14904.6     0.534243
      15020.1     0.543508
      15138.7     0.552576
      15256.0     0.561129
      15376.4     0.561912
      15495.6     0.559738
      15617.9     0.551349
      15739.0     0.539970
      15863.2     0.525304
      15988.4     0.520500
      16112.3     0.520036
      16239.5     0.520730
      16365.4     0.520709
      16494.5     0.519881
      16622.4     0.526308
      16753.6     0.530825
      16883.4     0.533223
      17016.7     0.534080
      17151.0     0.527938
      17283.9     0.516697
      17420.3     0.506248
      17555.4     0.492105
      17693.9     0.475148
      17831.1     0.457894
      17971.8     0.439213
      18111.1     0.422241
      18254.1     0.414350
      18398.1     0.404399
      18540.7     0.392212
      18687.1     0.374671
      18831.9     0.370069
      18980.6     0.368047
      19127.7     0.366101
      19278.6     0.360957
      19428.1     0.351774
      19581.4     0.342047
      19736.0     0.332719
      19888.9     0.324808
      20045.9     0.321757
      20201.3     0.316900
      20360.7     0.313514
      20518.6     0.313427
      20680.5     0.310948
      20840.8     0.308079
      21005.3     0.305802
      21171.1     0.303293
      21335.2     0.299923
      21503.6     0.296846
      21670.2     0.290051
      21841.3     0.286127
      22010.6     0.281379
      22184.3     0.275641
      22356.3     0.270005
      22532.7     0.264706
      22710.5     0.254665
      22886.6     0.232649
      23067.2     0.230828
      23246.0     0.209217
      23429.5     0.191110
      23611.1     0.190116
      23797.4     0.182543
      23981.9     0.171396
      24171.2     0.165084
      24362.0     0.157405
      24550.8     0.145839
      24744.6     0.134383
      24936.4     0.116029
      25133.2     0.113885
      25328.0     0.113418
      25527.9     0.113245
      25725.8     0.114863
      25928.8     0.113439
      26133.4     0.112515
      26336.0     0.110266
      26543.9     0.108936
      26749.6     0.106745
      26960.7     0.105355
      27169.7     0.103570
      27384.2     0.101548
      27596.4    0.0995460
      27814.2    0.0976705
      28033.7    0.0958923
      28251.0    0.0945115
      28474.0    0.0928400
      28694.7    0.0910632
      28921.2    0.0899424
      29145.4    0.0883365
      29375.4    0.0867309
      29603.1    0.0854371
      29836.7    0.0838680
      30072.2    0.0828307
      30305.3    0.0816302
      30544.5    0.0813826
      30781.3    0.0810767
      31024.2    0.0807892
      31264.7    0.0805390
      31511.5    0.0801630
      31755.7    0.0808767
      32006.3    0.0821978
      32259.0    0.0852714
      32509.0    0.0985335
      32765.6     0.135347
      33019.6     0.172787
      33280.2     0.116963
      33538.1    0.0873721
      33802.8    0.0791541
      34064.8    0.0742276
      34333.7    0.0716817
      34604.7    0.0694232
      34872.9    0.0675508
      35148.1    0.0660847
      35420.6    0.0645534
      35700.1    0.0629718
      35976.9    0.0616586
      36260.8    0.0602212
      36541.9    0.0588154
      36830.3    0.0572189
      37121.0    0.0558733
      37408.7    0.0543957
      37704.0    0.0534439
      37996.2    0.0520198
      38296.1    0.0508769
      38592.9    0.0496573
      38897.5    0.0483390
      39204.5    0.0472122
      39508.4    0.0459191
      39820.2    0.0445844
      40128.9    0.0436204
      40445.6    0.0425313
      40759.1    0.0415326
      41080.8    0.0405760
      41399.2    0.0396539
      41726.0    0.0387124
      42055.3    0.0378344
      42381.3    0.0370809
      42715.8    0.0361836
      43046.9    0.0343417
      43386.6    0.0334686
      43722.9    0.0322801
      44068.0    0.0312150
      44409.6    0.0305938
      44760.1    0.0297435
      45113.4    0.0291869
      45463.1    0.0285904
      45821.9    0.0278178
      46177.1    0.0274653
      46541.5    0.0269288
      46902.3    0.0265634
      47272.5    0.0261962
      47638.9    0.0257356
      48014.9    0.0252893
      48393.8    0.0249858
      48768.9    0.0245689
      49153.9    0.0242181
      49534.9    0.0239130
      49925.8    0.0236604
      50312.8    0.0234054
      50709.9    0.0231841
      51103.0    0.0229529
      51506.3    0.0228256
      51912.8    0.0227051
      52315.2    0.0227204
      52728.1    0.0227818
      53136.8    0.0228497
      53556.2    0.0229643
      53971.3    0.0231803
      54397.3    0.0235786
      54818.9    0.0239227
      55251.6    0.0244308
      55687.7    0.0253819
      56119.3    0.0262088
      56562.2    0.0277815
      57000.7    0.0291672
      57450.6    0.0311096
      57895.9    0.0344471
      58352.8    0.0377196
      58805.1    0.0438449
      59269.2    0.0502085
      59737.0    0.0593750
      60200.1    0.0766514
      60675.2    0.0969431
      61145.5     0.127562
      61628.1     0.188643
      62105.8     0.250243
      62596.0     0.307423
      63081.2     0.286310
      63579.0     0.239649
      64080.8     0.188019
      64577.5     0.161829
      65087.2     0.133804
      65591.7     0.122325
      66109.4     0.116720
      66621.8     0.113878
      67147.7     0.112101
      67668.1     0.110129
      68202.2     0.107913
      68740.5     0.107213
      69273.3     0.108528
      69820.1     0.109724
      70361.3     0.111673
      70916.6     0.117267
      71466.3     0.124217
      72030.3     0.136739
      72588.7     0.151836
      73161.6     0.174899
      73739.0     0.213556
      74310.6     0.247305
      74897.1     0.305471
      75477.6     0.346310
      76073.3     0.369738
      76663.0     0.376271
      77268.1     0.363640
      77867.0     0.341981
      78481.6     0.313155
      79101.0     0.288082
      79714.1     0.244037
      80343.3     0.212156
      80966.0     0.188828
      81605.0     0.169917
      82237.6     0.161634
      82886.6     0.157653
      83529.1     0.156115
      84188.4     0.157097
      84852.8     0.162786
      85510.5     0.165437
      86185.5     0.158402
      86853.5     0.142135
      87539.0     0.124870
      88217.5     0.101212
      88913.8    0.0921671
      89603.0    0.0809271
      90310.2    0.0683678
      91023.0    0.0610728
      91728.5    0.0564350
      92452.5    0.0534942
      93169.1    0.0507141
      93904.4    0.0499229
      94632.3    0.0490844
      95379.2    0.0466407
      96118.5    0.0454002
      96877.1    0.0440788
      97641.7    0.0422820
      98398.6    0.0408409
      99175.2    0.0384461
      99943.9    0.0366572
      100733.    0.0361685
      101514.    0.0345533
      102315.    0.0325611
      103108.    0.0320548
      103922.    0.0418340
      104742.    0.0403368
      105554.    0.0335461
      106387.    0.0333346
      107211.    0.0399305
      108058.    0.0422306
      108895.    0.0454480
      109755.    0.0560910
      110605.    0.0683044
      111478.    0.0887770
      112358.     0.115490
      113229.     0.122111
      114123.     0.113753
      115007.    0.0915272
      115915.    0.0741128
      116814.    0.0627305
      117735.    0.0598215
      118648.    0.0601382
      119584.    0.0610391
      120528.    0.0618292
      121463.    0.0633637
      122421.    0.0644801
      123370.    0.0659556
      124344.    0.0675552
      125308.    0.0694855
      126297.    0.0715959
      127276.    0.0694747
      128280.    0.0640255
      129293.    0.0558672
      130295.    0.0480477
      131323.    0.0423680
      132341.    0.0386348
      133386.    0.0353197
      134419.    0.0307328
      135480.    0.0275389
      136531.    0.0253054
      137608.    0.0252720
      138694.    0.0255009
      139769.    0.0254009
      140872.    0.0236673
      141964.    0.0214444
      143085.    0.0188487
      144194.    0.0184220
      145332.    0.0183633
      146458.    0.0181789
      147614.    0.0182875
      148779.    0.0174015
      149933.    0.0169387
      151116.    0.0164836
      152287.    0.0157161
      153489.    0.0165537
      154679.    0.0171699
      155900.    0.0153616
      157108.    0.0177298
      158348.    0.0195534
      159598.    0.0170458
      160835.    0.0167849
      162104.    0.0174942
      163361.    0.0204481
      164650.    0.0243064
      165927.    0.0246513
      167236.    0.0225492
      168532.    0.0189239
      169863.    0.0168291
      171203.    0.0153691
      172530.    0.0146535
      173892.    0.0142270
      175240.    0.0139203
      176623.    0.0137587
      177992.    0.0136736
      179397.    0.0136605
      180787.    0.0136250
      182214.    0.0136994
      183652.    0.0137303
      185076.    0.0138017
      186537.    0.0139482
      187982.    0.0140335
      189466.    0.0142432
      190935.    0.0143517
      192442.    0.0144872
      193961.    0.0147085
      195464.    0.0148667
      197007.    0.0151287
      198534.    0.0153267
      200101.    0.0155251
      201652.    0.0158373
      203243.    0.0160285
      204819.    0.0162897
      206435.    0.0166684
      208064.    0.0169467
      209677.    0.0173273
      211332.    0.0175921
      212970.    0.0179046
      214651.    0.0183463
      216315.    0.0187023
      218022.    0.0191771
      219712.    0.0195177
      221446.    0.0198616
      223194.    0.0204456
      224924.    0.0208088
      226699.    0.0213714
      228456.    0.0218220
      230260.    0.0221853
      232044.    0.0228408
      233876.    0.0232969
      235689.    0.0237107
      237549.    0.0244079
