# z  dl_mpc  dl_cm
3.480  3.106942e+04  9.588024e+28
3.485  3.112259e+04  9.604432e+28
3.490  3.117577e+04  9.620844e+28
3.495  3.122897e+04  9.637259e+28
3.500  3.128217e+04  9.653677e+28
3.505  3.133538e+04  9.670099e+28
3.510  3.138861e+04  9.686524e+28
3.515  3.144184e+04  9.702953e+28
3.520  3.149509e+04  9.719385e+28
3.525  3.154835e+04  9.735820e+28
3.530  3.160162e+04  9.752259e+28
3.535  3.165490e+04  9.768701e+28
3.540  3.170819e+04  9.785146e+28
3.545  3.176149e+04  9.801595e+28
3.550  3.181480e+04  9.818047e+28
3.555  3.186812e+04  9.834502e+28
3.560  3.192145e+04  9.850961e+28
3.565  3.197480e+04  9.867423e+28
3.570  3.202815e+04  9.883888e+28
3.575  3.208152e+04  9.900357e+28
3.580  3.213489e+04  9.916829e+28
3.585  3.218828e+04  9.933304e+28
3.590  3.224168e+04  9.949782e+28
3.595  3.229509e+04  9.966264e+28
3.600  3.234850e+04  9.982749e+28
3.605  3.240193e+04  9.999237e+28
3.610  3.245537e+04  1.001573e+29
3.615  3.250882e+04  1.003222e+29
3.620  3.256228e+04  1.004872e+29
3.625  3.261576e+04  1.006522e+29
3.630  3.266924e+04  1.008173e+29
3.635  3.272273e+04  1.009823e+29
3.640  3.277623e+04  1.011474e+29
3.645  3.282974e+04  1.013126e+29
3.650  3.288327e+04  1.014778e+29
3.655  3.293680e+04  1.016430e+29
3.660  3.299034e+04  1.018082e+29
3.665  3.304390e+04  1.019735e+29
3.670  3.309746e+04  1.021388e+29
3.675  3.315104e+04  1.023041e+29
3.680  3.320462e+04  1.024695e+29
3.685  3.325822e+04  1.026349e+29
3.690  3.331182e+04  1.028003e+29
3.695  3.336544e+04  1.029657e+29
3.700  3.341907e+04  1.031312e+29
3.705  3.347270e+04  1.032968e+29
3.710  3.352635e+04  1.034623e+29
3.715  3.358001e+04  1.036279e+29
3.720  3.363367e+04  1.037935e+29
3.725  3.368735e+04  1.039592e+29
3.730  3.374104e+04  1.041248e+29
3.735  3.379473e+04  1.042905e+29
3.740  3.384844e+04  1.044563e+29
3.745  3.390216e+04  1.046221e+29
3.750  3.395589e+04  1.047879e+29
3.755  3.400962e+04  1.049537e+29
3.760  3.406337e+04  1.051196e+29
3.765  3.411713e+04  1.052855e+29
3.770  3.417090e+04  1.054514e+29
3.775  3.422467e+04  1.056173e+29
3.780  3.427846e+04  1.057833e+29
3.785  3.433226e+04  1.059493e+29
3.790  3.438606e+04  1.061154e+29
3.795  3.443988e+04  1.062815e+29
3.800  3.449371e+04  1.064476e+29
3.805  3.454754e+04  1.066137e+29
3.810  3.460139e+04  1.067799e+29
3.815  3.465525e+04  1.069461e+29
3.820  3.470911e+04  1.071123e+29
3.825  3.476299e+04  1.072786e+29
3.830  3.481687e+04  1.074449e+29
3.835  3.487077e+04  1.076112e+29
3.840  3.492467e+04  1.077775e+29
3.845  3.497859e+04  1.079439e+29
3.850  3.503251e+04  1.081103e+29
3.855  3.508645e+04  1.082768e+29
3.860  3.514039e+04  1.084432e+29
3.865  3.519435e+04  1.086097e+29
3.870  3.524831e+04  1.087763e+29
3.875  3.530228e+04  1.089428e+29
3.880  3.535626e+04  1.091094e+29
3.885  3.541026e+04  1.092760e+29
3.890  3.546426e+04  1.094427e+29
3.895  3.551827e+04  1.096094e+29
3.900  3.557229e+04  1.097761e+29
3.905  3.562632e+04  1.099428e+29
3.910  3.568036e+04  1.101096e+29
3.915  3.573441e+04  1.102764e+29
3.920  3.578847e+04  1.104432e+29
3.925  3.584253e+04  1.106101e+29
3.930  3.589661e+04  1.107769e+29
3.935  3.595070e+04  1.109439e+29
3.940  3.600480e+04  1.111108e+29
3.945  3.605890e+04  1.112778e+29
3.950  3.611302e+04  1.114448e+29
3.955  3.616714e+04  1.116118e+29
3.960  3.622127e+04  1.117789e+29
3.965  3.627542e+04  1.119459e+29
3.970  3.632957e+04  1.121131e+29
3.975  3.638373e+04  1.122802e+29
3.980  3.643790e+04  1.124474e+29
3.985  3.649208e+04  1.126146e+29
3.990  3.654627e+04  1.127818e+29
3.995  3.660047e+04  1.129491e+29
4.000  3.665468e+04  1.131163e+29
4.005  3.670890e+04  1.132837e+29
4.010  3.676312e+04  1.134510e+29
4.015  3.681736e+04  1.136184e+29
4.020  3.687161e+04  1.137858e+29
4.025  3.692586e+04  1.139532e+29
4.030  3.698012e+04  1.141207e+29
4.035  3.703439e+04  1.142881e+29
4.040  3.708868e+04  1.144557e+29
4.045  3.714297e+04  1.146232e+29
4.050  3.719727e+04  1.147908e+29
4.055  3.725158e+04  1.149584e+29
4.060  3.730589e+04  1.151260e+29
4.065  3.736022e+04  1.152936e+29
4.070  3.741456e+04  1.154613e+29
4.075  3.746890e+04  1.156290e+29
4.080  3.752325e+04  1.157968e+29
4.085  3.757762e+04  1.159645e+29
4.090  3.763199e+04  1.161323e+29
4.095  3.768637e+04  1.163001e+29
4.100  3.774076e+04  1.164680e+29
4.105  3.779516e+04  1.166359e+29
4.110  3.784957e+04  1.168038e+29
4.115  3.790398e+04  1.169717e+29
4.120  3.795841e+04  1.171396e+29
4.125  3.801284e+04  1.173076e+29
4.130  3.806728e+04  1.174756e+29
4.135  3.812174e+04  1.176437e+29
4.140  3.817620e+04  1.178117e+29
4.145  3.823067e+04  1.179798e+29
4.150  3.828515e+04  1.181480e+29
4.155  3.833963e+04  1.183161e+29
4.160  3.839413e+04  1.184843e+29
4.165  3.844863e+04  1.186525e+29
4.170  3.850315e+04  1.188207e+29
4.175  3.855767e+04  1.189890e+29
4.180  3.861220e+04  1.191572e+29
4.185  3.866674e+04  1.193256e+29
4.190  3.872129e+04  1.194939e+29
4.195  3.877584e+04  1.196623e+29
4.200  3.883041e+04  1.198306e+29
4.205  3.888498e+04  1.199991e+29
4.210  3.893957e+04  1.201675e+29
4.215  3.899416e+04  1.203360e+29
4.220  3.904876e+04  1.205045e+29
4.225  3.910337e+04  1.206730e+29
4.230  3.915798e+04  1.208415e+29
4.235  3.921261e+04  1.210101e+29
4.240  3.926724e+04  1.211787e+29
4.245  3.932189e+04  1.213473e+29
4.250  3.937654e+04  1.215160e+29
4.255  3.943120e+04  1.216847e+29
4.260  3.948587e+04  1.218534e+29
4.265  3.954054e+04  1.220221e+29
4.270  3.959523e+04  1.221909e+29
4.275  3.964992e+04  1.223597e+29
4.280  3.970463e+04  1.225285e+29
4.285  3.975934e+04  1.226973e+29
4.290  3.981406e+04  1.228662e+29
4.295  3.986878e+04  1.230351e+29
4.300  3.992352e+04  1.232040e+29
4.305  3.997827e+04  1.233729e+29
4.310  4.003302e+04  1.235419e+29
4.315  4.008778e+04  1.237109e+29
4.320  4.014255e+04  1.238799e+29
4.325  4.019733e+04  1.240490e+29
4.330  4.025211e+04  1.242180e+29
4.335  4.030691e+04  1.243871e+29
4.340  4.036171e+04  1.245562e+29
4.345  4.041652e+04  1.247254e+29
4.350  4.047134e+04  1.248946e+29
4.355  4.052617e+04  1.250638e+29
4.360  4.058101e+04  1.252330e+29
4.365  4.063585e+04  1.254022e+29
4.370  4.069070e+04  1.255715e+29
4.375  4.074556e+04  1.257408e+29
4.380  4.080043e+04  1.259101e+29
4.385  4.085531e+04  1.260795e+29
4.390  4.091019e+04  1.262489e+29
4.395  4.096509e+04  1.264183e+29
4.400  4.101999e+04  1.265877e+29
4.405  4.107490e+04  1.267571e+29
4.410  4.112982e+04  1.269266e+29
4.415  4.118474e+04  1.270961e+29
4.420  4.123968e+04  1.272656e+29
4.425  4.129462e+04  1.274352e+29
4.430  4.134957e+04  1.276048e+29
4.435  4.140453e+04  1.277744e+29
4.440  4.145949e+04  1.279440e+29
4.445  4.151447e+04  1.281136e+29
4.450  4.156945e+04  1.282833e+29
4.455  4.162444e+04  1.284530e+29
4.460  4.167944e+04  1.286228e+29
4.465  4.173445e+04  1.287925e+29
4.470  4.178946e+04  1.289623e+29
4.475  4.184448e+04  1.291321e+29
4.480  4.189951e+04  1.293019e+29
4.485  4.195456e+04  1.294718e+29
4.490  4.200960e+04  1.296416e+29
4.495  4.206466e+04  1.298115e+29
4.500  4.211972e+04  1.299815e+29
4.505  4.217479e+04  1.301514e+29
4.510  4.222987e+04  1.303214e+29
4.515  4.228495e+04  1.304914e+29
4.520  4.234005e+04  1.306614e+29
4.525  4.239515e+04  1.308314e+29
4.530  4.245026e+04  1.310015e+29
4.535  4.250537e+04  1.311716e+29
4.540  4.256050e+04  1.313417e+29
4.545  4.261563e+04  1.315118e+29
4.550  4.267077e+04  1.316820e+29
4.555  4.272592e+04  1.318522e+29
4.560  4.278108e+04  1.320224e+29
4.565  4.283624e+04  1.321926e+29
4.570  4.289141e+04  1.323629e+29
4.575  4.294659e+04  1.325332e+29
4.580  4.300178e+04  1.327035e+29
4.585  4.305698e+04  1.328738e+29
4.590  4.311218e+04  1.330442e+29
4.595  4.316739e+04  1.332146e+29
4.600  4.322261e+04  1.333850e+29
4.605  4.327783e+04  1.335554e+29
4.610  4.333307e+04  1.337258e+29
4.615  4.338831e+04  1.338963e+29
4.620  4.344356e+04  1.340668e+29
4.625  4.349882e+04  1.342373e+29
4.630  4.355408e+04  1.344079e+29
4.635  4.360935e+04  1.345785e+29
4.640  4.366463e+04  1.347490e+29
4.645  4.371992e+04  1.349197e+29
4.650  4.377521e+04  1.350903e+29
4.655  4.383051e+04  1.352610e+29
4.660  4.388582e+04  1.354317e+29
4.665  4.394114e+04  1.356024e+29
4.670  4.399647e+04  1.357731e+29
4.675  4.405180e+04  1.359439e+29
4.680  4.410714e+04  1.361146e+29
4.685  4.416249e+04  1.362854e+29
4.690  4.421784e+04  1.364563e+29
4.695  4.427320e+04  1.366271e+29
4.700  4.432857e+04  1.367980e+29
4.705  4.438395e+04  1.369689e+29
4.710  4.443934e+04  1.371398e+29
4.715  4.449473e+04  1.373107e+29
4.720  4.455013e+04  1.374817e+29
4.725  4.460553e+04  1.376527e+29
4.730  4.466095e+04  1.378237e+29
4.735  4.471637e+04  1.379947e+29
4.740  4.477180e+04  1.381658e+29
4.745  4.482724e+04  1.383369e+29
4.750  4.488268e+04  1.385080e+29
4.755  4.493813e+04  1.386791e+29
4.760  4.499359e+04  1.388502e+29
4.765  4.504906e+04  1.390214e+29
4.770  4.510453e+04  1.391926e+29
4.775  4.516001e+04  1.393638e+29
4.780  4.521550e+04  1.395350e+29
4.785  4.527100e+04  1.397063e+29
4.790  4.532650e+04  1.398776e+29
4.795  4.538201e+04  1.400489e+29
4.800  4.543753e+04  1.402202e+29
4.805  4.549305e+04  1.403916e+29
4.810  4.554858e+04  1.405629e+29
4.815  4.560412e+04  1.407343e+29
4.820  4.565967e+04  1.409057e+29
4.825  4.571522e+04  1.410772e+29
4.830  4.577078e+04  1.412486e+29
4.835  4.582635e+04  1.414201e+29
4.840  4.588193e+04  1.415916e+29
4.845  4.593751e+04  1.417632e+29
4.850  4.599310e+04  1.419347e+29
4.855  4.604870e+04  1.421063e+29
4.860  4.610430e+04  1.422779e+29
4.865  4.615991e+04  1.424495e+29
4.870  4.621553e+04  1.426211e+29
4.875  4.627116e+04  1.427928e+29
4.880  4.632679e+04  1.429645e+29
4.885  4.638243e+04  1.431362e+29
4.890  4.643807e+04  1.433079e+29
4.895  4.649373e+04  1.434796e+29
4.900  4.654939e+04  1.436514e+29
4.905  4.660506e+04  1.438232e+29
4.910  4.666073e+04  1.439950e+29
4.915  4.671642e+04  1.441669e+29
4.920  4.677210e+04  1.443387e+29
4.925  4.682780e+04  1.445106e+29
4.930  4.688350e+04  1.446825e+29
4.935  4.693921e+04  1.448544e+29
4.940  4.699493e+04  1.450264e+29
4.945  4.705066e+04  1.451983e+29
4.950  4.710639e+04  1.453703e+29
4.955  4.716213e+04  1.455423e+29
4.960  4.721787e+04  1.457143e+29
4.965  4.727362e+04  1.458864e+29
4.970  4.732938e+04  1.460585e+29
4.975  4.738515e+04  1.462306e+29
4.980  4.744092e+04  1.464027e+29
4.985  4.749670e+04  1.465748e+29
4.990  4.755249e+04  1.467470e+29
4.995  4.760828e+04  1.469192e+29
5.000  4.766408e+04  1.470914e+29
5.005  4.771989e+04  1.472636e+29
5.010  4.777570e+04  1.474358e+29
5.015  4.783153e+04  1.476081e+29
5.020  4.788735e+04  1.477804e+29
5.025  4.794319e+04  1.479527e+29
5.030  4.799903e+04  1.481250e+29
5.035  4.805488e+04  1.482974e+29
5.040  4.811074e+04  1.484697e+29
5.045  4.816660e+04  1.486421e+29
5.050  4.822247e+04  1.488145e+29
5.055  4.827834e+04  1.489870e+29
5.060  4.833423e+04  1.491594e+29
5.065  4.839012e+04  1.493319e+29
5.070  4.844601e+04  1.495044e+29
5.075  4.850192e+04  1.496769e+29
5.080  4.855783e+04  1.498494e+29
5.085  4.861374e+04  1.500220e+29
5.090  4.866967e+04  1.501946e+29
5.095  4.872560e+04  1.503672e+29
5.100  4.878153e+04  1.505398e+29
5.105  4.883748e+04  1.507124e+29
5.110  4.889343e+04  1.508851e+29
5.115  4.894938e+04  1.510578e+29
5.120  4.900535e+04  1.512305e+29
5.125  4.906132e+04  1.514032e+29
5.130  4.911729e+04  1.515760e+29
5.135  4.917328e+04  1.517487e+29
5.140  4.922927e+04  1.519215e+29
5.145  4.928526e+04  1.520943e+29
5.150  4.934127e+04  1.522672e+29
5.155  4.939728e+04  1.524400e+29
5.160  4.945330e+04  1.526129e+29
5.165  4.950932e+04  1.527858e+29
5.170  4.956535e+04  1.529587e+29
5.175  4.962139e+04  1.531316e+29
5.180  4.967743e+04  1.533045e+29
5.185  4.973348e+04  1.534775e+29
5.190  4.978954e+04  1.536505e+29
5.195  4.984560e+04  1.538235e+29
5.200  4.990167e+04  1.539965e+29
5.205  4.995774e+04  1.541696e+29
5.210  5.001383e+04  1.543427e+29
5.215  5.006992e+04  1.545158e+29
5.220  5.012601e+04  1.546889e+29
5.225  5.018211e+04  1.548620e+29
5.230  5.023822e+04  1.550352e+29
5.235  5.029434e+04  1.552083e+29
5.240  5.035046e+04  1.553815e+29
5.245  5.040659e+04  1.555547e+29
5.250  5.046272e+04  1.557280e+29
5.255  5.051886e+04  1.559012e+29
5.260  5.057501e+04  1.560745e+29
5.265  5.063116e+04  1.562478e+29
5.270  5.068732e+04  1.564211e+29
5.275  5.074349e+04  1.565944e+29
5.280  5.079966e+04  1.567678e+29
5.285  5.085584e+04  1.569411e+29
5.290  5.091203e+04  1.571145e+29
5.295  5.096822e+04  1.572879e+29
5.300  5.102442e+04  1.574614e+29
5.305  5.108063e+04  1.576348e+29
5.310  5.113684e+04  1.578083e+29
5.315  5.119306e+04  1.579818e+29
5.320  5.124928e+04  1.581553e+29
5.325  5.130551e+04  1.583288e+29
5.330  5.136175e+04  1.585024e+29
5.335  5.141799e+04  1.586759e+29
5.340  5.147424e+04  1.588495e+29
5.345  5.153050e+04  1.590231e+29
5.350  5.158676e+04  1.591967e+29
5.355  5.164303e+04  1.593704e+29
5.360  5.169930e+04  1.595440e+29
5.365  5.175558e+04  1.597177e+29
5.370  5.181187e+04  1.598914e+29
5.375  5.186817e+04  1.600652e+29
5.380  5.192447e+04  1.602389e+29
5.385  5.198077e+04  1.604127e+29
5.390  5.203708e+04  1.605864e+29
5.395  5.209340e+04  1.607602e+29
5.400  5.214973e+04  1.609341e+29
5.405  5.220606e+04  1.611079e+29
5.410  5.226240e+04  1.612818e+29
5.415  5.231874e+04  1.614556e+29
5.420  5.237509e+04  1.616295e+29
5.425  5.243145e+04  1.618034e+29
5.430  5.248781e+04  1.619774e+29
5.435  5.254418e+04  1.621513e+29
5.440  5.260055e+04  1.623253e+29
5.445  5.265693e+04  1.624993e+29
5.450  5.271332e+04  1.626733e+29
5.455  5.276971e+04  1.628473e+29
5.460  5.282611e+04  1.630214e+29
5.465  5.288252e+04  1.631955e+29
5.470  5.293893e+04  1.633695e+29
5.475  5.299535e+04  1.635436e+29
5.480  5.305177e+04  1.637178e+29
5.485  5.310820e+04  1.638919e+29
5.490  5.316464e+04  1.640661e+29
5.495  5.322108e+04  1.642402e+29
5.500  5.327753e+04  1.644144e+29
5.505  5.333398e+04  1.645887e+29
5.510  5.339044e+04  1.647629e+29
5.515  5.344691e+04  1.649372e+29
5.520  5.350338e+04  1.651114e+29
5.525  5.355986e+04  1.652857e+29
5.530  5.361634e+04  1.654600e+29
5.535  5.367283e+04  1.656344e+29
5.540  5.372933e+04  1.658087e+29
5.545  5.378583e+04  1.659831e+29
5.550  5.384234e+04  1.661575e+29
5.555  5.389886e+04  1.663319e+29
5.560  5.395538e+04  1.665063e+29
5.565  5.401190e+04  1.666807e+29
5.570  5.406844e+04  1.668552e+29
5.575  5.412497e+04  1.670297e+29
5.580  5.418152e+04  1.672042e+29
5.585  5.423807e+04  1.673787e+29
5.590  5.429463e+04  1.675532e+29
5.595  5.435119e+04  1.677278e+29
5.600  5.440776e+04  1.679023e+29
5.605  5.446433e+04  1.680769e+29
5.610  5.452091e+04  1.682515e+29
5.615  5.457750e+04  1.684262e+29
5.620  5.463409e+04  1.686008e+29
5.625  5.469069e+04  1.687755e+29
5.630  5.474729e+04  1.689501e+29
5.635  5.480390e+04  1.691248e+29
5.640  5.486052e+04  1.692996e+29
5.645  5.491714e+04  1.694743e+29
5.650  5.497377e+04  1.696490e+29
5.655  5.503040e+04  1.698238e+29
5.660  5.508704e+04  1.699986e+29
5.665  5.514368e+04  1.701734e+29
5.670  5.520033e+04  1.703482e+29
5.675  5.525699e+04  1.705231e+29
5.680  5.531365e+04  1.706979e+29
5.685  5.537032e+04  1.708728e+29
5.690  5.542700e+04  1.710477e+29
5.695  5.548368e+04  1.712226e+29
5.700  5.554036e+04  1.713976e+29
5.705  5.559705e+04  1.715725e+29
5.710  5.565375e+04  1.717475e+29
5.715  5.571045e+04  1.719225e+29
5.720  5.576716e+04  1.720975e+29
5.725  5.582388e+04  1.722725e+29
5.730  5.588060e+04  1.724475e+29
5.735  5.593732e+04  1.726226e+29
5.740  5.599406e+04  1.727977e+29
5.745  5.605079e+04  1.729728e+29
5.750  5.610754e+04  1.731479e+29
5.755  5.616429e+04  1.733230e+29
5.760  5.622104e+04  1.734981e+29
5.765  5.627780e+04  1.736733e+29
5.770  5.633457e+04  1.738485e+29
5.775  5.639134e+04  1.740237e+29
5.780  5.644812e+04  1.741989e+29
5.785  5.650490e+04  1.743741e+29
5.790  5.656169e+04  1.745494e+29
5.795  5.661849e+04  1.747246e+29
5.800  5.667529e+04  1.748999e+29
5.805  5.673209e+04  1.750752e+29
5.810  5.678891e+04  1.752506e+29
5.815  5.684572e+04  1.754259e+29
5.820  5.690255e+04  1.756013e+29
5.825  5.695937e+04  1.757766e+29
5.830  5.701621e+04  1.759520e+29
5.835  5.707305e+04  1.761274e+29
5.840  5.712989e+04  1.763029e+29
5.845  5.718675e+04  1.764783e+29
5.850  5.724360e+04  1.766538e+29
5.855  5.730047e+04  1.768292e+29
5.860  5.735733e+04  1.770047e+29
5.865  5.741421e+04  1.771802e+29
5.870  5.747109e+04  1.773558e+29
5.875  5.752797e+04  1.775313e+29
5.880  5.758486e+04  1.777069e+29
5.885  5.764176e+04  1.778825e+29
5.890  5.769866e+04  1.780581e+29
5.895  5.775557e+04  1.782337e+29
5.900  5.781248e+04  1.784093e+29
5.905  5.786940e+04  1.785850e+29
5.910  5.792632e+04  1.787606e+29
5.915  5.798325e+04  1.789363e+29
5.920  5.804018e+04  1.791120e+29
5.925  5.809712e+04  1.792877e+29
5.930  5.815407e+04  1.794635e+29
5.935  5.821102e+04  1.796392e+29
5.940  5.826798e+04  1.798150e+29
5.945  5.832494e+04  1.799908e+29
5.950  5.838191e+04  1.801666e+29
5.955  5.843888e+04  1.803424e+29
5.960  5.849586e+04  1.805182e+29
5.965  5.855284e+04  1.806941e+29
5.970  5.860983e+04  1.808699e+29
5.975  5.866683e+04  1.810458e+29
5.980  5.872383e+04  1.812217e+29
5.985  5.878084e+04  1.813977e+29
5.990  5.883785e+04  1.815736e+29
5.995  5.889486e+04  1.817496e+29
6.000  5.895189e+04  1.819255e+29
