# z  dl_mpc  dl_cm
0.800  5.172073e+03  1.596102e+28
0.805  5.211676e+03  1.608323e+28
0.810  5.251342e+03  1.620564e+28
0.815  5.291071e+03  1.632824e+28
0.820  5.330862e+03  1.645104e+28
0.825  5.370715e+03  1.657403e+28
0.830  5.410630e+03  1.669720e+28
0.835  5.450606e+03  1.682057e+28
0.840  5.490643e+03  1.694412e+28
0.845  5.530741e+03  1.706787e+28
0.850  5.570899e+03  1.719180e+28
0.855  5.611118e+03  1.731591e+28
0.860  5.651395e+03  1.744021e+28
0.865  5.691733e+03  1.756469e+28
0.870  5.732129e+03  1.768935e+28
0.875  5.772584e+03  1.781419e+28
0.880  5.813097e+03  1.793922e+28
0.885  5.853668e+03  1.806442e+28
0.890  5.894297e+03  1.818980e+28
0.895  5.934983e+03  1.831536e+28
0.900  5.975726e+03  1.844109e+28
0.905  6.016526e+03  1.856700e+28
0.910  6.057382e+03  1.869308e+28
0.915  6.098295e+03  1.881934e+28
0.920  6.139263e+03  1.894577e+28
0.925  6.180287e+03  1.907237e+28
0.930  6.221366e+03  1.919914e+28
0.935  6.262500e+03  1.932607e+28
0.940  6.303688e+03  1.945318e+28
0.945  6.344931e+03  1.958046e+28
0.950  6.386228e+03  1.970790e+28
0.955  6.427579e+03  1.983551e+28
0.960  6.468983e+03  1.996328e+28
0.965  6.510440e+03  2.009122e+28
0.970  6.551950e+03  2.021932e+28
0.975  6.593512e+03  2.034758e+28
0.980  6.635127e+03  2.047600e+28
0.985  6.676794e+03  2.060459e+28
0.990  6.718513e+03  2.073333e+28
0.995  6.760283e+03  2.086223e+28
1.000  6.802104e+03  2.099129e+28
1.005  6.843977e+03  2.112051e+28
1.010  6.885900e+03  2.124989e+28
1.015  6.927873e+03  2.137942e+28
1.020  6.969897e+03  2.150910e+28
1.025  7.011970e+03  2.163894e+28
1.030  7.054093e+03  2.176893e+28
1.035  7.096265e+03  2.189907e+28
1.040  7.138487e+03  2.202937e+28
1.045  7.180757e+03  2.215982e+28
1.050  7.223076e+03  2.229041e+28
1.055  7.265444e+03  2.242116e+28
1.060  7.307859e+03  2.255205e+28
1.065  7.350322e+03  2.268310e+28
1.070  7.392833e+03  2.281428e+28
1.075  7.435392e+03  2.294562e+28
1.080  7.477997e+03  2.307710e+28
1.085  7.520650e+03  2.320873e+28
1.090  7.563349e+03  2.334049e+28
1.095  7.606094e+03  2.347241e+28
1.100  7.648886e+03  2.360446e+28
1.105  7.691724e+03  2.373666e+28
1.110  7.734607e+03  2.386900e+28
1.115  7.777536e+03  2.400148e+28
1.120  7.820511e+03  2.413410e+28
1.125  7.863530e+03  2.426685e+28
1.130  7.906594e+03  2.439975e+28
